###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57246.460907 -21.262  1.667   -11   19 c  0   1.34 348.68805   4.53075  5421.40  1332.40 3.97 3.60  -4.0 -0.434 19.53 21.43 02a57246o0299c
57246.466764 -20.341  0.714   -26   19 c  0   1.54 348.68805   4.53075  5419.34  1333.08 3.99 3.60  -6.8 -0.436 19.52 21.42 02a57246o0307c
57248.492525 -19.763  0.462   -45   21 c  0   2.31 348.68805   4.53075  9633.53  9569.28 4.26 3.63  89.3 -0.412 19.57 21.69 02a57248o0332c
57250.492381 -19.201  1.500   -76  114 c  0   1.14 348.68805   4.53075  9591.00  9573.58 4.30 3.74  87.4 -0.419 17.58 19.59 02a57250o0309c
57313.338815 -20.020  0.636   -36   23 c  0   1.36 348.68805   4.53075  5168.59  9273.28 4.33 3.79 -70.9 -0.437 19.39 21.30 02a57313o0127c
57313.366947  20.113  0.675    33   22 c  0   1.52 348.68805   4.53075  5161.28  9274.21 4.34 3.76 -68.5 -0.436 19.37 21.29 02a57313o0166c
57313.402564 -19.083  0.322   -84   27 c  0   1.30 348.68805   4.53075   959.74  1051.59 6.34 4.13 -24.5 -0.436 19.34 21.29 02a57313o0216c
57313.429684 -20.097  0.826   -33   27 c  0   1.59 348.68805   4.53075   961.17  1052.30 6.33 4.08 -23.1 -0.453 19.31 21.23 02a57313o0254c
57322.355918 -22.050 13.667    -6   75 o  0   1.42 348.68805   4.53075  5236.15  9284.72 4.17 3.38 -71.8 -0.517 17.75 18.27 02a57322o0343o
57322.382494 -19.062  0.829   -86   72 o  0   1.30 348.68805   4.53075  5230.45  9285.60 4.47 3.90 -67.3 -0.476 17.76 18.45 02a57322o0384o
57322.418667 -20.139  3.412   -32  109 o  0   1.13 348.68805   4.53075  1035.30  1063.62 6.94 4.45 -25.6 -0.483 17.72 18.34 02a57322o0439o
57322.444897  17.538  0.387   350  136 o  0   1.32 348.68805   4.53075  1038.77  1064.05 6.78 4.34 -25.8 -0.499 17.64 18.17 02a57322o0479o
57323.342090  20.699  2.727    19   52 o  0   1.08 348.68805   4.53075  5246.37  9285.59 4.17 3.22 -73.6 -0.490 18.16 19.05 02a57323o0263o
57323.371963  20.017  1.462    36   52 o  0   1.24 348.68805   4.53075  5241.03  9288.31 4.22 3.45 -72.8 -0.502 18.12 19.00 02a57323o0305o
57323.400032 -18.223  0.426  -186   79 o  0   1.10 348.68805   4.53075  1048.29  1063.98 6.81 4.13 -24.9 -0.437 18.10 18.94 02a57323o0344o
57323.430141 -19.459  1.514   -60   90 o  0   1.16 348.68805   4.53075  1048.54  1063.77 6.61 3.99 -23.0 -0.430 18.02 18.79 02a57323o0386o
57326.317105 -18.841  0.358  -106   38 o  0   1.06 348.68805   4.53075  5286.52  9298.54 4.06 3.23 -74.5 -0.508 18.80 20.26 02a57326o0236o
57326.340866  19.115  0.467    82   38 o  0   1.42 348.68805   4.53075  5285.97  9298.54 4.19 3.43 -74.0 -0.513 18.69 20.09 02a57326o0273o
57330.320663  23.038 19.500     2   43 o  0   1.49 348.68805   4.53075  5279.91  9299.89 4.56 3.77 -71.2 -0.486 18.75 20.44 02a57330o0198o
