###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57243.529563  22.067  4.167     5   22 c  0   0.81  36.57714  -9.83592  1466.78   143.70 4.52 3.77 -25.0 -0.402 19.24 21.02 02a57243o0392c
57243.546549  21.654  2.222     8   18 c  0   1.51  36.57714  -9.83592  1462.23   144.92 4.47 3.72 -22.2 -0.412 19.30 21.05 02a57243o0398c
57244.521396  20.060  0.512    34   18 c  0   1.11  36.57714  -9.83592  1477.36   145.82 4.27 3.54 -23.0 -0.440 19.38 21.16 02a57244o0360c
57244.524754  21.745  2.500     7   18 c  0   1.24  36.57714  -9.83592  1476.02   145.76 4.58 3.69 -23.3 -0.416 19.35 21.20 02a57244o0364c
57245.513252 -21.757  3.125    -7   22 c  0   0.94  36.57714  -9.83592  1486.04   147.13 4.54 3.64 -22.9 -0.415 19.28 21.07 02a57245o0380c
57245.516042  20.237  0.750    29   22 c  0   0.89  36.57714  -9.83592  1485.09   147.15 4.55 3.64 -20.5 -0.420 19.30 21.08 02a57245o0384c
57246.552187 -20.790  1.091   -18   19 c  0   0.94  36.57714  -9.83592  2474.85  9898.62 4.06 3.82 -43.2 -0.402 19.46 21.33 02a57246o0418c
57246.564165  23.400 10.500     2   17 c  0   1.04  36.57714  -9.83592  2473.46  9901.54 3.94 3.73 -51.4 -0.404 19.51 21.41 02a57246o0435c
57246.597208 -20.305  0.564   -27   16 c  0   1.00  36.57714  -9.83592  3913.41  8436.72 3.83 3.59 -62.9 -0.417 19.61 21.58 02a57246o0480c
57246.599999 -21.583  1.833    -8   16 c  0   1.17  36.57714  -9.83592  3913.41  8436.29 3.82 3.59 -61.7 -0.420 19.61 21.58 02a57246o0484c
57297.455603  20.668  1.950    20   38 o  0   0.92  36.57714  -9.83592  2491.52  9908.61 4.41 3.67 -52.9 -0.459 18.64 19.90 02a57297o0233o
57297.459639  20.160  1.103    31   35 o  0   1.22  36.57714  -9.83592  1515.13   157.40 5.18 3.42 -17.0 -0.491 18.65 19.91 02a57297o0239o
57297.479526  19.374  0.585    65   38 o  0   0.96  36.57714  -9.83592  2486.63  9913.12 4.52 3.63 -57.4 -0.455 18.65 19.89 02a57297o0269o
57297.485605 -20.144  1.200   -32   38 o  0   1.18  36.57714  -9.83592  1508.80   163.66 5.10 3.37 -18.1 -0.486 18.68 19.91 02a57297o0278o
57297.490718 -22.590 11.000    -3   37 o  0   0.92  36.57714  -9.83592  3931.11  8445.60 4.09 3.34 -68.3 -0.492 18.67 19.90 02a57297o0286o
57297.521966 -20.829  1.944   -17   33 o  0   0.93  36.57714  -9.83592  6641.93  2152.73 4.27 3.56   0.6 -0.499 18.67 19.90 02a57297o0333o
57298.452004  19.677  0.604    49   30 o  0   1.00  36.57714  -9.83592  2503.76  9911.46 4.25 3.57 -53.9 -0.456 18.88 20.30 02a57298o0382o
