###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57246.494441  20.989  1.048    15   15 c  0   1.35  10.21365   2.84045  8342.30  4610.62 3.80 3.55  87.4 -0.415 19.46 21.31 02a57246o0342c
57246.519347 -20.295  0.550   -28   15 c  0   1.23  10.21365   2.84045  8340.29  4616.24 3.79 3.57  82.3 -0.417 19.51 21.39 02a57246o0374c
57246.528062  24.189 18.000     1   14 c  0   1.98  10.21365   2.84045  9805.81  3161.38 3.94 3.65  50.0 -0.447 19.52 21.42 02a57246o0386c
57246.549242  21.233  2.062    12   24 c  0   2.59  10.21365   2.84045    94.61  3137.93 4.19 3.67 -38.3 -0.387 19.55 21.45 02a57246o0414c
57246.565665 -17.116  0.023  -517   12 c  0   4.26  10.21365   2.84045    91.64  3143.17 4.15 3.66 -38.8 -0.381 19.57 21.49 02a57246o0437c
57313.397936 -20.835  1.100   -17   18 c  0   1.32  10.21365   2.84045  2248.14  5998.59 4.39 3.70 -50.3 -0.447 19.40 21.30 02a57313o0209c
57313.421000 -20.040  0.488   -35   17 c  0   1.55  10.21365   2.84045  2236.21  5988.66 4.48 3.68 -53.4 -0.449 19.39 21.29 02a57313o0242c
57313.453046 -19.036  0.234   -88   21 c  0   1.54  10.21365   2.84045 10481.00  7479.96 4.73 3.78  82.7 -0.414 19.37 21.31 02a57313o0287c
57313.455078 -19.904  0.524   -40   21 c  0   0.87  10.21365   2.84045   766.07  7446.75 4.76 3.76 -53.8 -0.433 19.37 21.30 02a57313o0290c
57313.482556 -19.219  0.253   -75   19 c  0   1.30  10.21365   2.84045   764.71  7447.65 4.73 3.74 -54.1 -0.431 19.36 21.27 02a57313o0329c
57313.483192 -19.349  0.352   -66   23 c  0   0.87  10.21365   2.84045 10477.12  7482.13 4.68 3.76  83.6 -0.419 19.37 21.31 02a57313o0330c
57318.289450 -18.908  0.452   -99   45 o  0   0.94  10.21365   2.84045  8362.93  4636.18 4.37 3.67 -89.4 -0.517 18.42 19.62 02a57318o0148o
57318.292669 -17.960  0.167  -238   40 o  0   1.64  10.21365   2.84045  8362.20  4636.14 4.34 3.62 -89.2 -0.519 18.42 19.61 02a57318o0153o
57318.312793 -18.590  0.327  -133   44 o  0   1.21  10.21365   2.84045  9826.80  3184.36 5.03 4.27  49.3 -0.471 18.47 19.67 02a57318o0184o
57318.317997 -17.514  0.098  -358   35 o  0   1.80  10.21365   2.84045   119.83  3152.60 6.10 3.84 -39.7 -0.423 18.48 19.71 02a57318o0192o
57318.339267 -18.230  0.250  -185   46 o  0   0.91  10.21365   2.84045  9823.16  3191.67 5.04 4.30  51.3 -0.481 18.47 19.70 02a57318o0225o
57318.344425 -19.368  0.792   -65   51 o  0   0.72  10.21365   2.84045   112.11  3160.23 6.07 3.88 -40.2 -0.431 18.51 19.78 02a57318o0233o
57323.387642 -18.174  0.251  -195   49 o  0   1.60  10.21365   2.84045  2324.16  5997.91 4.50 3.52 -58.3 -0.476 18.07 18.85 02a57323o0327o
57323.417733 -18.076  0.271  -214   58 o  0   1.14  10.21365   2.84045  2318.42  6000.84 4.39 3.47 -56.2 -0.493 18.03 18.73 02a57323o0369o
57323.448540 -17.866  0.248  -259   64 o  0   1.10  10.21365   2.84045   851.27  7458.23 4.88 3.62 -59.1 -0.443 17.96 18.68 02a57323o0412o
57323.482922 -18.053  0.319  -218   70 o  0   1.23  10.21365   2.84045   847.09  7459.03 4.85 3.57 -60.0 -0.443 17.88 18.55 02a57323o0463o
57330.366510 -18.313  0.153  -172   26 o  0   1.79  10.21365   2.84045  2358.66  6011.18 5.16 3.94 -58.5 -0.447 18.92 20.67 02a57330o0269o
57330.397126 -18.056  0.140  -218   30 o  0   1.41  10.21365   2.84045  2354.31  6013.41 5.18 4.05 -54.9 -0.456 18.93 20.70 02a57330o0316o
57330.460891 -17.355  0.090  -415   37 o  0   1.18  10.21365   2.84045   865.73  7475.02 6.41 5.28 -55.1 -0.408 18.40 20.47 02a57330o0324o
57334.379538 -20.072  0.500   -34   17 c  0   1.04  10.21365   2.84045  2356.86  6012.72 4.25 3.98 -60.3 -0.371 19.39 21.31 02a57334o0293c
57334.410646  20.846  1.000    17   17 c  0   1.36  10.21365   2.84045  2354.19  6014.63 4.31 4.00 -56.7 -0.368 19.34 21.24 02a57334o0338c
57334.441852 -19.697  0.364   -48   18 c  0   1.61  10.21365   2.84045   887.57  7471.93 4.31 3.94 -61.9 -0.387 19.29 21.11 02a57334o0383c
57334.473851 -18.387  0.362  -160   58 c  0   1.08  10.21365   2.84045   893.59  7472.20 4.74 4.34 -60.5 -0.361 18.01 19.85 02a57334o0429c
57341.344536 -20.105  0.500   -33   16 c  0   1.07  10.21365   2.84045  2354.79  6014.11 4.47 4.04 -55.8 -0.375 19.46 21.47 02a57341o0144c
57341.368772 -19.301  0.235   -69   16 c  0   1.46  10.21365   2.84045  2353.28  6014.86 4.26 3.86 -55.0 -0.394 19.44 21.36 02a57341o0179c
57341.399671 -20.978  1.187   -15   18 c  0   1.20  10.21365   2.84045   885.55  7475.78 4.54 3.98 -56.1 -0.395 19.35 21.23 02a57341o0224c
57341.424521 -20.235  0.545   -29   16 c  0   1.25  10.21365   2.84045   888.48  7475.81 4.40 3.82 -58.9 -0.412 19.37 21.25 02a57341o0259c
57342.337900 -19.615  0.359   -52   19 c  0   0.91  10.21365   2.84045  2358.00  6015.34 4.30 3.87 -56.2 -0.387 19.46 21.39 02a57342o0142c
57342.364660 -19.862  0.370   -41   15 c  0   1.06  10.21365   2.84045  2353.47  6018.15 4.15 3.75 -57.6 -0.395 19.53 21.45 02a57342o0181c
57342.391535  24.151 21.000     1   17 c  0   1.28  10.21365   2.84045   887.00  7476.67 4.16 3.65 -61.4 -0.423 19.50 21.37 02a57342o0220c
57342.425446 -20.380  0.645   -26   16 c  0   1.21  10.21365   2.84045   889.55  7479.16 4.22 3.69 -56.6 -0.419 19.43 21.27 02a57342o0269c
57343.326708 -19.810  0.364   -43   16 c  0   1.28  10.21365   2.84045  2359.08  6011.91 4.22 3.74 -61.2 -0.421 19.39 21.20 02a57343o0200c
57343.355008 -20.536  0.724   -22   16 c  0   1.08  10.21365   2.84045  2358.32  6015.99 4.15 3.69 -57.2 -0.408 19.51 21.41 02a57343o0241c
57343.376662 -23.332 10.000    -2   17 c  0   1.33  10.21365   2.84045   886.71  7472.78 4.34 3.77 -61.5 -0.415 19.49 21.40 02a57343o0272c
57343.405864 -20.866  0.947   -16   16 c  0   1.50  10.21365   2.84045   888.88  7475.29 4.38 3.80 -57.7 -0.405 19.45 21.36 02a57343o0315c
57366.282893 -19.841  0.667   -42   28 o  0   1.19  10.21365   2.84045  2839.89  5504.51 4.40 3.86 -54.8 -0.421 18.82 20.34 02a57366o0136o
57366.298530 -18.395  0.173  -159   28 o  0   1.28  10.21365   2.84045  3128.91  6088.91 4.47 4.00 -59.2 -0.405 18.79 20.37 02a57366o0161o
57366.315575 -18.651  0.203  -126   26 o  0   1.56  10.21365   2.84045  2259.44  4934.14 4.63 4.01 -46.9 -0.413 18.78 20.32 02a57366o0188o
57366.333571 -20.177  1.000   -31   31 o  0   0.94  10.21365   2.84045  1963.16  6684.49 4.60 4.02 -56.6 -0.418 18.77 20.34 02a57366o0215o
57374.311191 -18.315  0.377  -171   65 c  0   1.80  10.21365   2.84045  1955.77  6684.77 5.28 4.46 -72.3 -0.410 17.79 19.93 02a57374o0112c
57382.256752 -18.707  0.314  -119   38 o  0   1.25  10.21365   2.84045  2645.70  5727.23 4.06 3.65 -65.4 -0.436 18.45 19.48 02a57382o0035o
57382.272355 -18.914  0.422   -99   42 o  0   1.21  10.21365   2.84045  2932.64  6309.09 4.21 3.76 -66.9 -0.427 18.37 19.45 02a57382o0058o
57382.289452 -17.847  0.139  -264   37 o  0   1.73  10.21365   2.84045  2063.70  5147.06 4.40 3.75 -53.8 -0.451 18.35 19.37 02a57382o0083o
57382.307358 -18.452  0.329  -151   50 o  0   1.16  10.21365   2.84045  1766.14  6889.74 4.62 3.97 -63.0 -0.427 18.23 19.31 02a57382o0109o
57383.247870 -21.695  5.333    -8   41 o  0   0.82  10.21365   2.84045  2641.87  5724.53 5.02 4.50 -59.4 -0.389 18.38 19.86 02a57383o0113o
57400.252109  22.810  7.167     3   20 c  0   1.32  10.21365   2.84045  2684.17  5660.48 4.39 3.93 -58.0 -0.431 19.17 20.94 02a57400o0092c
57400.269876 -19.903  0.548   -40   22 c  0   0.99  10.21365   2.84045  3004.20  6247.17 4.19 3.75 -62.1 -0.444 19.20 20.93 02a57400o0121c
57400.287606 -21.305  1.958   -11   21 c  0   1.13  10.21365   2.84045  2167.98  5084.33 4.36 3.78 -47.3 -0.447 19.19 20.90 02a57400o0150c
57400.305559 -21.671  2.778    -8   22 c  0   1.01  10.21365   2.84045  1906.29  6826.37 4.17 3.69 -57.8 -0.438 19.15 20.83 02a57400o0179c
57401.251038 -20.901  1.368   -16   22 c  0   1.13  10.21365   2.84045  2627.83  5724.14 4.16 3.72 -61.9 -0.442 19.15 20.78 02a57401o0102c
57401.268617 -19.719  0.415   -47   20 c  0   1.35  10.21365   2.84045  2921.13  6305.61 4.01 3.68 -64.6 -0.434 19.13 20.75 02a57401o0131c
57401.286194 -19.807  0.520   -43   22 c  0   1.10  10.21365   2.84045  2056.91  5142.41 4.19 3.70 -52.1 -0.440 19.09 20.67 02a57401o0160c
57401.303843 -20.034  0.617   -35   22 c  0   1.71  10.21365   2.84045  1763.61  6886.54 4.19 3.72 -60.2 -0.421 19.02 20.59 02a57401o0189c
57408.216839 -19.472  0.664   -59   39 o  0   1.50  10.21365   2.84045  2060.45  6303.59 3.90 3.67 -78.3 -0.434 18.37 19.30 02a57408o0054o
57408.229899 -18.960  0.449   -95   42 o  0   1.45  10.21365   2.84045  1770.40  5721.59 4.19 3.72 -62.1 -0.463 18.42 19.44 02a57408o0075o
57408.245764 -20.157  1.541   -31   48 o  0   1.19  10.21365   2.84045  2640.44  6884.30 3.84 3.51 -68.3 -0.457 18.42 19.37 02a57408o0101o
57408.264680 -18.897  0.424  -100   43 o  0   1.17  10.21365   2.84045  2938.46  5144.01 4.12 3.71 -57.8 -0.472 18.30 19.27 02a57408o0132o
57591.563951 -19.208  0.517   -75   39 o  0   1.35  10.21365   2.84045  8489.96  3277.92 3.71 3.25  65.4 -0.491 18.45 19.31 02a57591o0600o
57591.595084 -18.751  0.405  -115   46 o  0   1.05  10.21365   2.84045  8440.95  3243.22 3.73 3.28  73.1 -0.500 18.45 19.32 02a57591o0659o
57591.607786 -19.382  0.625   -64   40 o  0   1.16  10.21365   2.84045  8422.47  3359.55 3.76 3.29  67.1 -0.489 18.48 19.37 02a57591o0684o
57591.627327 -19.347  0.897   -66   59 o  0   1.38  10.21365   2.84045  8458.59  3305.16 3.61 3.14  69.6 -0.512 18.11 18.59 02a57591o0721o
57600.578867 -18.650  0.406  -126   51 c  0   1.31  10.21365   2.84045  7063.20  3258.62 4.53 4.22  15.8 -0.398 18.36 20.46 02a57600o0509c
57607.562247  20.505  0.572    23   13 c  0   1.61  10.21365   2.84045  7284.58  6182.78 3.91 3.48  88.1 -0.445 19.69 21.68 02a57607o0447c
57607.577997 -22.686  4.842    -3   15 c  0   1.23  10.21365   2.84045  7301.80  6224.27 3.88 3.42  85.3 -0.441 19.72 21.71 02a57607o0468c
57607.612541 -20.818  0.689   -17   12 c  0   1.51  10.21365   2.84045  3322.30  4244.45 3.88 3.51 -23.4 -0.433 19.70 21.67 02a57607o0514c
57611.544573 -17.993  0.085  -230   20 o  0   2.39  10.21365   2.84045  9771.87  6024.51 4.61 3.33  83.0 -0.460 19.26 21.37 02a57611o0573o
57611.548725  17.771  0.161   283   46 o  0   4.31  10.21365   2.84045    72.04  5997.15 4.45 3.49 -57.9 -0.409 19.24 21.38 02a57611o0581o
57611.563943 -18.153  0.102  -199   20 o  0   2.07  10.21365   2.84045   749.11  4417.60 4.26 3.49 -40.7 -0.461 19.28 21.42 02a57611o0608o
57611.571950  18.269  0.146   179   26 o  0   2.29  10.21365   2.84045    85.90  6036.64 4.32 3.42 -58.0 -0.429 19.27 21.39 02a57611o0622o
57611.573504 -18.298  0.143  -174   25 o  0   1.77  10.21365   2.84045  9730.26  5987.94 4.59 3.29  85.1 -0.468 19.26 21.40 02a57611o0625o
57611.581611 -18.084  0.080  -212   17 o  0   2.50  10.21365   2.84045   823.29  4378.21 4.28 3.51 -43.1 -0.467 19.25 21.40 02a57611o0639o
57611.582126 -16.753  0.058  -722   42 o  0   1.74  10.21365   2.84045 10509.08  4519.60 4.76 3.87  71.6 -0.479 19.23 21.40 02a57611o0640o
57611.594882 -16.887  0.055  -638   35 o  0   6.37  10.21365   2.84045 10527.85  4404.60 4.69 3.72  73.1 -0.473 19.25 21.40 02a57611o0664o
57611.599308 -18.145  0.102  -200   20 o  0   2.24  10.21365   2.84045   781.09  4437.22 4.26 3.45 -43.3 -0.475 19.27 21.40 02a57611o0672o
57611.613302 -17.450  0.179  -380   68 o  0   0.53  10.21365   2.84045 10485.16  4465.56 4.79 3.52  78.7 -0.489 19.22 21.33 02a57611o0696o
57619.515061 -22.282 69.455    -4  308 o  0   0.11  10.21365   2.84045    44.97  5110.62 4.03 3.38 -58.5 -0.426 18.23 19.22 02a57619o0375o
57619.526826 -18.506  0.373  -144   54 o  0   1.39  10.21365   2.84045  9769.41  5179.34 4.18 2.87  84.8 -0.494 18.21 19.15 02a57619o0396o
57619.537917 -17.148 28.283  -502 14206 o  0   0.00  10.21365   2.84045    62.20  5149.64 4.00 3.37 -55.7 -0.411 18.26 19.26 02a57619o0417o
57619.539483 -18.457  0.352  -150   53 o  0   1.47  10.21365   2.84045  9706.08  5101.39 4.06 2.98  81.6 -0.524 18.22 19.17 02a57619o0420o
57619.548955 -18.375  0.259  -162   42 o  0   1.47  10.21365   2.84045   834.14  5241.03 4.09 3.59 -27.8 -0.445 18.22 19.50 02a57619o0438o
57619.563147  17.054  0.112   548   61 o  0   1.63  10.21365   2.84045   789.90  5299.85 4.77 3.80 -12.1 -0.415 18.11 19.50 02a57619o0465o
57619.577674 -17.695  1.339  -304  406 o  0   0.17  10.21365   2.84045 10493.02  5328.75 4.81 4.28  35.4 -0.466 18.15 19.57 02a57619o0490o
57630.504620 -20.510  0.635   -23   14 c  0   1.40  10.21365   2.84045  9012.93  6417.02 3.99 3.62  86.4 -0.401 19.64 21.65 02a57630o0489c
57630.521269 -24.210 22.000    -1   16 c  0   0.96  10.21365   2.84045  1509.65  4000.39 3.99 3.78  63.9 -0.391 19.64 21.63 02a57630o0519c
57630.540775 -20.459  0.547   -24   13 c  0   1.49  10.21365   2.84045  1564.92  4076.36 3.96 3.72  67.6 -0.391 19.66 21.66 02a57630o0552c
57630.554143 -20.430  0.585   -24   14 c  0   1.23  10.21365   2.84045  1588.24  3964.95 3.99 3.75  73.6 -0.389 19.65 21.68 02a57630o0577c
57630.560435 -20.626  0.750   -20   15 c  0   1.07  10.21365   2.84045  1546.52  4019.35 3.94 3.68  71.0 -0.391 19.68 21.68 02a57630o0587c
57638.482809  20.727  0.780    19   14 c  0   1.46  10.21365   2.84045  2859.34  5434.84 4.00 3.73   9.5 -0.384 19.58 21.57 02a57638o0480c
57638.499538 -22.281  3.385    -4   15 c  0   1.10  10.21365   2.84045  2837.21  5399.09 3.70 3.63  42.0 -0.405 19.63 21.53 02a57638o0510c
57638.518781 -20.572  0.656   -21   14 c  0   1.54  10.21365   2.84045  2893.97  5475.88 3.67 3.52  67.7 -0.409 19.62 21.48 02a57638o0545c
57638.531797  21.588  1.840     8   16 c  0   1.07  10.21365   2.84045  2914.07  5361.85 3.65 3.52  70.0 -0.413 19.61 21.46 02a57638o0570c
57650.459393 -19.684  0.824   -49   40 o  0   1.30  10.21365   2.84045   952.55  5381.67 4.06 3.64  10.2 -0.436 18.32 19.19 02a57650o0448o
57650.473436 -18.473  0.265  -148   39 o  0   1.39  10.21365   2.84045   927.51  5337.61 3.56 3.34  69.0 -0.469 18.43 19.17 02a57650o0476o
57650.493789  19.405  0.696    63   44 o  0   1.08  10.21365   2.84045   984.18  5416.95 3.52 3.28  64.2 -0.489 18.43 19.14 02a57650o0514o
