###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57400.617401 -19.132  0.183   -81   15 c  0   0.76 194.20160   3.89096  6514.31  2847.53 3.83 3.74   1.5 -0.446 19.63 21.65 02a57400o0633c
57400.639478 -19.565  0.238   -54   13 c  0   1.27 194.20160   3.89096  6186.67  2252.96 4.01 3.76  -2.1 -0.407 19.66 21.71 02a57400o0664c
57400.656448 -19.679  0.252   -49   12 c  0   1.11 194.20160   3.89096  7048.64  3408.15 3.66 3.63  58.2 -0.398 19.68 21.68 02a57400o0685c
57400.668769 -19.732  0.396   -46   18 c  0   1.17 194.20160   3.89096  3258.96  8805.80 3.74 3.69  85.4 -0.418 19.31 20.96 02a57400o0700c
57401.616376 -20.497  0.500   -23   12 c  0   1.47 194.20160   3.89096  6491.51  2993.25 3.65 3.57  -4.4 -0.412 19.65 21.57 02a57401o0652c
57401.638848 -19.623  0.293   -51   15 c  0   0.72 194.20160   3.89096  6193.40  2415.79 3.76 3.58  -1.4 -0.421 19.65 21.58 02a57401o0682c
57401.656603 -20.233  0.366   -29   11 c  0   1.76 194.20160   3.89096  7081.14  3585.06 3.61 3.47  70.8 -0.406 19.64 21.56 02a57401o0705c
57401.667943 -19.691  0.318   -48   15 c  0   1.37 194.20160   3.89096  3359.20  8884.58 3.60 3.57  50.4 -0.407 19.39 21.02 02a57401o0720c
57408.597519 -18.489  0.193  -146   28 o  0   1.03 194.20160   3.89096  7096.16  2409.14 3.65 3.52  29.6 -0.452 18.75 19.92 02a57408o0643o
57408.598134 -18.555  0.193  -137   26 o  0   1.20 194.20160   3.89096  7383.68  2992.05 3.53 3.39  53.0 -0.451 18.78 19.93 02a57408o0644o
57408.630535 -18.870  0.202  -103   21 o  0   1.09 194.20160   3.89096  6487.07  1835.83 3.80 3.47  -1.7 -0.474 19.15 20.65 02a57408o0693o
57408.651632 -18.359  0.111  -165   18 o  0   1.25 194.20160   3.89096  4554.10  7132.07 3.47 3.22  89.8 -0.453 19.20 20.70 02a57408o0725o
57436.390476 -18.642  0.385  -127   49 c  0   1.26 194.20160   3.89096  7304.18  2578.25 4.86 4.43  14.3 -0.331 18.20 19.34 02a57436o0292c
57436.404094 -20.625  2.182   -20   45 c  0   0.94 194.20160   3.89096  7589.53  3161.88 4.25 3.98  29.7 -0.391 18.39 19.50 02a57436o0315c
57436.417704 -19.626  0.664   -51   34 c  0   1.41 194.20160   3.89096  6425.46  3746.78 4.06 3.96  14.0 -0.378 18.43 19.58 02a57436o0338c
57436.431320 -19.922  0.876   -39   34 c  0   1.17 194.20160   3.89096  6155.25  3555.29 4.24 4.04   7.0 -0.363 18.49 19.68 02a57436o0361c
57445.581273 -18.416  0.219  -156   34 o  0   1.17 194.20160   3.89096  3339.33  8394.62 3.48 3.27 -68.4 -0.471 18.58 19.50 02a57445o0730o
57445.603903 -18.881  0.332  -102   34 o  0   1.16 194.20160   3.89096  3053.70  7810.78 3.56 3.29 -66.9 -0.475 18.53 19.45 02a57445o0771o
57445.626950 -18.206  0.190  -190   36 o  0   1.00 194.20160   3.89096  4214.75  7231.22 3.54 3.23 -70.6 -0.477 18.48 19.37 02a57445o0812o
57445.650435 -18.102  0.173  -209   36 o  0   1.03 194.20160   3.89096  4489.39  7115.31 3.62 3.30 -73.7 -0.474 18.40 19.29 02a57445o0853o
57452.573213 -19.354  0.234   -66   15 c  0   0.86 194.20160   3.89096  3469.14  8506.28 3.65 3.56 -74.0 -0.427 19.68 21.66 02a57452o0621c
57452.595417 -19.288  0.218   -70   15 c  0   1.04 194.20160   3.89096  3182.45  7924.33 3.69 3.52 -64.9 -0.420 19.62 21.54 02a57452o0664c
57452.618003 -20.182  0.489   -31   15 c  0   0.99 194.20160   3.89096  4363.16  7344.88 3.63 3.45 -75.3 -0.421 19.54 21.40 02a57452o0707c
57452.640496 -19.386  0.233   -64   15 c  0   1.15 194.20160   3.89096  4483.83  7114.35 3.66 3.48 -76.7 -0.415 19.47 21.29 02a57452o0750c
57460.545642 -19.568  0.255   -54   14 c  0   1.15 194.20160   3.89096  3604.22  8273.40 3.74 3.61 -41.8 -0.435 19.57 21.49 02a57460o0667c
57460.569310 -19.159  0.189   -79   15 c  0   1.13 194.20160   3.89096  3315.36  7691.85 3.74 3.55 -53.0 -0.441 19.56 21.48 02a57460o0710c
57460.591996 -20.873  0.939   -16   15 c  0   1.02 194.20160   3.89096  4478.36  7112.93 3.66 3.45 -75.0 -0.419 19.55 21.43 02a57460o0753c
57460.614653 -20.226  0.552   -30   16 c  0   0.86 194.20160   3.89096  4480.27  7115.46 3.66 3.45 -72.4 -0.422 19.50 21.35 02a57460o0796c
57464.522804 -18.511  0.136  -143   20 o  0   0.99 194.20160   3.89096  3376.74  7991.11 3.76 3.37 -66.9 -0.467 19.18 20.87 02a57464o0631o
57464.545549 -18.534  0.128  -140   18 o  0   1.24 194.20160   3.89096  3087.50  7411.33 3.73 3.29 -66.4 -0.483 19.25 20.97 02a57464o0674o
57464.568238 -18.364  0.109  -164   18 o  0   1.10 194.20160   3.89096  4249.44  6831.80 3.61 3.23 -72.5 -0.491 19.18 20.87 02a57464o0717o
57464.590716 -18.366  0.115  -164   19 o  0   1.35 194.20160   3.89096  4481.23  7106.79 3.60 3.20 -75.0 -0.495 19.15 20.81 02a57464o0760o
57476.497933 -18.153  0.126  -199   25 o  0   0.89 194.20160   3.89096  3688.09  8014.59 3.59 3.33 -73.7 -0.474 18.89 20.23 02a57476o0566o
57476.520118 -18.945  0.239   -96   23 o  0   1.23 194.20160   3.89096  3397.80  7436.18 3.59 3.30 -70.0 -0.464 18.87 20.21 02a57476o0609o
57476.542310 -18.865  0.292  -103   30 o  0   0.98 194.20160   3.89096  4561.45  6856.41 3.83 3.65 -66.9 -0.436 18.73 20.15 02a57476o0652o
57476.564970 -18.167  0.163  -196   32 o  0   1.00 194.20160   3.89096  4466.43  7110.69 4.48 4.08  -2.4 -0.393 18.47 19.94 02a57476o0695o
57480.501903 -21.595  1.760    -8   15 c  0   1.12 194.20160   3.89096  3317.48  8322.23 3.71 3.55 -67.9 -0.425 19.59 21.49 02a57480o0584c
57480.525420 -19.856  0.372   -42   15 c  0   1.12 194.20160   3.89096  3028.01  7744.95 3.68 3.51 -63.3 -0.429 19.47 21.27 02a57480o0629c
57480.548837 -20.660  1.034   -20   20 c  0   1.13 194.20160   3.89096  4193.57  7164.49 3.66 3.48 -75.2 -0.423 19.35 21.05 02a57480o0674c
57480.572308 -20.052  0.525   -35   18 c  0   1.22 194.20160   3.89096  4465.83  7108.76 3.68 3.49 -73.7 -0.419 19.22 20.84 02a57480o0719c
57490.421451 -19.964  0.430   -38   16 c  0   0.92 194.20160   3.89096  3352.62  8159.48 3.93 3.87  -0.0 -0.388 19.56 21.57 02a57490o0467c
57490.439599 -20.068  0.454   -34   16 c  0   0.87 194.20160   3.89096  3066.67  7578.16 3.78 3.68 -78.8 -0.399 19.59 21.56 02a57490o0498c
57490.458881 -19.612  0.293   -52   15 c  0   0.96 194.20160   3.89096  4226.23  6999.60 3.68 3.54 -85.7 -0.397 19.58 21.49 02a57490o0530c
57490.477777 -20.146  0.469   -32   15 c  0   0.95 194.20160   3.89096  4474.87  7096.23 3.67 3.53 -88.3 -0.403 19.54 21.41 02a57490o0561c
57491.415995 -19.364  0.417   -65   27 c  0   1.04 194.20160   3.89096  3762.59  8178.10 5.29 4.20  -1.9 -0.346 18.70 20.63 02a57491o0377c
57491.434655 -19.625  0.358   -51   18 c  0   0.80 194.20160   3.89096  3470.62  7598.88 4.40 4.15 -63.7 -0.375 19.24 21.23 02a57491o0408c
57491.448300 -19.770  0.562   -45   25 c  0   1.30 194.20160   3.89096  4638.62  7015.24 4.29 4.07 -71.0 -0.368 18.78 20.82 02a57491o0431c
57491.473070 -19.994  0.547   -36   20 c  0   0.84 194.20160   3.89096  4480.63  7093.62 4.44 4.22 -70.3 -0.368 19.21 21.20 02a57491o0473c
57493.414775 -18.517  0.207  -142   29 o  0   1.09 194.20160   3.89096  3531.32  8082.07 3.93 3.68  -4.1 -0.453 18.67 20.07 02a57493o0395o
57493.415251 -18.511  0.152  -143   22 o  0   1.47 194.20160   3.89096  3531.22  8082.31 3.74 3.58 -66.8 -0.444 18.82 20.17 02a57493o0396o
57493.436627 -18.229  0.137  -185   25 o  0   1.03 194.20160   3.89096  3250.67  7498.09 3.62 3.35 -72.9 -0.454 18.85 20.10 02a57493o0439o
57493.446960 -18.447  0.166  -152   25 o  0   1.12 194.20160   3.89096  4395.22  6921.55 3.52 3.24 -80.1 -0.464 18.85 20.09 02a57493o0460o
57493.465920 -18.434  0.161  -154   25 o  0   0.90 194.20160   3.89096  4464.84  7101.77 3.73 3.44 -83.1 -0.441 18.79 20.09 02a57493o0497o
57495.344746 -18.509  0.287  -143   41 o  0   1.05 194.20160   3.89096  6739.51  2578.96 3.94 3.64   8.3 -0.531 18.44 19.40 02a57495o0257o
57495.351817 -17.866  0.152  -259   39 o  0   1.10 194.20160   3.89096  6760.09  2618.37 3.98 3.58   9.6 -0.517 18.41 19.36 02a57495o0270o
57495.369299 -18.373  0.248  -162   40 o  0   0.83 194.20160   3.89096  6682.62  2540.82 4.15 3.70   4.1 -0.477 18.43 19.43 02a57495o0304o
57495.384561 -18.254  0.205  -181   37 o  0   1.08 194.20160   3.89096  6659.35  2657.31 3.90 3.57  13.7 -0.492 18.47 19.44 02a57495o0334o
57506.446309 -18.609  0.211  -131   28 o  0   1.04 194.20160   3.89096  3821.51  7986.58 3.98 3.68 -68.0 -0.437 18.76 20.17 02a57506o0434o
57506.464688 -18.586  0.192  -134   26 o  0   1.08 194.20160   3.89096  3881.95  7947.96 3.88 3.61 -69.2 -0.454 18.75 20.12 02a57506o0470o
57506.482857 -18.617  0.261  -130   34 o  0   0.70 194.20160   3.89096  3803.93  7928.85 3.87 3.56 -65.7 -0.452 18.70 20.01 02a57506o0506o
57506.501069 -18.699  0.272  -120   33 o  0   1.17 194.20160   3.89096  3898.78  8007.47 4.10 3.83 -61.6 -0.439 18.54 19.88 02a57506o0542o
57506.518663 -18.158  0.194  -198   38 o  0   1.16 194.20160   3.89096  3782.95  8025.53 4.56 4.26 -52.3 -0.429 18.31 19.69 02a57506o0577o
57510.448587 -21.235  1.556   -12   18 c  0   0.95 194.20160   3.89096  3822.15  7986.97 4.18 3.95 -68.2 -0.399 19.39 21.42 02a57510o0456c
57510.467028 -19.762  0.423   -45   19 c  0   0.89 194.20160   3.89096  3882.16  7948.37 4.27 4.11 -52.4 -0.399 19.34 21.37 02a57510o0492c
57510.484808 -20.107  0.526   -33   17 c  0   0.97 194.20160   3.89096  3804.45  7928.81 4.06 3.85 -62.8 -0.399 19.32 21.31 02a57510o0527c
57510.501449 -19.994  0.517   -36   19 c  0   0.85 194.20160   3.89096  3901.64  8007.26 3.93 3.72 -63.4 -0.415 19.30 21.20 02a57510o0560c
57510.518082 -19.439  0.324   -61   20 c  0   1.00 194.20160   3.89096  3785.58  8026.18 4.01 3.78 -57.3 -0.414 19.19 21.05 02a57510o0593c
57537.338693 -21.282  1.500   -11   17 c  0   1.19 194.20160   3.89096  2609.00  8178.53 4.20 3.76 -58.0 -0.435 19.48 21.50 02a57537o0228c
57537.349833 -19.112  0.220   -82   18 c  0   0.80 194.20160   3.89096  2589.64  8138.82 4.08 3.73 -60.9 -0.436 19.49 21.49 02a57537o0246c
57537.372640 -19.354  0.252   -66   17 c  0   1.09 194.20160   3.89096  2666.72  8099.08 4.05 3.67 -58.7 -0.428 19.49 21.47 02a57537o0281c
57537.389817 -19.384  0.269   -64   17 c  0   0.91 194.20160   3.89096  2627.21  8155.76 3.97 3.61 -57.1 -0.436 19.48 21.43 02a57537o0308c
57543.324328 -20.083  0.584   -34   20 c  0   0.77 194.20160   3.89096  2619.98  6831.27 4.14 3.70 -59.9 -0.456 19.48 21.51 02a57543o0224c
57543.338070 -20.516  0.780   -23   18 c  0   1.03 194.20160   3.89096  2602.33  6792.87 4.03 3.62 -60.3 -0.443 19.39 21.38 02a57543o0247c
57543.352374 -20.183  0.486   -31   15 c  0   1.25 194.20160   3.89096  2662.41  6870.93 4.04 3.58 -57.0 -0.445 19.43 21.41 02a57543o0267c
57543.365665 -23.582 15.000    -1   20 c  0   0.98 194.20160   3.89096  2685.28  6754.51 4.01 3.59 -58.3 -0.446 19.36 21.32 02a57543o0288c
57543.380845  22.094  3.462     5   18 c  0   0.91 194.20160   3.89096  2648.89  6811.84 3.89 3.51 -57.6 -0.447 19.42 21.35 02a57543o0311c
57547.316837 -20.132  0.525   -32   17 c  0   1.01 194.20160   3.89096  5169.25  6890.47 3.98 3.67 -80.3 -0.462 19.52 21.54 02a57547o0163c
57547.329617 -19.316  0.205   -68   14 c  0   1.35 194.20160   3.89096  5153.26  6852.66 4.13 3.84 -77.8 -0.431 19.49 21.56 02a57547o0184c
57547.343878 -19.843  0.380   -42   16 c  0   1.08 194.20160   3.89096  5214.20  6929.55 3.96 3.63 -77.0 -0.440 19.51 21.53 02a57547o0207c
57547.371989 -19.690  0.347   -48   17 c  0   0.84 194.20160   3.89096  5197.28  6871.80 3.92 3.64 -74.0 -0.429 19.48 21.47 02a57547o0248c
57562.275432 -18.230  0.139  -185   26 o  0   1.08 194.20160   3.89096  5222.41  9272.97 4.05 3.66 -87.5 -0.493 19.07 20.83 02a57562o0083o
57562.301976 -18.425  0.172  -155   27 o  0   0.97 194.20160   3.89096  5257.44  9311.78 3.97 3.77 -75.8 -0.474 18.88 20.48 02a57562o0134o
57562.313989 -18.470  0.209  -149   31 o  0   1.06 194.20160   3.89096  5279.73  9193.74 3.94 3.70 -75.9 -0.470 18.72 20.13 02a57562o0156o
57562.326332 -18.031  0.139  -223   31 o  0   1.14 194.20160   3.89096  5242.38  9251.13 3.86 3.69 -68.6 -0.473 18.62 19.94 02a57562o0178o
57566.267627 -18.306  0.159  -173   27 o  0   0.98 194.20160   3.89096  5018.96  7929.34 3.78 3.47 -89.8 -0.468 19.03 20.65 02a57566o0076o
57566.279254 -18.635  0.182  -128   23 o  0   1.21 194.20160   3.89096  4998.93  7890.51 3.79 3.50 -88.5 -0.462 19.07 20.73 02a57566o0096o
57566.292378 -18.678  0.149  -123   18 o  0   1.86 194.20160   3.89096  5054.77  7967.55 3.76 3.40 -85.6 -0.461 19.10 20.78 02a57566o0122o
57566.305449 -18.627  0.170  -129   22 o  0   1.10 194.20160   3.89096  5074.42  7850.35 3.67 3.33 -81.7 -0.456 19.11 20.79 02a57566o0146o
57570.271179 -16.546  0.274  -874  239 o  0   1.14 194.20160   3.89096  4023.25  7711.39 3.80 3.42 -79.8 -0.462 16.68 18.20 02a57570o0073o
57570.283229 -18.261  0.466  -180   84 o  0   1.10 194.20160   3.89096  4004.30  7671.28 3.76 3.40 -78.9 -0.470 17.62 19.13 02a57570o0097o
57570.297420 -18.675  0.366  -123   45 o  0   1.02 194.20160   3.89096  4061.79  7748.28 3.70 3.41 -72.7 -0.481 18.33 19.90 02a57570o0125o
57570.310416 -17.740  0.411  -291  120 o  0   1.35 194.20160   3.89096  4083.16  7631.08 3.61 3.30 -72.3 -0.471 17.07 18.50 02a57570o0150o
57570.322903 -17.429  0.565  -388  219 o  0   1.10 194.20160   3.89096  4047.08  7687.61 3.61 3.28 -72.7 -0.494 16.57 17.98 02a57570o0174o
57574.260891 -20.005  0.667   -36   24 c  0   0.98 194.20160   3.89096  2090.47  7986.01 4.10 3.94 -81.0 -0.420 19.18 20.91 02a57574o0044c
57574.270044 -19.476  0.348   -59   20 c  0   1.10 194.20160   3.89096  2072.19  7943.82 4.14 3.84 -68.7 -0.432 19.37 21.28 02a57574o0062c
57574.281727 -19.324  0.283   -68   19 c  0   1.23 194.20160   3.89096  2129.30  8020.43 4.01 3.75 -67.9 -0.434 19.38 21.28 02a57574o0085c
57574.295733 -19.894  0.467   -40   19 c  0   1.17 194.20160   3.89096  2147.37  7902.90 4.13 3.75 -62.7 -0.434 19.36 21.26 02a57574o0113c
57574.308436 -19.780  0.485   -44   22 c  0   0.96 194.20160   3.89096  2111.99  7960.85 4.13 3.84 -55.4 -0.449 19.34 21.26 02a57574o0138c
57578.254868 -19.160  0.479   -79   38 c  0   1.18 194.20160   3.89096  4896.32  7718.58 4.04 3.79 -85.6 -0.439 18.64 19.84 02a57578o0032c
57578.259864 -19.139  0.317   -80   25 c  0   0.99 194.20160   3.89096  4877.77  7679.99 3.98 3.74 -85.4 -0.433 18.97 20.48 02a57578o0042c
