###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57356.664626 -21.653 10.545    -8   84 o  0   1.11 176.43676 -11.78807  3536.80  4087.40 3.68 3.47 -65.1 -0.418 17.58 17.74 02a57356o0675o
57357.640414  21.443  3.538    10   34 o  0   0.70 176.43676 -11.78807  3533.38  4374.69 3.66 3.46 -63.4 -0.428 18.67 19.82 02a57357o0717o
57357.643604 -23.478 20.500    -2   30 o  0   1.12 176.43676 -11.78807  3229.79  4375.25 3.69 3.47 -57.1 -0.420 18.68 19.83 02a57357o0722o
57357.669107 -16.549  0.451  -872  393 o  0   1.34 176.43676 -11.78807  2641.10  3801.27 3.88 3.59 -57.3 -0.428 16.98 16.61 02a57357o0762o
57358.622862  19.375  0.500    64   32 o  0   1.29 176.43676 -11.78807  3238.51  4371.26 4.50 3.90 -13.6 -0.378 18.54 19.87 02a57358o0721o
57358.637516  21.096  2.290    13   30 o  0   1.17 176.43676 -11.78807  2951.02  3794.39 4.00 3.66 -29.1 -0.421 18.68 19.90 02a57358o0745o
57358.657651 -19.756  0.827   -46   38 o  0   1.33 176.43676 -11.78807  3816.85  4957.62 3.85 3.72 -56.0 -0.416 18.36 19.35 02a57358o0772o
57359.631450  24.204 35.000     1   26 o  0   1.22 176.43676 -11.78807  3237.43  4372.91 3.78 3.53 -51.3 -0.415 18.75 19.98 02a57359o0599o
57359.637578  22.426  7.400     4   29 o  0   1.10 176.43676 -11.78807  2953.36  3795.61 3.87 3.53 -41.5 -0.426 18.77 20.00 02a57359o0609o
57359.646690 -19.647  0.543   -50   27 o  0   0.80 176.43676 -11.78807  3821.56  4956.21 3.65 3.45 -68.1 -0.416 18.77 19.99 02a57359o0624o
57359.671903 -15.079  0.282 -3377  953 o  0   1.00 176.43676 -11.78807  4101.83  3221.09 12.85 9.27 -86.3 -0.136 16.56 15.90 02a57359o0665o
57399.567511 -20.294  0.551   -28   15 c  0   0.83 176.43676 -11.78807  3172.39  4226.28 3.86 3.63 -39.0 -0.397 19.61 21.58 02a57399o0596c
57399.596805 -22.729  5.000    -3   15 c  0   1.25 176.43676 -11.78807  2842.71  3623.68 3.93 3.62 -33.5 -0.409 19.62 21.59 02a57399o0639c
57399.616579 -19.901  0.350   -40   14 c  0   1.25 176.43676 -11.78807  3685.67  4772.25 3.72 3.54 -60.2 -0.397 19.61 21.55 02a57399o0667c
57399.630276 -19.526  0.240   -56   14 c  0   1.24 176.43676 -11.78807  6574.82  7414.37 3.62 3.40  80.4 -0.411 19.61 21.53 02a57399o0688c
57408.618245  21.459  2.630    10   25 o  0   1.19 176.43676 -11.78807  6944.51  6885.13 3.60 3.31  88.2 -0.445 18.89 20.22 02a57408o0674o
57408.636770  20.336  0.720    27   19 o  0   1.48 176.43676 -11.78807  6655.25  6304.59 3.63 3.29  86.2 -0.438 19.10 20.65 02a57408o0702o
57408.652261  20.691  1.103    19   21 o  0   1.39 176.43676 -11.78807  7531.68  7469.38 3.48 3.14  89.3 -0.466 19.13 20.63 02a57408o0726o
57408.663461  19.837  0.608    42   26 o  0   0.75 176.43676 -11.78807  7816.95  5727.28 3.46 3.07  87.1 -0.462 19.10 20.52 02a57408o0744o
