###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57230.278436  18.810  0.336   109   36 o  0   1.00 203.83315   7.46899  8589.52  5069.76 4.01 3.48 -87.4 -0.415 18.53 19.64 02a57230o0046o
57230.293501  19.991  0.830    37   30 o  0   1.77 203.83315   7.46899  8573.22  5074.54 3.86 3.25 -88.6 -0.436 18.51 19.54 02a57230o0067o
57248.272604  23.250 12.000     2   22 c  0   1.21 203.83315   7.46899  8353.77  5251.36 4.21 3.82 -89.4 -0.415 19.13 20.93 02a57248o0050c
57400.638254 -20.088  0.440   -34   15 c  0   1.20 203.83315   7.46899  2010.76  5585.89 4.19 3.81 -51.0 -0.404 19.66 21.75 02a57400o0662c
57400.661453  20.543  0.691    22   15 c  0   1.07 203.83315   7.46899  1684.77  4992.60 4.27 3.73 -46.5 -0.406 19.63 21.63 02a57400o0691c
57400.677228 -18.716  0.489  -118   58 c  0   0.96 203.83315   7.46899  2820.50  4407.43 3.93 3.64 -50.4 -0.416 18.28 18.99 02a57400o0711c
57401.637618 -21.475  1.692    -9   16 c  0   0.93 203.83315   7.46899  1964.46  5709.13 3.95 3.58 -53.6 -0.421 19.67 21.63 02a57401o0680c
57401.661725 -20.560  0.695   -22   15 c  0   1.18 203.83315   7.46899  1672.26  5132.62 4.01 3.61 -50.3 -0.427 19.60 21.50 02a57401o0713c
57401.665314  20.136  0.479    32   15 c  0   1.20 203.83315   7.46899  2543.21  6300.47 3.81 3.54 -67.9 -0.419 19.52 21.32 02a57401o0717c
57401.677573 -20.374  1.840   -26   47 c  0   1.34 203.83315   7.46899  2832.85  4562.50 3.84 3.59 -54.8 -0.413 18.30 18.98 02a57401o0731c
57436.425984 -20.357  1.702   -26   44 c  0   1.28 203.83315   7.46899  2758.76  5304.89 4.24 3.99 -35.1 -0.384 18.27 19.40 02a57436o0352c
57436.439608 -20.275  1.368   -28   39 c  0   1.15 203.83315   7.46899  3062.89  5887.53 4.06 3.87 -48.3 -0.389 18.41 19.55 02a57436o0375c
57436.453172 -19.716  0.764   -47   36 c  0   1.18 203.83315   7.46899  1888.10  6466.65 4.20 3.94 -50.7 -0.397 18.49 19.67 02a57436o0398c
57436.466864 -20.197  1.051   -30   32 c  0   1.38 203.83315   7.46899  1632.98  6275.57 3.99 3.70 -51.7 -0.415 18.63 19.78 02a57436o0421c
57444.601515 -18.343  0.320  -167   54 o  0   1.19 203.83315   7.46899  8417.12  5401.21 3.75 3.21  81.2 -0.470 18.06 18.73 02a57444o0296o
57444.623400 -19.632  1.015   -51   52 o  0   0.93 203.83315   7.46899  8132.07  4820.04 3.69 3.26  81.8 -0.468 18.08 18.75 02a57444o0311o
57445.610057 -21.811  4.762    -7   33 o  0   1.45 203.83315   7.46899  7868.00  5667.36 3.53 3.06  86.4 -0.477 18.50 19.39 02a57445o0782o
57445.633463 -19.935  0.903   -38   35 o  0   1.24 203.83315   7.46899  7582.50  5086.91 3.56 3.18  85.1 -0.466 18.49 19.39 02a57445o0823o
57445.656687 -19.464  0.642   -60   38 o  0   1.36 203.83315   7.46899  8758.93  4514.89 3.88 3.43  76.7 -0.477 18.37 19.28 02a57445o0864o
57452.602279 -22.386  3.583    -4   14 c  0   1.17 203.83315   7.46899  8015.31  5782.18 3.80 3.43  82.1 -0.426 19.65 21.64 02a57452o0677c
57452.624743 -21.105  1.154   -13   15 c  0   1.18 203.83315   7.46899  7728.09  5202.03 3.75 3.46  80.6 -0.422 19.61 21.53 02a57452o0720c
57452.647343 -23.096  7.000    -2   15 c  0   1.25 203.83315   7.46899  8884.25  4631.68 3.81 3.44  74.0 -0.440 19.55 21.40 02a57452o0763c
