###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57400.588697 -20.523  2.620   -22   59 c  0   0.80 187.03621  20.17822  8536.92   228.44 4.72 3.98   8.9 -0.408 19.67 21.81 02a57400o0590c
57400.629515 -19.713  0.352   -47   17 c  0   1.06 187.03621  20.17822  1531.89  9676.95 4.35 4.17 -55.8 -0.388 19.71 21.89 02a57400o0650c
57401.590074  18.603  0.372   132   49 c  0   0.86 187.03621  20.17822  8491.93   327.72 4.24 3.58   7.4 -0.463 19.71 21.69 02a57401o0612c
57401.630742 -20.103  0.478   -33   16 c  0   1.24 187.03621  20.17822  1700.25  9802.75 3.75 3.70  -1.8 -0.414 19.76 21.76 02a57401o0671c
57402.585061 -21.902  2.187    -6   14 c  0   1.75 187.03621  20.17822  8001.51 10201.05 4.02 3.85  30.2 -0.397 19.65 21.73 02a57402o0588c
57402.592779 -20.118  0.433   -33   14 c  0   0.94 187.03621  20.17822  7710.62  9614.10 3.81 3.72  56.2 -0.409 19.68 21.74 02a57402o0599c
57402.636188 -19.450  0.251   -60   15 c  0   1.12 187.03621  20.17822  8897.01  9036.31 3.68 3.53 -81.4 -0.431 19.78 21.84 02a57402o0659c
57403.584091  20.965  1.048    15   16 c  0   1.04 187.03621  20.17822  8008.67 10196.79 3.82 3.73  39.3 -0.409 19.70 21.73 02a57403o0590c
57403.588311 -20.420  0.552   -25   14 c  0   1.39 187.03621  20.17822  7713.05  9611.63 3.89 3.76  74.2 -0.399 19.66 21.72 02a57403o0596c
57403.635233  22.340  3.333     4   14 c  0   1.55 187.03621  20.17822  8898.65  9036.06 3.87 3.64  85.5 -0.404 19.70 21.76 02a57403o0661c
57415.613144 -20.149  1.446   -32   46 o  0   1.01 187.03621  20.17822  1882.14  1185.59 5.02 3.86 -27.1 -0.453 18.54 19.62 02a57415o0660o
57415.616284 -18.542  1.092  -139  152 o  0   0.40 187.03621  20.17822  1131.17 10483.58 3.81 3.67  16.0 -0.455 18.46 19.35 02a57415o0664o
57415.626752 -19.145  0.595   -80   48 o  0   1.11 187.03621  20.17822  1577.77   599.62 5.51 4.14 -26.0 -0.437 18.47 19.63 02a57415o0680o
57415.638103 -19.767  1.000   -45   45 o  0   1.15 187.03621  20.17822  2288.64  9873.62 3.80 3.78   2.1 -0.419 18.43 19.37 02a57415o0696o
57415.667377  19.601  0.972    52   51 o  0   0.86 187.03621  20.17822  2540.91  9793.17 3.60 3.49  30.1 -0.437 18.41 19.20 02a57415o0736o
57420.589371  24.809 50.000     0   22 c  0   1.01 187.03621  20.17822  2321.37   965.54 4.54 3.64 -23.8 -0.455 19.51 21.30 02a57420o0558c
57420.605134  19.972  0.608    37   23 c  0   0.88 187.03621  20.17822  2025.27   378.42 5.02 3.68 -23.0 -0.450 19.49 21.29 02a57420o0581c
57420.615352 -21.283  1.806   -11   20 c  0   0.93 187.03621  20.17822  1556.79 10254.38 3.84 3.76  16.0 -0.403 19.49 21.27 02a57420o0597c
57420.622798 -20.867  1.021   -16   17 c  0   1.33 187.03621  20.17822  2715.94  9647.55 3.76 3.69  23.1 -0.404 19.48 21.27 02a57420o0605c
57420.644551 -21.017  1.342   -14   19 c  0   1.17 187.03621  20.17822  2545.20  9790.34 3.91 3.85 -85.6 -0.400 19.43 21.21 02a57420o0638c
57427.563335 -21.031  1.464   -14   21 c  0   0.97 187.03621  20.17822  2019.62   900.87 5.06 3.76 -23.2 -0.448 19.74 21.81 02a57427o0591c
57427.587268 -22.549  5.222    -4   18 c  0   0.93 187.03621  20.17822  1315.84 10219.09 3.99 3.87 -45.3 -0.399 19.73 21.75 02a57427o0627c
57427.602430  20.969  1.379    15   20 c  0   1.01 187.03621  20.17822  1792.32   331.41 5.34 3.74 -24.5 -0.436 19.69 21.73 02a57427o0649c
57427.612733 -19.892  0.458   -40   18 c  0   0.79 187.03621  20.17822  2518.51  9622.03 3.91 3.79 -61.3 -0.407 19.69 21.72 02a57427o0664c
57427.640923  22.289  3.700     4   16 c  0   1.56 187.03621  20.17822  2535.30  9693.73 3.81 3.69 -67.6 -0.406 19.52 21.61 02a57427o0704c
57432.567279  21.286  2.000    11   22 c  0   0.83 187.03621  20.17822  2186.67   937.27 5.13 3.77 -17.4 -0.451 19.64 21.65 02a57432o0599c
57432.569100 -21.791  2.923    -7   20 c  0   1.18 187.03621  20.17822  1875.41   349.99 5.43 3.98 -16.9 -0.412 19.60 21.64 02a57432o0602c
57432.571657  20.533  0.839    22   19 c  0   0.93 187.03621  20.17822  1448.40 10243.78 4.24 3.91 -43.0 -0.391 19.62 21.61 02a57432o0605c
57432.602561  21.019  1.205    14   17 c  0   1.13 187.03621  20.17822  2660.10  9650.65 3.89 3.71 -36.9 -0.416 19.66 21.64 02a57432o0649c
57432.620873  21.048  1.189    14   16 c  0   0.95 187.03621  20.17822  2492.70  9677.83 3.96 3.78 -39.6 -0.407 19.63 21.63 02a57432o0677c
57433.546161 -19.459  0.314   -60   19 c  0   2.29 187.03621  20.17822  1880.66   655.15 5.66 3.89 -13.2 -0.448 19.59 21.69 02a57433o0567c
57433.549031 -20.019  0.677   -36   24 c  0   0.93 187.03621  20.17822  9341.73   487.52 5.11 4.21  21.8 -0.422 19.56 21.68 02a57433o0571c
57433.561812 -18.261  0.205  -180   37 c  0   0.92 187.03621  20.17822  1609.10    66.78 4.53 3.94 -26.4 -0.435 19.39 21.55 02a57433o0590c
57433.579511 -21.695  2.111    -8   16 c  0   1.16 187.03621  20.17822  2369.73  9363.61 4.27 4.06 -45.7 -0.388 19.60 21.73 02a57433o0615c
57433.598917 -20.264  0.729   -28   21 c  0   0.71 187.03621  20.17822  2461.85  9670.01 4.14 3.95 -50.8 -0.402 19.64 21.71 02a57433o0644c
