###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57232.345364 -20.130  5.000   -32  161 o  0   1.18 290.28400  43.32866  7682.48  3635.56 3.73 3.35 -89.8 -0.464 17.39 17.94 02a57232o0125o
57232.368328  19.501  0.928    58   53 o  0   1.25 290.28400  43.32866  7689.92  3636.38 3.73 3.45  84.8 -0.442 18.15 19.01 02a57232o0153o
57232.386155 -20.252  3.906   -29  112 o  0   1.20 290.28400  43.32866  1622.42  8255.19 3.73 3.57 -62.6 -0.447 18.01 18.79 02a57232o0176o
57300.256322 -20.286  1.600   -28   45 o  0   1.05 290.28400  43.32866  2925.72  6979.94 3.89 3.28 -73.4 -0.467 18.64 20.14 02a57300o0143o
57300.273858  19.303  0.630    69   43 o  0   1.11 290.28400  43.32866  2921.08  6979.10 4.00 3.40 -69.0 -0.465 18.48 20.01 02a57300o0197o
57300.289205 -19.254  0.470   -72   34 o  0   1.52 290.28400  43.32866  1468.30  8479.58 4.24 3.61 -58.1 -0.467 18.80 20.40 02a57300o0245o
57300.305752 -21.256  2.800   -11   32 o  0   1.71 290.28400  43.32866  1467.65  8479.26 4.19 3.50 -59.1 -0.470 18.71 20.30 02a57300o0295o
57302.258755 -20.887  1.667   -16   27 o  0   1.39 290.28400  43.32866  2912.13  6979.51 4.14 3.28 -68.2 -0.477 19.04 20.78 02a57302o0115o
57302.275452 -19.423  0.492   -62   30 o  0   1.14 290.28400  43.32866  1456.92  8479.97 4.56 3.61 -58.0 -0.477 19.03 20.82 02a57302o0141o
57302.291559 -20.473  1.130   -24   26 o  0   1.31 290.28400  43.32866  1454.84  8479.72 4.61 3.61 -58.2 -0.477 19.02 20.81 02a57302o0166o
57315.246865  20.893  2.059    16   33 c  0   1.20 290.28400  43.32866  2902.06  6994.25 4.30 3.43 -70.0 -0.467 18.81 20.32 02a57315o0095c
57315.265739  20.462  2.000    24   47 c  0   1.35 290.28400  43.32866  2901.06  6993.49 4.20 3.44 -66.4 -0.465 18.30 19.72 02a57315o0124c
57315.284764 -19.118  0.557   -82   46 c  0   1.13 290.28400  43.32866  1448.77  8492.02 4.76 3.74 -61.2 -0.476 18.54 19.99 02a57315o0153c
57315.305438 -19.377  0.614   -64   40 c  0   1.41 290.28400  43.32866  1445.92  8494.90 4.82 3.72 -61.4 -0.475 18.61 20.11 02a57315o0184c
57316.235279  22.592  8.750     3   29 c  0   1.24 290.28400  43.32866  2895.97  6988.73 4.27 3.50 -66.0 -0.468 18.92 20.37 02a57316o0069c
57316.254246  21.040  2.187    14   30 c  0   1.06 290.28400  43.32866  2888.37  6989.03 4.31 3.59 -63.8 -0.467 18.87 20.35 02a57316o0076c
57316.269820 -20.207  1.129   -30   34 c  0   1.10 290.28400  43.32866  1438.40  8490.12 4.74 3.76 -61.5 -0.484 18.83 20.32 02a57316o0100c
57316.288363 -20.458  1.400   -24   33 c  0   1.32 290.28400  43.32866  1439.11  8489.57 4.77 3.65 -61.0 -0.477 18.80 20.26 02a57316o0128c
57320.198796   0.000 19.490    -0   58 o  0   1.25 290.28400  43.32866  2988.09  7010.84 4.12 3.38 -77.8 -0.547 18.09 18.89 02a57320o0029o
57320.216216  19.508  0.930    57   53 o  0   1.11 290.28400  43.32866  2982.80  7006.00 4.02 3.18 -72.3 -0.539 18.41 19.57 02a57320o0056o
57320.233613  21.592  6.143     8   52 o  0   1.34 290.28400  43.32866  1517.23  8501.08 4.98 3.40 -63.7 -0.470 18.35 19.52 02a57320o0083o
57320.260012  21.426  5.875    10   57 o  0   1.32 290.28400  43.32866  1504.06  8496.18 5.26 3.31 -64.8 -0.469 18.25 19.42 02a57320o0124o
57324.224297  20.776  1.850    18   33 o  0   1.36 290.28400  43.32866  2994.67  7006.42 4.09 3.09 -73.5 -0.477 18.76 20.19 02a57324o0085o
57324.246558 -19.918  1.089   -39   43 o  0   1.04 290.28400  43.32866  2985.91  7005.79 4.03 2.97 -74.5 -0.467 18.47 19.64 02a57324o0119o
57324.261917 -18.808  0.486  -109   53 o  0   1.12 290.28400  43.32866  1535.88  8504.06 4.45 3.25 -67.3 -0.465 18.38 19.50 02a57324o0143o
57324.276437  21.030  3.538    14   50 o  0   1.32 290.28400  43.32866  1534.64  8503.70 4.71 3.45 -65.9 -0.468 18.27 19.38 02a57324o0165o
57328.189943 -19.103  1.026   -83   85 o  0   0.98 290.28400  43.32866  3029.12  7018.33 4.45 3.69 -69.8 -0.512 17.86 18.65 02a57328o0021o
57328.197568  21.725  6.833     7   51 o  0   1.40 290.28400  43.32866  3029.96  7017.93 4.50 3.48 -74.2 -0.500 18.40 19.73 02a57328o0033o
57328.212187 -19.149  0.484   -80   38 o  0   1.65 290.28400  43.32866  1572.57  8515.28 5.16 3.67 -69.0 -0.463 18.89 20.65 02a57328o0056o
57328.231826 -21.793  6.400    -7   45 o  0   1.77 290.28400  43.32866  1566.49  8513.82 5.22 3.40 -68.9 -0.462 18.71 20.43 02a57328o0087o
57364.206014 -20.073  1.122   -34   38 o  0   0.72 290.28400  43.32866  3391.37  6584.45 3.86 3.27 -72.5 -0.465 18.76 20.13 02a57364o0056o
57365.204085  21.474  4.000     9   37 o  0   0.83 290.28400  43.32866  3393.83  6578.73 3.89 3.36 -73.9 -0.476 18.59 19.86 02a57365o0054o
57458.657823  18.893  0.468   101   47 c  0   1.05 290.28400  43.32866  8026.70  3297.02 3.94 3.75  22.9 -0.436 18.40 19.33 02a57458o0879c
57466.658858  18.647  1.119   126  141 o  0   1.02 290.28400  43.32866  8004.21  3203.66 3.72 3.44  36.9 -0.511 17.36 17.25 02a57466o0901o
57470.580661  20.864  3.361    16   55 o  0   1.41 290.28400  43.32866  7709.52  3214.83 3.95 3.70  23.7 -0.489 18.08 18.86 02a57470o0757o
57470.591972 -21.718  7.000    -8   52 o  0   0.98 290.28400  43.32866  7989.97  3792.28 3.87 3.62  62.0 -0.487 18.14 18.95 02a57470o0780o
57470.599787  22.925 20.500     2   50 o  0   1.16 290.28400  43.32866  6846.31  4377.28 3.67 3.55  77.3 -0.493 18.16 18.98 02a57470o0796o
57470.604119 -18.728  0.458  -117   54 o  0   0.85 290.28400  43.32866  7055.88  4567.78 3.73 3.54  79.8 -0.492 18.17 19.00 02a57470o0805o
57488.570464  19.643  0.412    50   21 c  0   1.07 290.28400  43.32866  8179.35  3383.13 3.94 3.67  31.5 -0.450 19.46 21.31 02a57488o0653c
57488.584753  19.590  0.331    53   18 c  0   1.33 290.28400  43.32866  8473.30  3962.75 3.86 3.58  62.5 -0.449 19.50 21.38 02a57488o0682c
57488.599029  21.057  1.225    14   17 c  0   1.32 290.28400  43.32866  7314.68  4573.72 3.69 3.58  72.6 -0.436 19.50 21.39 02a57488o0711c
57488.611908  20.280  0.590    28   17 c  0   1.27 290.28400  43.32866  7062.13  4581.82 3.67 3.57  66.6 -0.435 19.55 21.46 02a57488o0737c
57492.557069  19.980  0.703    37   26 o  0   1.22 290.28400  43.32866  8021.37  3485.84 3.61 3.42  61.5 -0.490 19.17 20.74 02a57492o0693o
57492.570289 -21.694  3.143    -8   24 o  0   1.20 290.28400  43.32866  8304.40  4063.26 3.68 3.33  76.8 -0.481 19.18 20.76 02a57492o0720o
57492.583132 -21.737  2.950    -7   22 o  0   1.40 290.28400  43.32866  7162.05  4673.11 3.69 3.46  84.1 -0.462 19.16 20.79 02a57492o0746o
57492.592322 -22.485 10.571    -4   39 o  0   0.75 290.28400  43.32866  7062.75  4580.32 3.98 3.24 -17.6 -0.480 18.92 20.77 02a57492o0765o
57515.490699 -21.697  2.667    -8   20 c  0   1.23 290.28400  43.32866  7195.43  2026.09 4.25 3.66   7.7 -0.477 19.49 21.42 02a57515o0556c
57515.502144 -22.197  8.167    -5   39 c  0   1.46 290.28400  43.32866  7210.12  2066.86 4.37 3.75   8.0 -0.472 18.73 20.56 02a57515o0578c
