###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57243.466454 -22.305  3.000    -4   13 c  0   1.45   0.96077 -11.47463  2259.78  3408.45 3.89 3.58 -34.8 -0.400 19.47 21.35 02a57243o0318c
57243.468496 -20.488  0.581   -23   14 c  0   1.47   0.96077 -11.47463  2257.21  3408.58 3.95 3.63 -35.3 -0.401 19.46 21.37 02a57243o0321c
57243.509875 -20.368  0.500   -26   13 c  0   1.47   0.96077 -11.47463  3710.09  1957.02 3.87 3.57 -21.3 -0.412 19.52 21.40 02a57243o0369c
57243.518996  20.330  0.579    27   16 c  0   0.86   0.96077 -11.47463  3712.18  1959.53 3.83 3.53 -16.9 -0.415 19.52 21.37 02a57243o0382c
57244.468035  19.878  0.333    41   14 c  0   1.47   0.96077 -11.47463  2267.82  3409.41 3.84 3.56 -39.6 -0.406 19.47 21.33 02a57244o0285c
57244.470078 -20.198  0.524   -30   16 c  0   0.98   0.96077 -11.47463  2265.42  3409.53 3.88 3.54 -39.5 -0.405 19.48 21.36 02a57244o0288c
57244.505230  22.739  5.500     3   16 c  0   1.08   0.96077 -11.47463  3718.50  1959.84 3.92 3.54 -16.7 -0.413 19.53 21.43 02a57244o0337c
57244.515764  22.324  3.167     4   14 c  0   1.19   0.96077 -11.47463  3719.58  1960.64 3.87 3.53 -20.0 -0.414 19.53 21.41 02a57244o0352c
57245.461323 -20.515  0.594   -23   13 c  0   1.52   0.96077 -11.47463  2277.41  3410.20 3.81 3.52 -39.1 -0.410 19.44 21.26 02a57245o0307c
57245.463436  21.436  1.692    10   16 c  0   1.23   0.96077 -11.47463  2275.05  3410.30 3.95 3.61 -37.9 -0.402 19.42 21.27 02a57245o0310c
57245.497676 -21.872  2.444    -6   16 c  0   1.16   0.96077 -11.47463  3727.18  1960.26 3.89 3.51 -17.7 -0.416 19.45 21.27 02a57245o0358c
57245.507610  20.035  0.458    35   16 c  0   1.08   0.96077 -11.47463  3725.56  1961.77 3.94 3.56 -18.0 -0.411 19.46 21.30 02a57245o0372c
57288.387165 -19.338  0.918   -67   61 o  0   0.94   0.96077 -11.47463  2280.19  3423.29 3.98 3.36 -36.2 -0.503 18.64 20.08 02a57288o0268o
57297.383107  20.670  1.636    20   32 o  0   0.90   0.96077 -11.47463  2296.75  3424.58 4.13 3.43 -37.6 -0.500 18.77 20.13 02a57297o0127o
57297.405866 -22.067  6.000    -5   32 o  0   0.88   0.96077 -11.47463  2290.37  3430.61 4.17 3.46 -35.8 -0.502 18.79 20.18 02a57297o0160o
57297.428972 -20.472  1.407   -24   33 o  0   0.82   0.96077 -11.47463  6814.74  8633.84 4.15 3.41 -76.3 -0.467 18.80 20.14 02a57297o0194o
57297.448719 -19.353  0.507   -66   33 o  0   0.78   0.96077 -11.47463  6810.54  8629.53 4.15 3.42 -77.3 -0.474 18.79 20.14 02a57297o0223o
57298.378615  21.439  2.636    10   25 o  0   1.08   0.96077 -11.47463  2308.38  3427.77 4.12 3.41 -34.3 -0.499 18.93 20.43 02a57298o0273o
57298.401704 -19.598  0.550   -53   29 o  0   0.81   0.96077 -11.47463  2303.32  3432.73 4.11 3.39 -35.8 -0.501 18.93 20.40 02a57298o0307o
57298.424855 -23.330 16.500    -2   28 o  0   1.07   0.96077 -11.47463  6811.65  8637.14 4.06 3.35 -77.6 -0.471 18.91 20.35 02a57298o0342o
57298.444679 -21.966  4.429    -6   26 o  0   0.86   0.96077 -11.47463  6806.03  8634.31 4.05 3.37 -74.7 -0.478 18.91 20.36 02a57298o0371o
57304.378766 -14.692  0.001 -4821    5 c  0   4.73   0.96077 -11.47463  2296.54  3427.82 4.25 3.62 -53.8 -0.465 19.43 21.43 02a57304o0268c
