###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57248.640817 -15.261  0.490 -2854 1397 c  0   1.01  62.29811   8.64740  4979.68  1635.51 3.93 3.65 -10.9 -0.455 17.00 17.10 02a57248o0519c
57313.505426 -19.470  0.328   -59   19 c  0   1.66  62.29811   8.64740  3572.75  3110.09 4.88 3.98 -25.0 -0.419 19.41 21.44 02a57313o0362c
57313.529158 -19.184  0.253   -77   20 c  0   1.31  62.29811   8.64740  3573.46  3117.06 4.58 3.81 -23.8 -0.443 19.46 21.43 02a57313o0393c
57313.562783 -21.487  1.750    -9   16 c  0   2.21  62.29811   8.64740  5612.14  8970.08 4.20 3.66 -71.2 -0.440 19.46 21.42 02a57313o0440c
57313.588231 -19.880  0.404   -41   16 c  0   2.25  62.29811   8.64740  5610.03  8973.33 4.19 3.68 -70.9 -0.446 19.43 21.37 02a57313o0478c
57318.417187 -18.347  0.210  -166   35 o  0   1.18  62.29811   8.64740  3529.80  3098.31 4.70 3.66 -23.7 -0.488 18.63 20.00 02a57318o0346o
57318.443499 -18.661  0.260  -125   32 o  0   1.42  62.29811   8.64740  3527.63  3103.64 4.53 3.59 -27.9 -0.505 18.70 20.12 02a57318o0387o
57318.469865 -19.199  0.417   -76   32 o  0   1.54  62.29811   8.64740  4986.03  1661.54 4.75 3.45  -7.8 -0.526 18.78 20.19 02a57318o0428o
57318.494226 -19.198  0.438   -76   33 o  0   1.50  62.29811   8.64740  4983.97  1667.15 4.69 3.56  -7.6 -0.524 18.83 20.28 02a57318o0466o
57319.409874 -18.156  0.206  -198   41 o  0   1.34  62.29811   8.64740  3534.18  3098.28 4.81 3.78 -22.6 -0.487 18.40 19.61 02a57319o0341o
57319.433599 -18.179  0.189  -194   37 o  0   1.37  62.29811   8.64740  3533.41  3101.90 4.87 3.83 -23.1 -0.462 18.46 19.74 02a57319o0374o
57319.485676 -19.049  0.455   -87   40 o  0   1.28  62.29811   8.64740  4988.69  1665.72 4.96 3.56  -6.9 -0.529 18.61 19.87 02a57319o0447o
57322.431153  20.676  4.000    20   78 o  0   1.25  62.29811   8.64740  3540.22  3111.39 4.74 3.66 -22.9 -0.518 17.65 18.14 02a57322o0458o
57322.452776  19.608  1.375    52   72 o  0   1.03  62.29811   8.64740  3542.61  3117.31 4.61 3.74 -28.5 -0.510 17.75 18.28 02a57322o0491o
57322.473757 -18.339  0.471  -168   79 o  0   1.13  62.29811   8.64740  5006.54  1672.40 4.98 3.68  -7.0 -0.542 17.73 18.17 02a57322o0523o
57322.500475 -18.464  0.512  -150   77 o  0   1.29  62.29811   8.64740  5005.41  1679.40 5.07 3.81  -6.7 -0.514 17.77 18.32 02a57322o0564o
57323.450221 -21.539  8.778    -9   77 o  0   1.25  62.29811   8.64740  3551.80  3116.88 4.37 3.47 -22.7 -0.520 17.71 18.11 02a57323o0414o
57323.478355 -18.836  0.657  -106   70 o  0   1.20  62.29811   8.64740  3552.83  3125.89 4.44 3.66 -28.5 -0.501 17.71 18.17 02a57323o0456o
57323.507719 -17.722  0.284  -296   84 o  0   1.14  62.29811   8.64740  5010.59  1686.23 4.59 3.26  -3.5 -0.544 17.74 18.13 02a57323o0499o
57323.548645 -18.406  0.918  -158  145 o  0   1.52  62.29811   8.64740  5700.49  8987.00 3.77 3.19 -76.5 -0.516 17.75 18.09 02a57323o0557o
57334.523192 -20.885  0.917   -16   15 c  0   2.52  62.29811   8.64740  7185.25  7547.74 3.81 3.59  85.0 -0.402 19.47 21.33 02a57334o0461c
57334.553663 -19.190  0.190   -77   14 c  0   3.20  62.29811   8.64740  7180.87  7551.95 3.77 3.54  85.8 -0.406 19.43 21.25 02a57334o0505c
57334.583450 -19.724  0.328   -47   15 c  0   2.53  62.29811   8.64740  5719.06  9002.10 4.01 3.89  76.2 -0.392 19.27 21.06 02a57334o0548c
57334.613505 -19.015  0.211   -90   19 c  0   2.54  62.29811   8.64740  5725.74  9004.26 4.13 4.01  79.2 -0.381 19.13 20.88 02a57334o0591c
57341.445358 -19.458  0.286   -60   17 c  0   1.71  62.29811   8.64740  3580.69  3154.23 4.71 4.26 -26.5 -0.361 19.39 21.43 02a57341o0289c
57341.476766 -19.247  0.191   -73   14 c  0   2.57  62.29811   8.64740  7189.10  7546.74 4.27 4.02  83.1 -0.375 19.42 21.48 02a57341o0336c
57341.499005 -18.928  0.229   -97   22 c  0   1.45  62.29811   8.64740  5719.92  8999.41 5.11 4.85 -89.1 -0.355 19.22 21.45 02a57341o0370c
57342.445611 -19.282  0.215   -70   15 c  0   2.11  62.29811   8.64740  3579.72  3155.26 4.21 3.73 -28.7 -0.393 19.57 21.50 02a57342o0298c
57342.479255 -20.392  0.579   -25   15 c  0   2.20  62.29811   8.64740  7188.61  7549.25 3.82 3.57  85.3 -0.402 19.54 21.49 02a57342o0348c
57342.501580 -19.435  0.242   -61   15 c  0   2.30  62.29811   8.64740  5720.18  9002.50 3.75 3.58  83.7 -0.416 19.56 21.45 02a57342o0382c
57342.536109 -19.537  0.268   -56   15 c  0   2.85  62.29811   8.64740  5725.08  9005.98 3.80 3.63 -88.4 -0.412 19.45 21.27 02a57342o0433c
