###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57230.287832 -22.097  7.333    -5   39 o  0   1.02 192.90490  12.57335  5350.35  5359.45 3.88 3.55 -79.9 -0.457 18.40 19.45 02a57230o0059o
57400.612634  21.356  1.548    10   16 c  0   1.29 192.90490  12.57335  5198.01  5331.50 3.77 3.61  89.9 -0.393 19.71 21.78 02a57400o0626c
57400.633521 -23.671 11.000    -1   14 c  0   1.04 192.90490  12.57335  4881.31  4736.66 4.22 4.11 -56.1 -0.358 19.60 21.84 02a57400o0655c
57400.647613 -22.084  2.062    -5   11 c  0   1.26 192.90490  12.57335  4842.56  4567.21 3.77 3.65 -40.1 -0.387 19.75 21.83 02a57400o0675c
57400.670936  20.874  1.140    16   18 c  0   1.17 192.90490  12.57335  4581.01  6320.94 3.68 3.55 -79.7 -0.396 19.16 20.64 02a57400o0703c
57401.613308 -20.788  0.679   -18   12 c  0   1.10 192.90490  12.57335  5163.16  5444.64 3.64 3.45 -87.6 -0.405 19.69 21.68 02a57401o0647c
57401.633025 -22.874  4.625    -3   12 c  0   1.30 192.90490  12.57335  4873.16  4868.94 3.66 3.54 -67.3 -0.404 19.71 21.71 02a57401o0673c
57401.650586 -21.118  0.929   -13   12 c  0   0.90 192.90490  12.57335  5736.81  6032.87 3.64 3.41 -89.2 -0.409 19.71 21.70 02a57401o0700c
57408.629089 -20.379  0.747   -26   19 o  0   0.95 192.90490  12.57335  5744.24  4875.72 3.52 3.31  88.5 -0.432 19.18 20.69 02a57408o0691o
57408.648021 -21.699  2.182    -8   17 o  0   1.20 192.90490  12.57335  4704.55  5260.59 3.51 3.33 -81.2 -0.430 19.24 20.78 02a57408o0719o
57408.660244 -22.205  4.500    -5   21 o  0   1.01 192.90490  12.57335  5586.59  6421.73 3.49 3.22 -86.8 -0.452 19.20 20.73 02a57408o0739o
57408.667897 -20.162  0.689   -31   22 o  0   1.02 192.90490  12.57335  5872.51  4682.51 3.47 3.31 -83.7 -0.444 19.08 20.47 02a57408o0751o
57436.411782 -20.265  1.277   -28   36 c  0   0.97 192.90490  12.57335  5962.67  5034.76 4.21 4.00   7.7 -0.364 18.46 19.64 02a57436o0328c
57436.425382 -19.526  0.647   -56   36 c  0   0.88 192.90490  12.57335  6244.65  5617.89 4.01 3.87  75.7 -0.380 18.55 19.73 02a57436o0351c
57436.439005 -21.633  3.636    -8   29 c  0   1.13 192.90490  12.57335  5095.01  6200.25 3.85 3.68 -84.8 -0.388 18.63 19.82 02a57436o0374c
57436.452588  20.642  1.462    20   29 c  0   1.09 192.90490  12.57335  4832.46  6009.23 3.99 3.85 -80.8 -0.372 18.65 19.91 02a57436o0397c
57444.587208  22.100  7.286     5   38 o  0   1.27 192.90490  12.57335  5205.07  5668.89 3.60 3.36 -75.2 -0.457 18.27 19.03 02a57444o0286o
57444.630454  19.494  0.752    58   44 o  0   0.78 192.90490  12.57335  6075.61  4515.41 3.50 3.45 -65.3 -0.462 18.27 19.00 02a57444o0316o
57445.576911  21.840  4.350     7   29 o  0   1.07 192.90490  12.57335  4670.16  5939.08 3.44 3.20 -70.1 -0.468 18.70 19.71 02a57445o0722o
57445.599539 -21.928  4.944    -6   30 o  0   0.76 192.90490  12.57335  4368.40  5361.94 3.45 3.25 -60.1 -0.462 18.66 19.66 02a57445o0763o
57445.622361 -20.454  1.239   -24   30 o  0   1.16 192.90490  12.57335  5536.45  4785.52 3.47 3.34 -64.2 -0.466 18.61 19.59 02a57445o0804o
57445.645800  19.699  0.702    48   34 o  0   0.96 192.90490  12.57335  5803.40  4671.25 3.52 3.40 -64.1 -0.458 18.54 19.52 02a57445o0845o
57452.571231 -21.906  2.100    -6   13 c  0   1.19 192.90490  12.57335  4813.65  6034.32 3.62 3.48 -75.4 -0.407 19.71 21.72 02a57452o0617c
57452.593435 -21.398  1.452   -10   14 c  0   0.80 192.90490  12.57335  4512.20  5456.22 3.63 3.51 -58.6 -0.404 19.66 21.61 02a57452o0660c
57452.615870  21.535  1.556     9   14 c  0   1.15 192.90490  12.57335  5681.30  4880.45 3.60 3.54 -63.0 -0.404 19.58 21.47 02a57452o0703c
57452.638319 -20.529  0.621   -22   14 c  0   0.92 192.90490  12.57335  5797.47  4671.84 3.62 3.56 -42.9 -0.413 19.52 21.37 02a57452o0746c
57460.541254  22.634  4.600     3   15 c  0   0.89 192.90490  12.57335  4946.24  5820.39 3.63 3.48 -71.5 -0.410 19.63 21.56 02a57460o0659c
57460.564916  21.216  1.278    12   15 c  0   0.92 192.90490  12.57335  4641.80  5241.78 3.68 3.54 -33.1 -0.418 19.61 21.54 02a57460o0702c
57460.587902 -20.757  0.774   -18   14 c  0   1.14 192.90490  12.57335  5812.82  4666.28 3.66 3.61 -54.1 -0.408 19.60 21.52 02a57460o0745c
57460.610414  22.195  3.071     5   15 c  0   1.00 192.90490  12.57335  5794.59  4668.69 3.65 3.59 -35.4 -0.413 19.55 21.45 02a57460o0788c
57464.531348 -21.589  2.227    -8   19 o  0   1.26 192.90490  12.57335  4703.34  5539.43 3.62 3.34 -66.1 -0.481 19.27 21.02 02a57464o0647o
57464.554087 -22.793  6.714    -3   19 o  0   1.04 192.90490  12.57335  4419.24  4961.11 3.66 3.42 -44.5 -0.481 19.26 21.01 02a57464o0690o
57464.576466  20.726  1.043    19   19 o  0   1.04 192.90490  12.57335  5570.96  4385.98 3.67 3.51 -27.8 -0.472 19.19 20.90 02a57464o0733o
57464.599219  22.971  9.000     2   21 o  0   0.84 192.90490  12.57335  5797.83  4659.24 3.56 3.46 -35.5 -0.479 19.18 20.88 02a57464o0776o
57472.517334 -19.397  0.756   -63   48 o  0   1.23 192.90490  12.57335  4755.73  5892.62 3.48 3.14 -78.6 -0.516 18.13 18.71 02a57472o0580o
57472.544225  19.828  1.368    42   58 o  0   0.79 192.90490  12.57335  4457.27  5315.08 3.54 3.27 -60.9 -0.495 18.07 18.63 02a57472o0625o
57472.559913 -20.102  1.308   -33   43 o  0   1.34 192.90490  12.57335  5630.55  4737.06 3.45 3.26 -75.5 -0.485 18.06 18.61 02a57472o0649o
57472.582257 -19.868  1.374   -41   56 o  0   0.86 192.90490  12.57335  5789.97  4662.37 3.54 3.41 -69.6 -0.481 18.02 18.59 02a57472o0685o
57476.495814  20.032  0.745    35   26 o  0   0.94 192.90490  12.57335  5026.47  5564.51 3.61 3.42 -69.5 -0.455 18.92 20.36 02a57476o0562o
57476.518090  20.873  1.568    16   26 o  0   0.87 192.90490  12.57335  4722.28  4985.68 3.56 3.41 -53.5 -0.453 18.92 20.28 02a57476o0605o
57476.540277  19.928  0.670    39   26 o  0   0.92 192.90490  12.57335  5894.40  4409.65 3.73 3.68 -42.9 -0.438 18.83 20.24 02a57476o0648o
57476.562892 -21.943  4.846    -6   29 o  0   0.99 192.90490  12.57335  5780.42  4663.37 4.15 3.86  -0.4 -0.407 18.64 20.07 02a57476o0691o
57480.497703  20.501  0.672    23   15 c  0   0.91 192.90490  12.57335  4647.41  5848.89 3.74 3.61 -24.8 -0.417 19.62 21.62 02a57480o0576c
57480.521318 -22.512  4.182    -4   15 c  0   0.99 192.90490  12.57335  4342.26  5292.76 3.63 3.52 -48.9 -0.410 19.57 21.43 02a57480o0621c
57480.544719 -22.212  3.500    -5   17 c  0   1.05 192.90490  12.57335  5514.53  4697.56 3.63 3.58 -44.8 -0.411 19.40 21.14 02a57480o0666c
57480.568076 -20.680  0.895   -19   17 c  0   1.25 192.90490  12.57335  5780.78  4662.50 3.62 3.55 -10.8 -0.410 19.30 20.94 02a57480o0711c
57490.426194 -21.751  2.538    -7   18 c  0   0.81 192.90490  12.57335  4682.42  5688.78 5.87 3.99  -1.1 -0.342 19.33 21.64 02a57490o0475c
57490.444504  21.410  1.385    10   14 c  0   1.01 192.90490  12.57335  4401.26  5130.60 4.18 3.73  -6.4 -0.382 19.56 21.62 02a57490o0506c
57490.462948  19.950  0.360    38   14 c  0   0.98 192.90490  12.57335  5547.87  4537.03 3.68 3.64 -75.2 -0.386 19.60 21.57 02a57490o0537c
57490.482776  21.060  1.098    14   15 c  0   0.80 192.90490  12.57335  5784.12  4656.18 3.70 3.59  88.5 -0.387 19.57 21.50 02a57490o0569c
57491.422481  19.972  0.740    37   28 c  0   0.79 192.90490  12.57335  5100.04  5727.69 6.41 4.11  -0.3 -0.333 18.82 20.93 02a57491o0388c
57491.441311 -20.141  0.771   -32   25 c  0   1.36 192.90490  12.57335  4814.04  5152.82 6.95 4.36  -4.0 -0.327 18.79 21.09 02a57491o0419c
57491.460074  20.014  0.430    36   15 c  0   1.08 192.90490  12.57335  5969.44  4572.18 4.13 4.03 -27.6 -0.367 19.38 21.37 02a57491o0452c
57491.479766  20.502  0.795    23   18 c  0   1.19 192.90490  12.57335  5788.91  4654.58 4.57 4.49 -41.0 -0.341 19.21 21.25 02a57491o0484c
57493.414295 -20.741  1.585   -18   29 o  0   0.87 192.90490  12.57335  4856.64  5631.44 4.31 3.65  -1.8 -0.401 18.75 20.21 02a57493o0394o
57493.429301 -22.332  7.571    -4   32 o  0   1.03 192.90490  12.57335  4567.89  5053.34 5.86 3.70  -1.6 -0.383 18.56 20.14 02a57493o0424o
57493.448405 -19.421  0.349   -62   22 o  0   1.33 192.90490  12.57335  5715.26  4477.28 3.49 3.38 -76.5 -0.463 18.87 20.13 02a57493o0463o
57493.464239  21.869  3.824     6   25 o  0   0.96 192.90490  12.57335  5788.38  4652.93 3.59 3.47 -75.5 -0.448 18.85 20.15 02a57493o0494o
57495.346706  22.201  7.667     5   37 o  0   1.17 192.90490  12.57335  5410.78  5032.57 3.57 3.39 -80.7 -0.524 18.47 19.41 02a57495o0261o
57495.354731  23.693 31.667     1   38 o  0   0.83 192.90490  12.57335  5427.31  5071.05 3.68 3.34 -82.6 -0.513 18.47 19.45 02a57495o0276o
57495.371224 -19.791  0.819   -44   36 o  0   1.26 192.90490  12.57335  5370.44  4993.78 3.76 3.58 -74.9 -0.486 18.45 19.47 02a57495o0308o
57495.386568  20.069  1.059    34   36 o  0   0.78 192.90490  12.57335  5347.84  5108.76 3.71 3.47 -72.3 -0.476 18.44 19.41 02a57495o0338o
57506.443723 -21.143  2.032   -13   26 o  0   0.95 192.90490  12.57335  5159.24  5532.62 3.81 3.62 -70.9 -0.440 18.82 20.24 02a57506o0429o
57506.462121 -21.416  3.043   -10   30 o  0   0.76 192.90490  12.57335  5199.74  5494.88 3.82 3.66 -64.8 -0.448 18.79 20.18 02a57506o0465o
57506.480339  20.709  1.442    19   27 o  0   1.06 192.90490  12.57335  5143.22  5475.76 3.89 3.73 -58.5 -0.428 18.71 20.09 02a57506o0501o
57506.498565 -20.643  1.415   -20   28 o  0   1.06 192.90490  12.57335  5217.31  5554.14 4.11 3.94 -49.4 -0.428 18.59 19.98 02a57506o0537o
57506.516098  20.780  2.100    18   37 o  0   1.01 192.90490  12.57335  5122.73  5572.31 4.44 4.28 -43.9 -0.420 18.37 19.76 02a57506o0572o
57510.443357 -22.906  6.800    -2   17 c  0   1.02 192.90490  12.57335  5160.15  5535.36 4.55 4.41 -58.1 -0.346 19.31 21.49 02a57510o0446c
