###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57246.274250 -20.505  1.185   -23   27 c  0   1.04 207.07402   3.94575  7984.45  8096.48 3.99 3.73 -84.1 -0.428 19.15 20.88 02a57246o0049c
57400.644017 -20.142  0.568   -32   18 c  0   0.96 207.07402   3.94575  2403.44  2734.99 4.46 3.82 -25.8 -0.401 19.61 21.64 02a57400o0671c
57400.664502 -21.208  1.481   -12   18 c  0   1.31 207.07402   3.94575  2078.07  2138.11 4.56 3.73 -27.5 -0.431 19.51 21.36 02a57400o0695c
57400.677842  19.895  1.891    40   76 c  0   1.00 207.07402   3.94575  3220.64  1551.63 4.43 3.68 -17.9 -0.453 18.14 18.74 02a57400o0712c
57401.644658  21.917  2.625     6   16 c  0   1.52 207.07402   3.94575  2361.20  2870.48 4.16 3.59 -30.0 -0.423 19.61 21.52 02a57401o0691c
57401.663224 -20.702  0.977   -19   19 c  0   1.04 207.07402   3.94575  2058.42  2290.26 4.52 3.70 -28.1 -0.422 19.52 21.35 02a57401o0715c
57401.671828  21.729  3.429     7   25 c  0   1.37 207.07402   3.94575  2939.19  3461.91 3.89 3.58 -31.2 -0.411 19.00 20.31 02a57401o0725c
57401.678186 -19.311  0.916   -68   63 c  0   1.26 207.07402   3.94575  3227.23  1716.43 4.09 3.54 -18.8 -0.485 18.17 18.74 02a57401o0732c
57436.435450 -18.644  0.359  -126   45 c  0   1.14 207.07402   3.94575  3154.76  2487.61 4.64 3.97 -15.0 -0.387 18.25 19.34 02a57436o0368c
57436.449072 -20.298  1.586   -28   44 c  0   1.00 207.07402   3.94575  3441.71  3072.12 4.53 4.03 -15.7 -0.359 18.34 19.52 02a57436o0391c
57436.462615 -20.215  1.286   -30   38 c  0   1.16 207.07402   3.94575  2278.88  3650.89 4.28 3.80 -24.9 -0.387 18.50 19.64 02a57436o0414c
57436.476292 -20.663  1.891   -20   37 c  0   1.09 207.07402   3.94575  2025.25  3438.87 4.37 3.82 -23.9 -0.389 18.56 19.72 02a57436o0437c
57444.647757  18.885  1.057   101  107 o  0   1.08 207.07402   3.94575  8905.83  7083.45 3.80 3.05  85.0 -0.493 17.92 18.53 02a57444o0328o
57445.616655 -20.294  6.458   -28  179 o  0   1.19 207.07402   3.94575  7476.30  8489.85 3.50 3.10  89.0 -0.511 18.20 18.97 02a57445o0794o
57445.640189  20.479 36.818    23  860 o  0   0.01 207.07402   3.94575  7189.48  7905.55 3.63 3.20  88.7 -0.502 18.16 18.98 02a57445o0835o
57445.663617  19.810  2.488    43  108 o  0   1.19 207.07402   3.94575  8370.20  7330.88 3.70 3.03  88.6 -0.495 17.97 18.49 02a57445o0876o
57452.610560 -20.791  0.849   -18   15 c  0   1.29 207.07402   3.94575  7625.48  8604.82 3.75 3.47  81.6 -0.426 19.63 21.55 02a57452o0693c
57452.633198 -19.718  0.340   -47   16 c  0   1.18 207.07402   3.94575  7334.53  8020.77 3.71 3.40  81.9 -0.431 19.59 21.49 02a57452o0736c
57452.655553 -20.665  1.105   -20   22 c  0   1.17 207.07402   3.94575  8496.58  7448.52 3.85 3.39  82.2 -0.435 19.14 20.64 02a57452o0779c
57460.584706 -20.614  0.823   -21   17 c  0   1.06 207.07402   3.94575  7759.06  8392.09 3.80 3.43  82.5 -0.426 19.64 21.59 02a57460o0739c
57460.607313 -20.656  0.754   -20   15 c  0   1.18 207.07402   3.94575  7465.53  7808.45 3.71 3.34  84.6 -0.436 19.62 21.53 02a57460o0782c
57460.629779  21.617  2.042     8   17 c  0   1.04 207.07402   3.94575  8630.57  7236.18 3.87 3.33  82.5 -0.440 19.58 21.49 02a57460o0825c
57460.652576 -19.953  0.694   -38   26 c  0   0.94 207.07402   3.94575  8613.04  7238.61 3.88 3.32  81.4 -0.441 19.03 20.43 02a57460o0868c
57464.558609  20.264  0.772    28   22 o  0   1.30 207.07402   3.94575  7530.20  8107.80 3.76 3.11  89.1 -0.482 19.27 21.02 02a57464o0699o
57464.581287  19.942  0.596    38   23 o  0   1.06 207.07402   3.94575  7238.67  7525.30 3.68 3.07  88.9 -0.478 19.23 20.93 02a57464o0742o
57464.603944  20.344  0.853    26   23 o  0   1.20 207.07402   3.94575  8401.73  6951.95 3.81 2.96  88.0 -0.487 19.24 20.96 02a57464o0785o
57464.626979  20.284  0.885    28   25 o  0   0.97 207.07402   3.94575  8615.91  7227.65 3.84 2.98  87.2 -0.472 19.23 20.95 02a57464o0828o
57476.535031 -21.357  2.760   -10   29 o  0   1.08 207.07402   3.94575  7842.25  8132.87 4.03 3.51  86.1 -0.451 18.78 20.16 02a57476o0638o
57476.557571 -21.250  2.536   -12   29 o  0   1.27 207.07402   3.94575  7547.57  7550.93 4.01 3.51  86.6 -0.450 18.70 20.05 02a57476o0681o
57480.539413 -19.649  0.342   -50   17 c  0   1.14 207.07402   3.94575  7452.07  8419.10 3.76 3.41  84.1 -0.428 19.49 21.26 02a57480o0656c
57480.562795 -20.740  1.036   -18   19 c  0   0.93 207.07402   3.94575  7161.10  7837.19 3.70 3.37  83.7 -0.431 19.41 21.13 02a57480o0701c
57480.586360 -20.541  0.862   -22   19 c  0   0.96 207.07402   3.94575  8342.92  7264.66 3.81 3.33  82.3 -0.440 19.36 21.03 02a57480o0746c
57480.610156  21.387  2.172    10   22 c  0   0.94 207.07402   3.94575  8597.26  7229.66 3.85 3.31  83.7 -0.447 19.28 20.91 02a57480o0791c
57490.458306  21.372  1.875    10   19 c  0   1.07 207.07402   3.94575  7509.43  8254.02 4.56 3.78   5.5 -0.383 19.46 21.51 02a57490o0529c
57490.477166 -20.092  0.450   -33   15 c  0   1.16 207.07402   3.94575  7217.67  7669.80 3.75 3.47  83.3 -0.418 19.58 21.48 02a57490o0560c
57490.497761  20.143  0.521    32   17 c  0   1.30 207.07402   3.94575  8381.76  7097.37 3.80 3.43  83.1 -0.417 19.55 21.43 02a57490o0594c
57490.516492 -21.724  2.667    -7   20 c  0   0.86 207.07402   3.94575  8607.66  7220.27 3.88 3.50  83.4 -0.416 19.48 21.30 02a57490o0626c
