###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57386.528777 -18.103  0.141  -208   30 o  0   1.41 175.70685  77.37024  7653.78  6449.30 3.68 3.21  90.0 -0.481 18.59 19.76 02a57386o0542o
57386.544224 -18.205  0.155  -190   29 o  0   1.42 175.70685  77.37024  8580.52  7518.82 3.65 3.16  86.7 -0.478 18.67 19.86 02a57386o0567o
57386.562147 -17.957  0.116  -238   28 o  0   1.49 175.70685  77.37024  8892.40  5738.76 3.57 3.07  85.1 -0.476 18.73 19.90 02a57386o0596o
57387.538791 -18.275  0.151  -178   27 o  0   1.69 175.70685  77.37024  8581.48  7516.38 3.48 3.08  88.4 -0.490 18.85 19.82 02a57387o0561o
57387.557861 -18.026  0.115  -224   26 o  0   1.54 175.70685  77.37024  8893.80  5735.20 3.49 2.99  86.4 -0.485 18.90 19.90 02a57387o0592o
57396.529820 -20.108  0.500   -33   16 c  0   1.36 175.70685  77.37024  8020.95  7021.01 3.83 3.59  84.6 -0.420 19.47 21.51 02a57396o0513c
57396.540531 -19.966  0.408   -38   15 c  0   1.38 175.70685  77.37024  7694.15  6467.12 3.80 3.59  87.3 -0.413 19.47 21.51 02a57396o0530c
57396.548145 -18.945  0.177   -96   17 c  0   1.03 175.70685  77.37024  8588.62  7537.02 3.89 3.58  86.0 -0.423 19.46 21.47 02a57396o0542c
57396.564691 -19.349  0.234   -66   16 c  0   1.53 175.70685  77.37024  8863.63  5756.58 3.86 3.58  81.4 -0.426 19.43 21.40 02a57396o0569c
57409.526611 -17.941  0.203  -242   49 o  0   1.30 175.70685  77.37024  8575.55  6361.91 4.11 3.70  87.6 -0.452 18.14 19.19 02a57409o0541o
57409.555849 -18.090  0.315  -211   66 o  0   1.25 175.70685  77.37024  8904.01  6890.05 3.99 3.50  86.5 -0.472 18.19 19.26 02a57409o0583o
57409.574693 -18.063  0.187  -216   40 o  0   1.38 175.70685  77.37024  2781.98  4853.75 4.00 3.59 -56.1 -0.446 18.28 19.21 02a57409o0609o
57409.585679 -18.234  0.253  -185   47 o  0   1.13 175.70685  77.37024  3132.59  3102.03 4.22 3.74 -31.3 -0.420 18.25 19.18 02a57409o0624o
57413.522468 -18.130  0.194  -203   40 o  0   1.36 175.70685  77.37024  8782.41  6127.17 3.82 3.23  84.5 -0.496 18.44 19.67 02a57413o0495o
57413.548678 -18.019  0.185  -225   42 o  0   1.02 175.70685  77.37024  1656.71  4070.99 4.35 3.58 -47.1 -0.483 18.45 19.55 02a57413o0533o
57413.556919 -18.045  0.160  -220   35 o  0   1.34 175.70685  77.37024  2897.93  3320.59 4.12 3.55 -35.7 -0.469 18.45 19.57 02a57413o0545o
