###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57246.272198 -20.597  1.091   -21   23 c  0   1.34 205.32750  -4.34630  7603.18  1683.87 4.14 4.00 -11.6 -0.427 19.04 20.74 02a57246o0046c
57399.647370 -20.702  0.815   -19   16 c  0   1.36 205.32750  -4.34630  2762.19  9130.52 3.78 3.65 -88.8 -0.417 19.49 21.31 02a57399o0713c
57399.647975 -20.014  0.495   -36   18 c  0   1.17 205.32750  -4.34630  2473.66  8544.34 3.86 3.63 -79.9 -0.418 19.48 21.30 02a57399o0714c
57399.660928 -19.893  0.423   -40   17 c  0   1.47 205.32750  -4.34630  3325.43  9706.00 3.83 3.71  62.9 -0.406 19.44 21.22 02a57399o0733c
57399.673516  21.818  5.900     7   40 c  0   1.33 205.32750  -4.34630  3600.31  7939.28 3.74 3.52  87.1 -0.419 18.71 19.79 02a57399o0753c
57436.428329 -18.681  0.637  -122   78 c  0   1.27 205.32750  -4.34630  3545.43  8872.60 4.32 4.20 -73.0 -0.385 18.15 19.25 02a57436o0356c
57436.441995 -19.440  0.933   -61   57 c  0   1.45 205.32750  -4.34630  3829.63  9459.15 4.06 3.99  86.4 -0.401 18.35 19.42 02a57436o0379c
57436.450833 -18.149  0.282  -200   56 c  0   1.15 205.32750  -4.34630  5060.69   316.72 5.11 4.11  -4.8 -0.439 18.32 19.48 02a57436o0394c
57436.455546  21.080  3.393    13   46 c  0   1.18 205.32750  -4.34630  2662.37 10053.39 4.33 4.23 -20.2 -0.376 18.42 19.56 02a57436o0402c
57436.464491 -19.612  0.980   -52   51 c  0   1.14 205.32750  -4.34630  4807.24   121.72 4.94 3.89  -4.8 -0.429 18.47 19.59 02a57436o0417c
57436.469212 -19.325  0.625   -68   42 c  0   1.37 205.32750  -4.34630  2405.80  9860.66 4.43 4.10  -6.3 -0.387 18.47 19.67 02a57436o0425c
57445.635594 -18.174  0.679  -195  133 o  0   0.62 205.32750  -4.34630  6827.74  1522.83 4.32 3.51   1.9 -0.519 17.25 17.86 02a57445o0827o
57445.658873  17.999  0.454   229  104 o  0   1.00 205.32750  -4.34630  7996.39   934.50 4.54 3.51   3.9 -0.508 17.37 17.96 02a57445o0868o
57452.604331 -20.228  0.545   -29   16 c  0   1.33 205.32750  -4.34630  7240.80  2200.15 4.03 3.60  10.2 -0.442 19.61 21.52 02a57452o0681c
57452.626894 -20.224  0.616   -30   18 c  0   1.20 205.32750  -4.34630  6954.85  1617.59 4.22 3.62   6.9 -0.445 19.57 21.45 02a57452o0724c
57452.649349 -19.160  0.229   -79   18 c  0   1.38 205.32750  -4.34630  8123.93  1029.50 4.44 3.67  13.3 -0.460 19.46 21.24 02a57452o0767c
57460.578619 -19.709  0.395   -48   19 c  0   1.01 205.32750  -4.34630  7376.07  1984.51 4.18 3.61   9.4 -0.449 19.62 21.54 02a57460o0727c
57460.600941 -19.278  0.226   -71   16 c  0   1.60 205.32750  -4.34630  7087.64  1402.46 4.35 3.63   7.7 -0.459 19.58 21.49 02a57460o0770c
57460.623344 -20.258  0.759   -29   22 c  0   1.19 205.32750  -4.34630  8259.21   814.65 4.78 3.75  14.6 -0.445 19.54 21.44 02a57460o0813c
57460.646266 -22.790  8.500    -3   24 c  0   1.13 205.32750  -4.34630  8242.35   817.67 4.63 3.61  14.8 -0.466 19.43 21.20 02a57460o0856c
57464.548225 -22.580  7.429    -3   25 o  0   1.14 205.32750  -4.34630  7148.82  1700.74 4.37 3.48   7.5 -0.515 19.28 21.02 02a57464o0679o
57464.570745 -19.717  0.624   -47   29 o  0   1.13 205.32750  -4.34630  6859.69  1119.21 4.73 3.30   4.7 -0.503 19.23 20.92 02a57464o0722o
57464.593287 -20.195  0.964   -30   29 o  0   1.12 205.32750  -4.34630  8031.16   530.09 5.00 3.43  11.0 -0.488 19.22 20.92 02a57464o0765o
57464.597535 -20.972  1.514   -15   22 o  0   1.39 205.32750  -4.34630  5626.95 10267.97 3.61 3.56 -19.9 -0.454 19.19 20.86 02a57464o0773o
57464.616305  19.232  0.420    74   31 o  0   1.36 205.32750  -4.34630  8242.78   808.57 4.82 3.40  12.0 -0.517 19.21 20.90 02a57464o0808o
57476.528885  19.899  0.907    40   36 o  0   0.97 205.32750  -4.34630  7460.01  1724.55 4.23 3.49  11.6 -0.528 18.83 20.10 02a57476o0626o
57476.551314 -19.551  0.670   -55   37 o  0   1.04 205.32750  -4.34630  7170.52  1141.96 4.64 3.66   8.4 -0.506 18.75 20.05 02a57476o0669o
57476.569792  20.409  1.333    25   33 o  0   1.12 205.32750  -4.34630  5939.49 10289.44 3.86 3.82 -73.0 -0.426 18.62 19.87 02a57476o0704o
57476.574403 -19.023  0.743   -89   66 o  0   1.14 205.32750  -4.34630  8342.61   552.68 5.48 4.33  14.5 -0.466 18.25 19.37 02a57476o0712o
57480.533221 -20.448  0.677   -24   16 c  0   1.34 205.32750  -4.34630  7089.21  2014.79 4.08 3.60  11.1 -0.445 19.48 21.27 02a57480o0644c
57480.556575 -19.246  0.286   -73   21 c  0   1.13 205.32750  -4.34630  6802.79  1433.27 4.28 3.59   5.3 -0.463 19.40 21.11 02a57480o0689c
57480.580153 -19.580  0.462   -54   25 c  0   1.11 205.32750  -4.34630  7971.73   847.16 4.48 3.63  13.5 -0.473 19.33 20.99 02a57480o0734c
57480.603826  19.633  0.523    51   27 c  0   1.22 205.32750  -4.34630  8228.44   808.20 4.60 3.68  14.0 -0.468 19.24 20.86 02a57480o0779c
57490.454030 -20.092  0.521   -33   17 c  0   1.17 205.32750  -4.34630  7124.30  1849.61 4.77 3.79   3.6 -0.385 19.43 21.47 02a57490o0522c
57490.472697 -20.635  0.882   -20   18 c  0   1.37 205.32750  -4.34630  6839.80  1265.77 4.05 3.70  21.8 -0.436 19.54 21.49 02a57490o0553c
57490.488089 -20.300  0.662   -28   18 c  0   1.44 205.32750  -4.34630  5606.25 10437.26 3.86 3.65  17.9 -0.417 19.50 21.33 02a57490o0578c
57490.493033 -19.267  0.282   -71   20 c  0   1.13 205.32750  -4.34630  8001.27   681.89 4.16 3.66  13.9 -0.457 19.53 21.39 02a57490o0586c
57491.451179 -19.005  0.241   -91   22 c  0   1.23 205.32750  -4.34630  7537.47  1885.00 5.20 4.33   6.0 -0.364 19.09 21.13 02a57491o0437c
57491.467790 -19.139  0.295   -80   24 c  0   0.97 205.32750  -4.34630  7241.82  1307.29 4.65 4.11   8.3 -0.416 19.25 21.13 02a57491o0464c
57491.487990 -24.127 41.000    -1   33 c  0   1.24 205.32750  -4.34630  8418.75   714.74 5.23 4.67  15.1 -0.376 18.89 20.86 02a57491o0498c
57491.492374 -19.018  0.538   -90   48 c  0   1.14 205.32750  -4.34630  6004.79 10457.64 4.41 4.38  46.4 -0.364 18.34 20.19 02a57491o0505c
57491.507437  21.168  2.667    12   33 c  0   1.19 205.32750  -4.34630  8234.45   801.12 5.46 4.75  14.6 -0.369 18.88 20.81 02a57491o0530c
57493.435672  19.525  0.615    56   35 o  0   1.04 205.32750  -4.34630  7312.40  1786.77 4.92 3.59   3.3 -0.434 18.73 20.14 02a57493o0437o
57493.456886 -19.430  0.489   -61   30 o  0   1.16 205.32750  -4.34630  7022.30  1204.71 4.20 3.33   5.6 -0.517 18.86 20.13 02a57493o0480o
57493.468803 -21.454  3.000   -10   29 o  0   1.12 205.32750  -4.34630  5768.03 10359.71 3.79 3.71  28.7 -0.427 18.81 20.10 02a57493o0503o
57493.478113 -19.775  0.702   -45   31 o  0   1.41 205.32750  -4.34630  8184.04   619.20 4.23 3.54  14.2 -0.533 18.91 20.23 02a57493o0521o
57493.498578 -19.426  0.549   -62   34 o  0   1.13 205.32750  -4.34630  8234.50   801.45 4.43 3.64  15.2 -0.508 18.98 20.39 02a57493o0555o
57495.369777  20.786  2.692    18   47 o  0   1.37 205.32750  -4.34630  2971.74  8868.98 3.95 3.64 -65.0 -0.476 18.34 19.35 02a57495o0305o
57495.385039 -19.257  0.531   -72   38 o  0   1.35 205.32750  -4.34630  2989.71  8909.90 3.81 3.53 -64.6 -0.476 18.55 19.58 02a57495o0335o
57495.399649 -20.062  1.145   -34   39 o  0   1.16 205.32750  -4.34630  2929.53  8832.01 3.86 3.59 -69.9 -0.459 18.57 19.63 02a57495o0364o
