###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57232.514836 -16.932  0.365  -613  224 o  0   0.90  44.16382  47.52637 10115.48  5249.19 3.82 3.26  85.1 -0.500 16.27 16.78 02a57232o0329o
57232.549298 -18.563  0.573  -136   78 o  0   1.16  44.16382  47.52637 10135.75  5263.99 3.70 3.01  88.0 -0.468 17.86 18.68 02a57232o0343o
57302.412155 -17.213  0.061  -473   29 o  0   2.83  44.16382  47.52637 10168.76  5274.17 4.72 3.86  82.0 -0.481 19.03 20.74 02a57302o0348o
57302.427272 -19.115  0.330   -82   27 o  0   1.13  44.16382  47.52637   529.24  5190.66 4.58 3.43 -49.3 -0.454 19.01 20.68 02a57302o0371o
57302.438250  22.480  7.000     4   26 o  0   1.39  44.16382  47.52637   530.41  5191.94 4.55 3.45 -47.5 -0.458 19.06 20.77 02a57302o0388o
57302.438880 -17.955  0.122  -239   29 o  0   3.50  44.16382  47.52637 10183.53  5281.90 4.47 3.77  78.9 -0.488 19.10 20.83 02a57302o0389o
57302.465513 -18.597  0.164  -132   22 o  0   1.96  44.16382  47.52637  2006.66  3801.74 4.34 3.40 -37.9 -0.492 19.12 20.81 02a57302o0429o
57302.491734 -18.452  0.166  -151   25 o  0   1.43  44.16382  47.52637  2007.32  3811.39 4.19 3.34 -36.5 -0.491 19.12 20.76 02a57302o0470o
57307.448768  19.301  0.312    69   22 c  0   2.71  44.16382  47.52637 10182.40  5294.78 4.44 3.74  74.4 -0.473 19.50 21.54 02a57307o0239c
57307.454431 -19.253  0.241   -72   17 c  0   1.58  44.16382  47.52637   529.58  5191.51 4.58 3.68 -44.2 -0.429 19.50 21.49 02a57307o0247c
57307.479778  18.477  0.127   148   19 c  0   3.70  44.16382  47.52637 10189.93  5305.73 4.43 3.74  74.7 -0.466 19.52 21.56 02a57307o0276c
57307.495734 -18.800  0.151  -110   16 c  0   1.50  44.16382  47.52637   539.54  5209.99 4.58 3.74 -44.1 -0.423 19.53 21.55 02a57307o0291c
57307.508952 -21.777  2.875    -7   20 c  0   1.14  44.16382  47.52637  2009.51  3819.21 4.57 3.78 -32.7 -0.444 19.52 21.56 02a57307o0308c
57307.542804 -19.261  0.235   -72   17 c  0   1.68  44.16382  47.52637  8611.97  6814.58 4.37 3.67  87.3 -0.460 19.53 21.59 02a57307o0348c
57316.403670  18.119  0.144   205   30 c  0   1.93  44.16382  47.52637 10258.05  5294.05 4.80 4.15  70.3 -0.460 19.02 20.74 02a57316o0298c
57316.426661 -18.563  0.180  -136   25 c  0   1.02  44.16382  47.52637   608.99  5206.65 5.12 3.93 -44.2 -0.417 19.20 21.04 02a57316o0332c
57316.429227  18.617  0.175   130   23 c  0   2.77  44.16382  47.52637 10262.50  5302.42 4.56 3.90  70.5 -0.471 19.29 21.16 02a57316o0336c
57316.453765 -19.357  0.275   -66   18 c  0   1.68  44.16382  47.52637   608.60  5210.48 4.86 3.75 -46.6 -0.437 19.44 21.42 02a57316o0373c
57316.470294  20.898  1.294    16   20 c  0   1.09  44.16382  47.52637  2078.94  3827.63 4.75 3.79 -33.5 -0.455 19.43 21.38 02a57316o0397c
