###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57364.586754 -19.025  0.306   -89   27 o  0   0.85 182.65926  39.39664  9073.25  1981.51 3.94 3.48  20.2 -0.494 19.14 20.71 02a57364o0630o
57364.594118  19.825  0.820    43   35 o  0   3.06 182.65926  39.39664  8796.31  1407.63 4.05 3.45  14.8 -0.500 19.17 20.77 02a57364o0642o
57364.602144 -21.241  1.857   -12   22 o  0   1.43 182.65926  39.39664  9655.01  2555.48 3.85 3.59  36.9 -0.483 19.16 20.76 02a57364o0653o
57364.603370  19.705  0.609    48   29 o  0   0.94 182.65926  39.39664   178.63  2498.33 5.27 3.58 -38.8 -0.439 19.15 20.71 02a57364o0655o
57364.608881 -20.507  1.280   -23   29 o  0   1.00 182.65926  39.39664  9965.31   785.73 4.26 3.47  20.4 -0.487 19.19 20.78 02a57364o0664o
57364.610108  19.665  0.622    49   31 o  0   1.34 182.65926  39.39664   460.41   750.77 5.99 3.61 -32.4 -0.459 19.15 20.72 02a57364o0666o
57384.546540 -20.318  1.645   -27   45 o  0   1.22 182.65926  39.39664  9081.91  1975.18 3.97 3.62  21.2 -0.464 18.28 19.46 02a57384o0519o
57384.558728  18.567  1.301   136  177 o  0   1.14 182.65926  39.39664  8800.31  1400.54 4.99 3.70   5.3 -0.428 17.15 18.16 02a57384o0538o
57384.577057 -19.959  0.837   -38   32 o  0   1.47 182.65926  39.39664  9642.91  2550.70 3.72 3.49  58.0 -0.477 18.61 19.68 02a57384o0567o
57384.585799 -19.473  0.667   -59   39 o  0   0.88 182.65926  39.39664   179.82  2493.76 4.90 3.65 -37.4 -0.428 18.62 19.73 02a57384o0581o
57384.594444 -21.215  4.500   -12   53 o  0   3.47 182.65926  39.39664   453.51   746.74 5.43 3.67 -32.1 -0.459 18.64 19.76 02a57384o0595o
57384.595064 -19.278  0.580   -71   41 o  0   0.98 182.65926  39.39664  9951.49   784.80 4.03 3.54  21.7 -0.484 18.64 19.73 02a57384o0596o
57385.570383 -19.715  0.702   -47   33 o  0   1.66 182.65926  39.39664  9088.03  1983.88 3.98 3.49  19.2 -0.511 18.69 19.82 02a57385o0562o
57385.588881  19.742  0.930    46   43 o  0   2.77 182.65926  39.39664  8803.98  1410.36 4.07 3.38  12.2 -0.502 18.73 19.87 02a57385o0591o
57385.600708 -20.545  1.370   -22   30 o  0   1.35 182.65926  39.39664  9655.48  2558.15 3.87 3.48  35.6 -0.491 18.73 19.87 02a57385o0610o
57385.608838 -19.387  0.682   -64   44 o  0   0.92 182.65926  39.39664  9962.64   790.96 4.33 3.51  20.6 -0.488 18.74 19.88 02a57385o0623o
57385.613214 -19.421  0.623   -62   38 o  0   0.98 182.65926  39.39664   178.25  2501.06 5.19 3.53 -37.0 -0.449 18.76 19.92 02a57385o0630o
57385.618786  19.967  1.167    37   44 o  0   1.24 182.65926  39.39664   457.85   754.02 5.99 3.46 -30.4 -0.376 18.77 19.92 02a57385o0639o
57395.552089 -15.877  0.014 -1619   22 c  0   0.93 182.65926  39.39664  9192.41  1959.94 3.81 3.64  16.9 -0.434 19.72 21.72 02a57395o0541c
57395.570310 -15.895  0.013 -1592   21 c  0   1.12 182.65926  39.39664  8887.45  1382.26 3.91 3.63  15.0 -0.443 19.74 21.77 02a57395o0568c
57395.584867 -15.969  0.002 -1487    4 c  0   1.24 182.65926  39.39664  9671.05  2527.32 3.77 3.62  71.6 -0.436 19.74 21.76 02a57395o0591c
57395.590574 -15.904  0.002 -1579    4 c  0   1.65 182.65926  39.39664   266.08  2477.12 4.76 3.64 -34.6 -0.409 19.74 21.75 02a57395o0600c
57395.607573 -15.845  0.003 -1667    5 c  0   2.09 182.65926  39.39664  9941.53   751.00 3.96 3.64  19.2 -0.453 19.75 21.75 02a57395o0627c
57395.616393 -15.819  0.003 -1707    5 c  0   1.44 182.65926  39.39664   501.75   717.34 5.38 3.59 -30.6 -0.430 19.73 21.73 02a57395o0641c
57402.575381 -15.761  0.023 -1801   42 c  0   1.15 182.65926  39.39664  9082.21  2000.77 4.38 3.80  13.5 -0.409 19.64 21.81 02a57402o0576c
57402.601934 -15.812  0.025 -1719   43 c  0   1.01 182.65926  39.39664  8801.86  1434.61 4.11 3.59  13.6 -0.428 19.74 21.83 02a57402o0611c
57402.609590 -15.970  0.003 -1486    4 c  0   0.98 182.65926  39.39664  9657.59  2576.56 3.79 3.59  43.1 -0.445 19.77 21.86 02a57402o0623c
57402.625480 -15.899  0.002 -1586    3 c  0   1.47 182.65926  39.39664   186.24  2524.33 4.94 3.68 -34.2 -0.393 19.82 21.94 02a57402o0645c
57402.630456 -15.921  0.003 -1555    4 c  0   1.75 182.65926  39.39664   786.34  9921.89 3.89 3.81  85.3 -0.412 19.80 21.91 02a57402o0653c
57402.641032 -15.895  0.003 -1593    4 c  0   1.36 182.65926  39.39664   470.99   774.57 5.41 3.65 -30.1 -0.417 19.82 21.93 02a57402o0665c
57403.572768 -15.843  0.027 -1670   45 c  0   0.84 182.65926  39.39664  9084.71  2000.35 3.99 3.58  19.1 -0.429 19.73 21.81 02a57403o0575c
57403.598809 -15.820  0.018 -1706   30 c  0   1.12 182.65926  39.39664  8805.90  1434.09 4.10 3.59  14.5 -0.446 19.74 21.79 02a57403o0610c
57403.604968 -16.008  0.002 -1435    3 c  0   1.40 182.65926  39.39664  9660.98  2575.32 3.82 3.59  37.2 -0.450 19.75 21.79 02a57403o0620c
57403.623778 -15.897  0.003 -1590    4 c  0   1.51 182.65926  39.39664   188.93  2521.93 5.21 3.77 -34.8 -0.394 19.77 21.86 02a57403o0645c
57403.630707 -15.926  0.003 -1547    5 c  0   1.33 182.65926  39.39664   786.23  9917.26 4.11 3.89 -75.2 -0.402 19.73 21.81 02a57403o0656c
57403.640811 -15.838  0.003 -1679    5 c  0   1.48 182.65926  39.39664   473.81   771.52 5.71 3.74 -29.9 -0.418 19.77 21.87 02a57403o0668c
57415.600872 -20.272  1.344   -28   38 o  0   1.00 182.65926  39.39664   820.24  9426.00 3.99 3.79 -70.9 -0.434 18.74 19.96 02a57415o0641o
57415.602095 -21.600  4.600    -8   38 o  0   1.15 182.65926  39.39664 10323.96  9464.65 3.90 3.69 -81.3 -0.431 18.75 19.99 02a57415o0643o
57415.603950  20.505  1.766    23   40 o  0   0.95 182.65926  39.39664   537.44  8850.15 4.35 3.97 -69.3 -0.423 18.68 19.97 02a57415o0646o
57415.624296  21.022  2.879    14   41 o  0   1.13 182.65926  39.39664 10014.35  8864.55 4.05 3.73 -88.6 -0.415 18.71 19.98 02a57415o0676o
57415.633350 -22.834 13.833    -3   37 o  0   1.29 182.65926  39.39664  1683.65  8207.74 4.06 3.77 -77.5 -0.439 18.67 19.95 02a57415o0689o
57415.652668  20.538  1.439    22   32 o  0   1.56 182.65926  39.39664  1933.60  8141.73 3.82 3.57 -72.9 -0.444 18.72 19.92 02a57415o0715o
57420.578494 -15.893  0.002 -1595    3 c  0   1.76 182.65926  39.39664  1249.84  9191.81 3.88 3.81 -89.1 -0.416 19.54 21.37 02a57420o0541c
57420.600861 -15.932  0.002 -1539    3 c  0   1.83 182.65926  39.39664   962.18  8615.81 3.98 3.74 -62.3 -0.414 19.52 21.35 02a57420o0574c
57420.608289 -15.854  0.002 -1654    4 c  0   1.72 182.65926  39.39664 10446.52  8664.95 3.96 3.69 -81.7 -0.418 19.52 21.36 02a57420o0586c
57420.627391 -15.960  0.007 -1500   10 c  0   1.20 182.65926  39.39664  2106.22  7996.63 3.81 3.62 -71.9 -0.421 19.51 21.32 02a57420o0612c
57420.650525 -15.857  0.002 -1649    4 c  0   1.56 182.65926  39.39664  1934.06  8139.52 3.87 3.65 -67.6 -0.420 19.46 21.26 02a57420o0647c
57427.550671 -15.924  0.002 -1550    4 c  0   1.50 182.65926  39.39664   933.84  9080.93 4.30 3.89 -60.2 -0.408 19.72 21.84 02a57427o0571c
57427.574272 -15.834  0.002 -1684    4 c  0   1.61 182.65926  39.39664 10416.89  9132.99 4.13 3.73  84.7 -0.407 19.74 21.87 02a57427o0608c
57427.579581 -15.879  0.002 -1615    4 c  0   1.66 182.65926  39.39664   699.76  8536.58 4.19 3.79 -65.5 -0.415 19.74 21.83 02a57427o0615c
57427.599374 -15.862  0.018 -1641   29 c  0   1.16 182.65926  39.39664 10163.98  8566.36 4.50 2.81 -86.7 -0.406 18.93 21.06 02a57427o0644c
57427.608248 -15.970  0.015 -1486   23 c  0   1.62 182.65926  39.39664  1901.34  7930.42 4.32 2.89  83.9 -0.430 18.94 21.11 02a57427o0657c
57427.627864 -15.784  0.020 -1764   36 c  0   1.95 182.65926  39.39664  1894.47  8001.67 4.27 2.54  60.4 -0.448 18.44 20.45 02a57427o0684c
57432.555058 -15.882  0.004 -1612    7 c  0   1.46 182.65926  39.39664  1085.00  9109.99 4.25 3.87 -56.3 -0.406 19.65 21.71 02a57432o0580c
57432.580343 -15.914  0.002 -1564    4 c  0   1.15 182.65926  39.39664   847.27  8544.16 4.10 3.69 -54.1 -0.436 19.63 21.63 02a57432o0617c
57432.586245 -15.881  0.002 -1613    4 c  0   1.69 182.65926  39.39664 10307.40  8583.14 4.31 3.62  74.0 -0.407 19.63 21.65 02a57432o0626c
57432.587472 -15.884  0.003 -1608    4 c  0   1.18 182.65926  39.39664  2009.53  7948.21 3.96 3.65 -63.9 -0.416 19.63 21.63 02a57432o0628c
57432.615259 -15.880  0.002 -1614    3 c  0   1.79 182.65926  39.39664  1865.37  7991.90 3.96 3.61 -58.0 -0.423 19.66 21.67 02a57432o0668c
57433.535479 -15.915  0.009 -1563   14 c  0   1.06 182.65926  39.39664   804.46  8856.18 4.83 4.11 -59.3 -0.395 19.57 21.76 02a57433o0551c
57433.557125 -15.848  0.003 -1662    4 c  0   1.56 182.65926  39.39664   557.01  8290.32 4.85 4.00 -61.6 -0.374 19.57 21.73 02a57433o0583c
57433.558947 -15.903  0.002 -1580    4 c  0   1.31 182.65926  39.39664 10298.36  8900.60 4.59 3.92  80.1 -0.386 19.61 21.77 02a57433o0586c
57433.564468 -15.903  0.002 -1580    3 c  0   1.38 182.65926  39.39664 10019.42  8302.06 4.44 3.72  82.5 -0.408 19.65 21.79 02a57433o0594c
57433.584235 -15.902  0.002 -1582    4 c  0   1.37 182.65926  39.39664  1756.31  7680.82 4.19 3.76 -56.7 -0.406 19.66 21.78 02a57433o0622c
57433.592992 -15.960  0.002 -1500    3 c  0   1.84 182.65926  39.39664  1834.45  7977.34 4.30 3.88 -57.4 -0.402 19.63 21.77 02a57433o0635c
57442.505002  19.017  0.535    90   48 o  0   1.34 182.65926  39.39664   881.19  9287.65 4.08 3.63 -63.7 -0.449 18.27 19.00 02a57442o0491o
57442.532419  20.961  4.971    15   74 o  0   1.00 182.65926  39.39664   583.60  8713.01 4.12 3.54 -65.5 -0.448 18.28 19.01 02a57442o0529o
57442.532940  19.738  0.991    46   46 o  0   1.02 182.65926  39.39664 10349.93  9333.05 4.19 3.29  81.3 -0.482 18.29 19.05 02a57442o0530o
57442.537192  19.205  0.812    76   61 o  0   1.13 182.65926  39.39664 10055.09  8733.56 4.12 3.14  83.1 -0.469 18.29 19.05 02a57442o0536o
57442.538268 -19.081  0.860   -85   73 o  0   1.07 182.65926  39.39664  1739.15  8089.94 3.90 3.42 -68.7 -0.478 18.27 19.01 02a57442o0538o
57442.565462 -20.367  2.500   -26   65 o  0   1.26 182.65926  39.39664  1894.10  8124.13 3.78 3.35 -66.8 -0.465 18.29 19.00 02a57442o0577o
57443.496834  19.203  0.701    76   53 o  0   0.94 182.65926  39.39664  9761.54  1189.90 4.67 3.62  29.0 -0.538 18.51 19.43 02a57443o0531o
57443.501139  19.567  0.899    54   49 o  0   1.30 182.65926  39.39664   274.64  1133.64 5.77 3.43 -26.9 -0.390 18.52 19.42 02a57443o0537o
57443.524168  20.940  3.030    15   46 o  0   1.47 182.65926  39.39664   630.70  8945.44 4.24 3.55 -62.7 -0.465 18.51 19.47 02a57443o0570o
57443.529973 -19.983  1.246   -37   46 o  0   1.09 182.65926  39.39664   569.45  1741.02 5.21 3.36 -25.5 -0.524 18.57 19.56 02a57443o0578o
57443.531178  19.137  0.479    80   38 o  0   1.41 182.65926  39.39664  1783.57  8320.53 4.02 3.47 -63.7 -0.466 18.49 19.46 02a57443o0580o
57443.556946 -22.043  8.769    -6   48 o  0   0.96 182.65926  39.39664  1900.61  8123.79 3.97 3.49 -65.0 -0.469 18.45 19.43 02a57443o0617o
57450.490091 -16.073  0.003 -1351    4 c  0   1.69 182.65926  39.39664  1192.91  9250.63 4.00 3.78 -58.8 -0.416 19.74 21.78 02a57450o0547c
57450.514350 -15.866  0.002 -1635    4 c  0   1.57 182.65926  39.39664   895.14  8674.98 4.16 3.81 -56.8 -0.424 19.61 21.59 02a57450o0587c
57450.533055 -15.918  0.002 -1560    4 c  0   1.46 182.65926  39.39664  2046.04  8056.35 3.86 3.60 -56.8 -0.430 19.54 21.37 02a57450o0616c
57450.533536 -15.898  0.002 -1588    4 c  0   1.74 182.65926  39.39664 10363.62  8722.75 4.09 3.41  82.3 -0.434 19.56 21.39 02a57450o0617c
57450.556184 -15.831  0.002 -1689    4 c  0   1.92 182.65926  39.39664  1885.37  8120.17 3.84 3.59 -57.2 -0.425 19.46 21.21 02a57450o0651c
57451.485252 -15.913  0.002 -1567    3 c  0   1.76 182.65926  39.39664   963.65  9376.82 4.11 3.73 -56.0 -0.421 19.75 21.81 02a57451o0540c
57451.507636 -15.876  0.002 -1620    3 c  0   1.74 182.65926  39.39664   665.79  8802.30 4.25 3.72 -56.2 -0.417 19.72 21.79 02a57451o0575c
57451.512880 -15.859  0.002 -1646    3 c  0   1.25 182.65926  39.39664 10156.11  8828.88 4.28 3.52  79.4 -0.417 19.71 21.77 02a57451o0584c
57451.531951 -15.893  0.002 -1595    3 c  0   1.72 182.65926  39.39664  1816.28  8179.60 3.92 3.60 -58.0 -0.463 19.71 21.74 02a57451o0613c
57451.555872 -15.934  0.002 -1537    4 c  0   1.63 182.65926  39.39664  1886.47  8120.42 3.90 3.57 -56.8 -0.429 19.61 21.53 02a57451o0651c
57455.486314 -15.917  0.012 -1561   18 c  0   1.24 182.65926  39.39664   971.55  9221.78 4.12 3.77 -55.4 -0.408 19.04 21.00 02a57455o0516c
57455.488742 -15.894  0.011 -1593   18 c  0   1.17 182.65926  39.39664 10455.75  9275.52 4.31 3.56  77.4 -0.407 19.20 21.18 02a57455o0521c
57455.509405 -15.902  0.002 -1582    4 c  0   1.41 182.65926  39.39664   680.96  8646.55 4.17 3.73 -61.2 -0.414 19.57 21.61 02a57455o0554c
57455.515115 -15.875  0.002 -1622    4 c  0   1.71 182.65926  39.39664 10148.17  8677.06 4.24 3.47  81.1 -0.420 19.47 21.49 02a57455o0563c
57455.515600 -15.876  0.002 -1621    4 c  0   1.46 182.65926  39.39664  1832.95  8026.17 3.95 3.58 -60.2 -0.426 19.55 21.56 02a57455o0564c
57455.542244 -15.756  0.003 -1810    5 c  0   1.81 182.65926  39.39664  1885.69  8122.00 3.97 3.65 -59.4 -0.418 19.06 20.96 02a57455o0606c
57463.457247 -19.226  0.331   -74   24 o  0   1.10 182.65926  39.39664  1271.36  9522.47 4.01 3.63 -55.5 -0.452 19.19 20.84 02a57463o0371o
57463.479758 -20.043  0.646   -35   22 o  0   1.21 182.65926  39.39664   979.52  8945.11 4.09 3.60 -60.1 -0.456 19.23 20.96 02a57463o0410o
57463.485172 -20.967  1.639   -15   24 o  0   1.06 182.65926  39.39664 10455.80  8999.48 4.29 3.17  84.5 -0.446 19.29 21.06 02a57463o0419o
57463.503361 -20.345  0.881   -26   23 o  0   0.95 182.65926  39.39664  2125.67  8327.58 3.87 3.47 -61.7 -0.454 19.32 21.11 02a57463o0448o
57463.512444 -21.025  1.528   -14   22 o  0   1.19 182.65926  39.39664  1884.22  8119.40 3.87 3.42 -65.6 -0.457 19.32 21.08 02a57463o0462o
57467.434904  19.247  0.637    73   46 o  0   0.98 182.65926  39.39664  1131.01  9479.91 4.17 3.65 -50.6 -0.453 18.46 19.47 02a57467o0433o
57467.453757  23.605 39.000     1   51 o  0   1.17 182.65926  39.39664   841.26  8904.00 4.20 3.52 -59.0 -0.457 18.47 19.47 02a57467o0466o
57467.459046  19.848  1.156    42   48 o  0   0.92 182.65926  39.39664   337.32  1738.91 5.35 3.40 -26.6 -0.498 18.55 19.55 02a57467o0475o
57467.477356  19.402  0.706    63   44 o  0   1.04 182.65926  39.39664  1974.17  8284.32 3.97 3.43 -60.4 -0.454 18.50 19.55 02a57467o0504o
57467.498089  20.183  1.467    31   45 o  0   1.24 182.65926  39.39664  1876.54  8112.38 3.95 3.40 -58.5 -0.479 18.48 19.50 02a57467o0542o
57471.423851  19.362  2.357    65  154 o  0   0.64 182.65926  39.39664   765.18  9185.83 4.30 2.70 -14.7 -0.465 17.70 18.83 02a57471o0221o
57471.446846  19.071  0.944    85   81 o  0   1.08 182.65926  39.39664 10236.63  9222.42 4.63 3.09  83.5 -0.500 17.87 19.04 02a57471o0263o
57471.447370  21.452  8.050    10   77 o  0   1.34 182.65926  39.39664   456.03  8612.08 4.45 3.66 -53.7 -0.429 18.21 18.99 02a57471o0264o
57471.463656  21.363  8.692    10   90 o  0   0.97 182.65926  39.39664  9936.14  8623.95 4.25 3.09  84.3 -0.508 18.20 18.97 02a57471o0294o
57471.469726 -20.125  2.622   -32   85 o  0   1.06 182.65926  39.39664  1600.83  7984.16 4.08 3.47 -60.8 -0.493 18.20 18.98 02a57471o0305o
57471.484344  24.138 92.500     1   74 o  0   1.44 182.65926  39.39664  1871.87  8116.97 3.82 3.38 -63.6 -0.475 18.21 18.96 02a57471o0332o
57475.443266 -20.255  1.077   -29   31 o  0   1.09 182.65926  39.39664  1097.97  9331.27 4.05 3.66 -58.3 -0.445 18.87 20.27 02a57475o0381o
57475.463913  18.953  0.298    95   28 o  0   1.38 182.65926  39.39664   806.51  8755.12 4.16 3.60 -57.8 -0.444 18.87 20.24 02a57475o0413o
57475.470095 -20.777  1.854   -18   33 o  0   0.89 182.65926  39.39664 10279.81  8798.45 4.33 3.29  81.2 -0.479 18.87 20.26 02a57475o0423o
57475.471278  23.383 19.000     2   31 o  0   1.06 182.65926  39.39664  1958.92  8135.90 3.91 3.41 -65.4 -0.471 18.87 20.24 02a57475o0425o
57475.494156 -22.276  7.600    -4   34 o  0   1.16 182.65926  39.39664  1862.87  8121.34 3.88 3.71 -48.9 -0.460 18.77 20.17 02a57475o0463o
57479.426987 -15.886  0.002 -1606    4 c  0   1.47 182.65926  39.39664   791.24  9550.93 4.20 3.78 -51.6 -0.418 19.63 21.60 02a57479o0367c
57479.446128 -15.905  0.002 -1578    3 c  0   1.24 182.65926  39.39664 10271.76  9591.27 4.42 3.59  80.3 -0.412 19.66 21.67 02a57479o0404c
57479.450110 -15.885  0.002 -1608    4 c  0   1.49 182.65926  39.39664   502.66  8975.29 4.15 3.68 -54.8 -0.415 19.66 21.63 02a57479o0412c
57479.464924 -15.899  0.002 -1587    3 c  0   1.80 182.65926  39.39664  9972.70  8991.90 4.31 3.47  83.5 -0.416 19.65 21.64 02a57479o0440c
57479.470249 -15.821  0.002 -1704    4 c  0   1.60 182.65926  39.39664  1653.94  8352.26 4.16 3.66 -55.7 -0.416 19.61 21.62 02a57479o0451c
57479.486351 -15.860  0.002 -1644    4 c  0   1.78 182.65926  39.39664  1864.85  8113.84 3.98 3.61 -50.5 -0.429 19.56 21.49 02a57479o0480c
57483.407786 -15.932  0.003 -1539    5 c  0   1.29 182.65926  39.39664  1134.24  9578.27 4.19 3.87 -50.6 -0.407 19.60 21.58 02a57483o0328c
57483.424874 -15.818  0.003 -1709    5 c  0   1.57 182.65926  39.39664   841.35  8998.93 4.21 3.79 -54.4 -0.411 19.57 21.52 02a57483o0361c
57483.429886 -15.778  0.003 -1774    5 c  0   1.58 182.65926  39.39664 10335.25  9042.76 4.48 3.70  80.1 -0.416 19.59 21.59 02a57483o0370c
57483.445148 -15.889  0.003 -1601    4 c  0   1.09 182.65926  39.39664  1994.32  8377.55 4.04 3.68 -60.1 -0.412 19.55 21.50 02a57483o0398c
57487.405499 -15.962  0.002 -1497    3 c  0   2.73 182.65926  39.39664  1088.88  9264.05 4.08 3.75 -52.4 -0.413 19.64 21.62 02a57487o0380c
57487.408847 -15.855  0.002 -1652    4 c  0   1.24 182.65926  39.39664   805.42  8688.76 4.09 3.74 -55.2 -0.415 19.64 21.62 02a57487o0387c
57487.425108 -15.890  0.002 -1600    4 c  0   1.62 182.65926  39.39664 10286.15  8727.87 4.33 3.50  80.8 -0.422 19.65 21.63 02a57487o0418c
57487.430423 -15.845  0.002 -1667    4 c  0   1.35 182.65926  39.39664  1950.39  8068.13 3.93 3.61 -57.3 -0.430 19.64 21.61 02a57487o0429c
57487.452282 -15.874  0.002 -1624    3 c  0   1.46 182.65926  39.39664  1869.56  8110.07 3.98 3.65 -64.3 -0.417 19.58 21.54 02a57487o0470c
57489.387893 -15.975  0.002 -1479    3 c  0   1.29 182.65926  39.39664  1164.88  9107.44 4.99 4.12 -16.4 -0.376 19.53 21.78 02a57489o0341c
57489.410081 -15.874  0.002 -1623    3 c  0   1.61 182.65926  39.39664   876.40  8552.97 4.27 3.81 -55.1 -0.413 19.70 21.82 02a57489o0384c
