###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57246.464564  20.666  1.034    20   20 c  0   1.02 355.44495  -1.35088  3613.48  3113.82 3.78 3.54 -36.3 -0.394 19.48 21.33 02a57246o0304c
57246.490214 -22.053  2.750    -6   15 c  0   1.43 355.44495  -1.35088  3602.31  3119.86 3.83 3.57 -31.8 -0.393 19.48 21.34 02a57246o0336c
57246.515717 -20.277  0.513   -28   14 c  0   1.69 355.44495  -1.35088  5059.40  1671.32 3.92 3.55  -8.2 -0.422 19.50 21.37 02a57246o0369c
57322.385752 -19.304  1.026   -69   71 o  0   1.07 355.44495  -1.35088  7043.23  7498.15 4.17 3.48 -82.4 -0.485 17.76 18.36 02a57322o0389o
57322.411539 -20.192  2.200   -30   67 o  0   1.63 355.44495  -1.35088  7043.66  7499.23 4.09 3.39 -81.5 -0.493 17.72 18.27 02a57322o0428o
57322.442297 -18.377  0.859  -162  139 o  0   1.58 355.44495  -1.35088  5585.35  8955.61 4.14 3.39 -74.5 -0.521 17.66 18.12 02a57322o0475o
57322.467134 -17.841  0.699  -265  186 o  0   1.22 355.44495  -1.35088  5585.98  8952.82 4.37 3.70 -73.5 -0.489 17.51 17.98 02a57322o0513o
57326.346082 -17.996  0.134  -230   31 o  0   2.05 355.44495  -1.35088  7098.13  7510.25 4.03 3.36 -85.1 -0.483 18.66 20.07 02a57326o0281o
57330.332902 -17.960  0.115  -238   27 o  0   2.26 355.44495  -1.35088  7092.84  7512.34 4.71 4.06 -82.4 -0.475 18.72 20.48 02a57330o0217o
57330.360675 -18.033  0.118  -222   26 o  0   2.80 355.44495  -1.35088  7089.88  7513.52 4.55 4.03 -82.3 -0.474 18.76 20.55 02a57330o0260o
57330.391337 -17.490  0.070  -366   26 o  0   3.16 355.44495  -1.35088  5631.36  8970.45 4.53 3.90 -72.4 -0.487 18.84 20.65 02a57330o0307o
57334.342745 -18.736  0.143  -116   17 c  0   1.90 355.44495  -1.35088  7090.25  7513.62 4.22 3.97  83.2 -0.376 19.24 21.17 02a57334o0240c
57334.373998 -18.662  0.132  -124   16 c  0   1.75 355.44495  -1.35088  7090.56  7514.87 4.01 3.77  86.7 -0.388 19.36 21.22 02a57334o0285c
57334.404480 -18.389  0.102  -160   16 c  0   2.55 355.44495  -1.35088  5638.85  8969.48 4.29 4.13 -87.8 -0.370 19.22 21.10 02a57334o0329c
57334.435616 -18.415  0.107  -156   17 c  0   2.27 355.44495  -1.35088  5642.11  8971.02 4.11 3.97  86.8 -0.383 19.12 20.93 02a57334o0374c
57341.204341 -13.787  0.024 -11094  264 c  0   9.58 355.44495  -1.35088  1521.64  1024.33 6.28 4.62 -24.5 -0.427 16.40 18.18 02a57341o0046c
57341.204983 -16.667  0.273  -782  213 c  0   1.22 355.44495  -1.35088  1521.63  1024.35 6.27 4.55 -26.1 -0.436 16.60 18.41 02a57341o0047c
57341.205626 -16.620  0.196  -817  160 c  0   1.05 355.44495  -1.35088  1521.82  1024.17 6.00 4.33 -26.3 -0.466 17.08 18.86 02a57341o0048c
57344.188580 -18.180  0.320  -194   62 c  0   1.24 355.44495  -1.35088  6107.10  1039.86 3.94 3.79 -78.3 -0.442 18.04 18.61 02a57344o0021c
57344.189233 -17.932  0.260  -244   63 c  0   0.79 355.44495  -1.35088  6107.13  1039.64 3.94 3.90 -53.0 -0.446 18.12 18.78 02a57344o0022c
57344.189888 -17.651  0.179  -316   57 c  0   1.24 355.44495  -1.35088  6107.06  1039.51 3.97 3.89 -69.6 -0.423 18.19 18.91 02a57344o0023c
57351.331818 -18.430  0.298  -154   46 o  0   2.71 355.44495  -1.35088  7085.60  7520.91 3.72 3.50  81.6 -0.434 18.14 18.82 02a57351o0068o
57351.340909 -18.576  0.433  -135   58 o  0   1.95 355.44495  -1.35088  7086.16  7521.68 3.75 3.47  85.2 -0.438 18.10 18.77 02a57351o0082o
57351.349999 -19.552  1.743   -55   96 o  0   1.31 355.44495  -1.35088  7086.27  7522.21 3.75 3.48  83.6 -0.434 17.95 18.60 02a57351o0096o
57353.211187 -17.848  0.131  -264   34 o  0   1.79 355.44495  -1.35088  3667.23  3185.63 4.07 3.71 -48.8 -0.461 18.63 20.05 02a57353o0064o
57353.211812 -18.079  0.159  -213   34 o  0   1.65 355.44495  -1.35088  3667.24  3185.50 4.09 3.73 -44.8 -0.455 18.65 20.07 02a57353o0065o
57353.230142 -18.219  0.235  -187   44 o  0   1.62 355.44495  -1.35088  3660.74  3189.66 3.96 3.63 -52.4 -0.485 18.21 19.20 02a57353o0093o
57353.234114 -18.438  0.317  -153   48 o  0   1.43 355.44495  -1.35088  3659.08  3190.52 4.16 3.79 -40.8 -0.462 18.24 19.27 02a57353o0099o
57354.290582 -19.051  0.681   -87   59 o  0   1.48 355.44495  -1.35088  7087.56  7515.64 3.69 3.34  85.2 -0.467 18.00 18.81 02a57354o0188o
57354.298867 -18.455  0.417  -151   63 o  0   1.62 355.44495  -1.35088  7090.94  7516.19 3.70 3.35  87.1 -0.461 17.92 18.67 02a57354o0201o
57354.307129 -18.642  0.689  -127   87 o  0   1.61 355.44495  -1.35088  7090.13  7518.45 3.59 3.25  85.5 -0.470 17.68 18.30 02a57354o0214o
57354.315432 -18.434  1.627  -154  250 o  0   1.63 355.44495  -1.35088  7090.36  7519.01 3.59 3.24  86.0 -0.463 16.68 17.10 02a57354o0227o
57356.298347 -17.816  0.082  -271   22 o  0   2.26 355.44495  -1.35088  7089.49  7516.40 3.85 3.53  86.4 -0.433 19.05 20.66 02a57356o0115o
