###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57297.510928 -20.108  1.483   -33   49 o  0   1.23  66.26255 -14.61328  9086.64  9485.09 4.87 3.76 -79.4 -0.471 18.47 19.58 02a57297o0316o
57297.535864 -20.029  1.281   -35   45 o  0   1.44  66.26255 -14.61328  9073.67  9492.62 4.84 3.75 -80.6 -0.469 18.52 19.67 02a57297o0353o
57297.558716 -19.584  1.490   -53   79 o  0   1.21  66.26255 -14.61328 10508.68  8059.62 4.89 3.58  89.3 -0.470 18.55 19.68 02a57297o0387o
57297.573484 -20.193  2.414   -30   73 o  0   1.11  66.26255 -14.61328 10503.83  8062.51 4.92 3.50  89.0 -0.472 18.57 19.72 02a57297o0410o
57297.577126 -20.996  2.875   -14   42 o  0   1.63  66.26255 -14.61328   826.10  8033.40 4.38 3.41 -61.3 -0.460 18.56 19.68 02a57297o0415o
57298.507236 -19.545  0.580   -55   32 o  0   1.71  66.26255 -14.61328  9099.07  9487.64 4.74 3.80 -81.1 -0.471 18.70 20.03 02a57298o0466o
57298.532553 -19.868  0.784   -41   32 o  0   1.59  66.26255 -14.61328  9089.68  9492.63 4.74 3.87 -78.4 -0.465 18.69 20.02 02a57298o0504o
57298.555579  19.130  0.907    81   73 o  0   1.19  66.26255 -14.61328 10519.57  8062.41 4.86 3.75  88.8 -0.446 18.66 19.96 02a57298o0539o
57298.556221 -20.354  1.464   -26   38 o  0   1.06  66.26255 -14.61328   841.41  8033.20 4.40 3.58 -54.7 -0.446 18.62 19.91 02a57298o0540o
57298.570232  18.052  0.369   218   81 o  0   1.43  66.26255 -14.61328 10516.50  8065.15 4.86 3.93  88.9 -0.441 18.63 19.94 02a57298o0562o
57298.573751 -19.690  0.771   -48   37 o  0   1.15  66.26255 -14.61328   838.14  8035.72 4.54 3.73 -51.3 -0.441 18.61 19.93 02a57298o0567o
57304.484929 -21.417  1.889   -10   19 c  0   1.09  66.26255 -14.61328  9087.68  9486.98 5.12 4.24 -83.5 -0.387 19.45 21.52 02a57304o0414c
57304.510925 -20.520  0.826   -22   19 c  0   1.08  66.26255 -14.61328  9081.56  9492.65 4.85 3.93 -82.0 -0.412 19.54 21.57 02a57304o0453c
57304.556124  21.348  1.615    10   17 c  0   1.36  66.26255 -14.61328   828.72  8033.66 4.48 3.36 -73.1 -0.427 19.51 21.58 02a57304o0521c
57304.570076  24.089 26.000     1   22 c  0   1.02  66.26255 -14.61328   825.11  8035.05 4.65 3.36 -71.8 -0.420 19.44 21.50 02a57304o0543c
57304.570859  20.881  1.875    16   30 c  0   1.00  66.26255 -14.61328 10501.99  8071.39 4.79 3.76  84.7 -0.401 19.40 21.51 02a57304o0544c
57308.481064 -22.656  6.000    -3   19 c  0   1.01  66.26255 -14.61328  9084.96  9499.00 5.03 4.20 -89.7 -0.393 19.41 21.48 02a57308o0424c
57308.508936 -22.415  4.500    -4   18 c  0   1.17  66.26255 -14.61328  9079.84  9505.31 4.91 4.04 -86.2 -0.404 19.48 21.56 02a57308o0466c
57308.552248 -20.237  0.633   -29   18 c  0   1.15  66.26255 -14.61328   827.25  8046.22 4.86 3.82 -61.3 -0.441 19.47 21.54 02a57308o0529c
57308.566531 -20.626  0.909   -20   19 c  0   1.02  66.26255 -14.61328   821.54  8048.62 4.73 3.69 -61.9 -0.446 19.53 21.58 02a57308o0551c
57308.567254 -20.540  0.700   -22   16 c  0   1.36  66.26255 -14.61328   116.44  2550.51 5.60 3.96 -32.6 -0.397 19.52 21.57 02a57308o0552c
57317.428956 -21.298  3.091   -11   34 c  0   0.86  66.26255 -14.61328  9164.13  9507.44 4.89 3.97 -87.7 -0.415 18.77 20.17 02a57317o0316c
