###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57232.496042  18.782  2.258   112  252 o  0   1.29  29.43127  35.90976  6869.48  8465.90 3.69 3.26 -80.7 -0.489 17.55 18.52 02a57232o0308o
57232.521889 -19.686  5.310   -48  258 o  0   1.35  29.43127  35.90976  6880.28  8476.06 3.75 3.39 -78.3 -0.470 17.63 18.64 02a57232o0334o
57232.522593  22.213 31.250     5  148 o  0   1.21  29.43127  35.90976  8376.01  7003.86 3.72 3.20 -87.7 -0.462 17.50 18.29 02a57232o0335o
57232.565687  19.898  2.515    40  100 o  0   1.48  29.43127  35.90976  8404.40  7015.38 3.75 3.24 -86.2 -0.444 17.84 18.77 02a57232o0356o
57300.400272  19.238  1.444    73  106 o  0   0.95  29.43127  35.90976  6921.69  8482.01 3.98 3.18 -82.6 -0.525 18.87 20.69 02a57300o0577o
57300.425607 -20.020  5.704   -36  203 o  0   0.92  29.43127  35.90976  6919.29  8489.16 3.92 3.15 -83.2 -0.614 18.85 20.65 02a57300o0655o
57302.397947   0.000 20.308     0   27 o  0   1.06  29.43127  35.90976  6936.63  8487.39 4.24 3.66 -73.6 -0.474 19.10 20.86 02a57302o0326o
57302.416296 -21.630  3.111    -8   25 o  0   1.01  29.43127  35.90976  6932.14  8490.76 4.27 3.44 -76.9 -0.461 19.13 20.88 02a57302o0354o
57302.443460 -20.635  1.375   -20   28 o  0   0.98  29.43127  35.90976  8431.67  7022.10 4.18 3.29 -84.9 -0.486 19.19 20.91 02a57302o0396o
57302.457935 -20.620  1.208   -20   25 o  0   1.05  29.43127  35.90976  8435.45  7030.27 4.15 3.35 -84.9 -0.486 19.20 20.96 02a57302o0418o
57314.401131  21.220  1.600    12   19 c  0   1.06  29.43127  35.90976  7001.58  8511.05 4.23 3.61 -79.9 -0.456 19.50 21.54 02a57314o0299c
57314.443029  21.331  1.786    11   19 c  0   1.01  29.43127  35.90976  7003.86  8530.38 4.13 3.59 -82.6 -0.448 19.55 21.59 02a57314o0356c
57314.468546 -20.528  1.158   -22   26 c  0   1.00  29.43127  35.90976  2160.17  3604.90 4.81 3.77 -29.0 -0.443 19.20 21.18 02a57314o0392c
57314.497135 -23.034 11.500    -2   26 c  0   0.72  29.43127  35.90976  2154.06  3606.83 4.66 3.71 -34.0 -0.446 19.21 21.18 02a57314o0435c
57316.389134  21.266  2.077    11   24 c  0   1.19  29.43127  35.90976  7004.39  8505.63 4.44 3.82 -79.2 -0.447 19.07 20.76 02a57316o0276c
57316.420059  22.022  3.857     6   22 c  0   0.92  29.43127  35.90976  7015.68  8513.29 4.27 3.72 -81.1 -0.446 19.25 21.06 02a57316o0322c
57316.435755 -20.372  0.840   -26   22 c  0   1.05  29.43127  35.90976  2155.07  3602.01 5.10 4.07 -32.4 -0.413 19.37 21.40 02a57316o0346c
57316.460926 -20.344  0.759   -26   20 c  0   0.96  29.43127  35.90976  2142.43  3603.92 4.70 3.78 -31.8 -0.451 19.49 21.48 02a57316o0384c
57320.467072 -21.149  3.545   -13   45 o  0   1.12  29.43127  35.90976  3696.80  2137.11 5.07 3.48 -14.9 -0.535 18.36 19.40 02a57320o0392o
57320.496029  18.838  0.484   106   51 o  0   1.02  29.43127  35.90976  3693.38  2139.63 4.88 3.51 -16.1 -0.541 18.32 19.36 02a57320o0437o
57320.524970 -19.753  1.068   -46   49 o  0   0.88  29.43127  35.90976  2190.74  3614.89 4.61 3.51 -33.3 -0.514 18.30 19.27 02a57320o0482o
57320.555239 -20.223  1.786   -30   53 o  0   0.89  29.43127  35.90976  2193.29  3616.42 4.65 3.52 -33.5 -0.510 18.22 19.13 02a57320o0529o
57324.372785  21.124  4.143    13   53 o  0   0.92  29.43127  35.90976  6978.72  8523.09 4.41 3.37 -81.1 -0.490 18.19 19.23 02a57324o0309o
57324.394391 -20.847  2.895   -17   48 o  0   1.03  29.43127  35.90976  6977.30  8525.95 4.11 3.44 -81.9 -0.496 18.21 19.11 02a57324o0341o
57324.411238  21.045  3.909    14   54 o  0   0.98  29.43127  35.90976  2255.29  3618.13 5.17 3.95 -40.2 -0.495 18.26 19.24 02a57324o0367o
57324.435195  19.932  1.367    39   53 o  0   1.10  29.43127  35.90976  2252.16  3617.38 5.28 4.04 -41.8 -0.479 18.22 19.25 02a57324o0402o
57327.417867  21.973  6.500     6   38 o  0   1.19  29.43127  35.90976  3778.11  2151.91 5.73 4.28 -16.4 -0.473 18.70 20.18 02a57327o0350o
57327.456559  19.161  0.509    79   40 o  0   1.09  29.43127  35.90976  3765.23  2157.67 5.67 3.99 -18.0 -0.496 18.68 20.09 02a57327o0405o
57327.486822  19.178  0.518    77   40 o  0   0.89  29.43127  35.90976  2260.71  3630.21 5.44 3.96 -37.5 -0.492 18.65 20.06 02a57327o0449o
57327.517884 -20.536  1.937   -22   43 o  0   1.10  29.43127  35.90976  2261.08  3631.07 5.39 4.02 -37.6 -0.484 18.56 19.90 02a57327o0492o
57364.307981 -19.939  0.674   -38   26 o  0   0.96  29.43127  35.90976  4207.71  1661.65 4.10 3.46 -17.7 -0.488 19.17 20.72 02a57364o0221o
57364.323052 -20.812  1.182   -17   20 o  0   1.56  29.43127  35.90976  4501.17  2246.34 3.94 3.49 -15.6 -0.456 19.16 20.69 02a57364o0244o
57364.350730 -22.040  4.667    -6   26 o  0   1.11  29.43127  35.90976  3598.16  1086.07 4.38 3.44 -19.8 -0.515 19.18 20.73 02a57364o0282o
57364.355767  19.994  0.674    36   25 o  0   1.08  29.43127  35.90976  3295.78  2841.41 4.00 3.46 -32.2 -0.452 19.19 20.73 02a57364o0290o
57365.326237 -21.808  3.500    -7   24 o  0   1.15  29.43127  35.90976  4198.78  1665.74 4.19 3.48 -14.6 -0.488 19.24 20.86 02a57365o0252o
57365.343059 -21.528  2.636    -9   23 o  0   1.06  29.43127  35.90976  4492.25  2252.31 4.07 3.50 -16.9 -0.456 19.27 20.93 02a57365o0279o
57365.359849 -21.127  1.923   -13   25 o  0   1.36  29.43127  35.90976  3593.41  1090.35 4.56 3.60 -21.8 -0.500 19.23 20.89 02a57365o0306o
57365.376747  24.065 30.000     1   26 o  0   1.05  29.43127  35.90976  3289.65  2852.94 4.19 3.62 -27.4 -0.432 19.23 20.89 02a57365o0333o
57384.283284  20.366  1.286    26   33 o  0   0.84  29.43127  35.90976  4066.24  1874.37 4.25 3.75 -23.4 -0.459 18.91 20.35 02a57384o0129o
57384.299633  20.604  1.560    21   32 o  0   0.90  29.43127  35.90976  4359.78  2456.58 4.03 3.70 -29.1 -0.435 18.83 20.16 02a57384o0154o
57384.315722 -19.757  0.708   -45   32 o  0   1.22  29.43127  35.90976  3462.21  1293.83 4.31 3.63 -26.4 -0.495 18.79 20.09 02a57384o0179o
57384.332213 -21.567  3.800    -9   33 o  0   1.02  29.43127  35.90976  3158.70  3050.60 4.09 3.71 -35.8 -0.427 18.73 20.03 02a57384o0204o
57385.279463  21.149  2.429    13   31 o  0   0.92  29.43127  35.90976  4070.41  1875.92 4.12 3.55 -24.2 -0.490 19.16 20.77 02a57385o0166o
57385.295520 -20.759  1.524   -18   28 o  0   0.94  29.43127  35.90976  4362.52  2458.68 4.07 3.59 -25.9 -0.496 19.14 20.74 02a57385o0191o
57385.311775 -20.167  1.067   -31   33 o  0   1.16  29.43127  35.90976  3464.49  1297.06 4.66 3.61 -19.7 -0.519 18.97 20.43 02a57385o0216o
57385.328411 -23.235 21.000    -2   39 o  0   0.73  29.43127  35.90976  3160.53  3050.52 4.25 3.61 -32.5 -0.480 18.86 20.18 02a57385o0241o
57395.284221  20.868  1.108    16   18 c  0   1.21  29.43127  35.90976  3988.83  1727.05 4.49 3.89 -16.6 -0.407 19.56 21.58 02a57395o0152c
57395.299847 -21.088  1.242   -13   17 c  0   1.30  29.43127  35.90976  4315.79  2320.68 4.25 3.83 -18.7 -0.393 19.53 21.52 02a57395o0177c
57395.315841  20.694  0.951    19   18 c  0   1.29  29.43127  35.90976  3453.51  1168.47 4.64 3.84 -17.6 -0.433 19.52 21.49 02a57395o0202c
57395.332116 -20.237  0.614   -29   18 c  0   0.94  29.43127  35.90976  3186.34  2936.00 4.31 3.86 -24.0 -0.382 19.50 21.47 02a57395o0227c
57402.285452  21.674  3.063     8   24 c  0   1.20  29.43127  35.90976  4040.63  1877.19 4.59 3.77 -16.6 -0.495 19.28 21.00 02a57402o0159c
57402.301336 -19.934  0.553   -39   21 c  0   1.38  29.43127  35.90976  4337.15  2461.45 4.43 3.80 -17.1 -0.470 19.26 20.96 02a57402o0185c
57402.318201 -20.377  0.915   -26   24 c  0   1.47  29.43127  35.90976  3444.06  1296.93 5.04 3.86 -15.5 -0.486 19.21 20.90 02a57402o0212c
57402.334785  20.098  0.697    33   23 c  0   1.07  29.43127  35.90976  3142.57  3052.62 4.37 3.67 -25.7 -0.452 19.22 20.86 02a57402o0238c
57403.285700   0.000 20.256    -0   29 c  0   1.23  29.43127  35.90976  4044.30  1875.25 4.58 3.70 -17.1 -0.517 19.06 20.58 02a57403o0159c
57403.301767 -21.886  4.286    -6   27 c  0   0.96  29.43127  35.90976  4340.59  2459.17 4.36 3.66 -16.9 -0.523 19.05 20.53 02a57403o0185c
57403.318448  21.004  1.885    14   27 c  0   1.42  29.43127  35.90976  3447.31  1295.14 5.08 3.70 -13.1 -0.517 19.01 20.49 02a57403o0212c
57403.334861  24.774 60.000     0   27 c  0   1.02  29.43127  35.90976  3145.84  3051.95 4.42 3.64 -23.2 -0.477 18.99 20.43 02a57403o0238c
57415.278059  19.960  0.797    38   30 o  0   1.02  29.43127  35.90976  3174.17  2541.49 4.19 3.61 -25.9 -0.490 18.96 20.39 02a57415o0144o
57415.296494 -20.263  1.273   -28   36 o  0   0.93  29.43127  35.90976  2873.35  1961.14 4.54 3.63 -22.9 -0.496 18.93 20.36 02a57415o0174o
57415.312534  19.875  0.825    41   34 o  0   1.29  29.43127  35.90976  4069.03  1370.58 4.43 3.55 -15.1 -0.517 18.89 20.26 02a57415o0200o
57415.328191  22.010  6.545     6   37 o  0   1.20  29.43127  35.90976  4338.96  1294.36 4.43 3.57 -13.7 -0.519 18.64 19.83 02a57415o0225o
57420.268770  20.962  1.355    15   20 c  0   1.15  29.43127  35.90976  3318.17  1741.98 4.55 4.03 -23.4 -0.434 19.42 21.40 02a57420o0064c
57420.287509 -21.328  2.222   -11   24 c  0   1.14  29.43127  35.90976  4513.04  1172.94 5.07 4.45 -13.4 -0.412 19.29 21.38 02a57420o0094c
57420.306916 -21.100  1.680   -13   22 c  0   1.00  29.43127  35.90976  4340.87  1290.59 4.72 4.07 -12.9 -0.440 19.32 21.28 02a57420o0125c
57427.236768  19.704  0.505    48   24 c  0   1.07  29.43127  35.90976  3503.43  2279.72 4.50 3.89 -20.3 -0.489 19.35 21.19 02a57427o0072c
57427.253265  20.213  0.789    30   24 c  0   1.06  29.43127  35.90976  3233.93  1710.57 4.72 3.83 -19.5 -0.509 19.34 21.18 02a57427o0099c
