###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57232.275699 -18.622  4.133  -129  534 o  0   1.02 207.63792  35.13065 10113.40  2011.33 4.02 3.45  89.9 -0.386 15.98 16.02 02a57232o0037o
57232.286364  17.253  1.297   456  591 o  0   0.89 207.63792  35.13065  1537.66   520.57 4.02 3.66 -65.0 -0.492 16.08 16.11 02a57232o0051o
57240.284884  19.742  0.596    46   27 o  0   1.20 207.63792  35.13065  7917.28 10375.24 3.74 3.32 -77.4 -0.495 19.00 20.54 02a57240o0025o
57362.622387 -20.295  1.333   -28   37 o  0   1.37 207.63792  35.13065  2379.68   559.34 5.45 3.68 -21.1 -0.514 18.70 20.05 02a57362o0602o
57362.669244  17.817  1.120   271  304 o  0   0.92 207.63792  35.13065  2985.77  1185.32 4.76 3.47 -19.2 -0.545 16.94 16.54 02a57362o0654o
57363.635597 -19.386  0.479   -64   31 o  0   1.35 207.63792  35.13065  2390.00   565.84 5.55 3.86 -21.7 -0.490 18.89 20.41 02a57363o0584o
57384.604198 -19.796  0.836   -44   37 o  0   1.15 207.63792  35.13065  8923.72 10262.44 3.76 3.73 -10.6 -0.422 18.63 19.77 02a57384o0607o
57384.613542 -20.559  1.448   -22   31 o  0   1.23 207.63792  35.13065  8628.21  9679.21 3.68 3.55 -88.9 -0.437 18.65 19.78 02a57384o0622o
57384.620991 -20.276  4.071   -28  115 o  0   1.44 207.63792  35.13065  2403.22   574.57 4.78 3.60 -22.1 -0.505 17.42 18.06 02a57384o0634o
57385.630685  21.311  2.667    11   29 o  0   1.35 207.63792  35.13065  8922.64 10270.26 3.55 3.46 -86.4 -0.455 18.82 20.00 02a57385o0657o
57395.597457 -21.988  2.500    -6   14 c  0   1.69 207.63792  35.13065  9080.33 10249.91 3.82 3.67 -11.0 -0.421 19.68 21.69 02a57395o0611c
57395.606169 -22.492  4.750    -4   17 c  0   1.18 207.63792  35.13065  2554.15   554.39 4.76 3.63 -18.9 -0.462 19.66 21.63 02a57395o0625c
57395.613202  21.791  2.095     7   15 c  0   1.15 207.63792  35.13065  8765.77  9663.87 3.56 3.46 -34.5 -0.443 19.70 21.67 02a57395o0636c
57395.638052 -20.335  0.651   -27   17 c  0   1.07 207.63792  35.13065  3088.02  1152.40 4.40 3.66 -20.1 -0.446 19.67 21.62 02a57395o0674c
57395.646382  21.180  1.162    12   14 c  0   1.56 207.63792  35.13065  9909.61  9053.82 3.64 3.39 -60.2 -0.426 19.68 21.63 02a57395o0687c
57402.619442 -21.459  1.692   -10   16 c  0   1.07 207.63792  35.13065  8928.62 10286.90 3.80 3.69  -0.2 -0.415 19.81 21.91 02a57402o0637c
57402.637462 -20.411  0.521   -25   13 c  0   1.40 207.63792  35.13065  8639.77  9703.33 3.65 3.64  59.1 -0.434 19.85 21.98 02a57402o0661c
57402.653815 -19.903  0.336   -40   13 c  0   1.17 207.63792  35.13065  9839.39  9099.87 3.72 3.54 -75.8 -0.427 19.87 22.00 02a57402o0684c
57403.614964  20.663  0.875    20   17 c  0   1.22 207.63792  35.13065  2415.93   588.07 5.05 3.64 -19.3 -0.474 19.74 21.78 02a57403o0633c
57403.617027  23.059  6.667     2   14 c  0   1.12 207.63792  35.13065  8931.38 10284.09 3.79 3.74  22.5 -0.415 19.77 21.84 02a57403o0636c
57403.639746 -20.284  0.513   -28   14 c  0   1.05 207.63792  35.13065  8641.46  9700.97 3.86 3.77  72.2 -0.403 19.76 21.89 02a57403o0667c
57403.655428 -19.232  0.201   -74   15 c  0   1.17 207.63792  35.13065  2994.65  1197.92 4.62 3.61 -17.9 -0.472 19.79 21.87 02a57403o0687c
57403.658726 -21.610  1.783    -8   15 c  0   1.33 207.63792  35.13065  9840.52  9100.77 3.83 3.61 -89.8 -0.414 19.77 21.85 02a57403o0692c
57415.655113 -20.409  1.432   -25   36 o  0   1.11 207.63792  35.13065   947.64  1109.62 5.12 3.69 -31.7 -0.464 18.81 20.08 02a57415o0719o
57415.670062 -18.472  0.273  -148   41 o  0   1.44 207.63792  35.13065   634.05   528.93 5.32 3.61 -31.2 -0.466 18.61 19.64 02a57415o0740o
57415.682125  17.802  1.067   275  293 o  0   1.57 207.63792  35.13065  7228.74 10192.03 3.70 3.60  45.6 -0.432 17.18 16.89 02a57415o0756o
57420.634539 -21.897  3.077    -6   20 c  0   1.19 207.63792  35.13065  1400.77   903.15 5.01 3.68 -28.1 -0.457 19.52 21.36 02a57420o0623c
57420.651190 -20.302  0.673   -28   18 c  0   1.38 207.63792  35.13065  1085.03   317.07 5.38 3.74 -27.0 -0.440 19.50 21.34 02a57420o0648c
57427.630323 -19.015  1.333   -90  120 c  0   1.15 207.63792  35.13065  7625.38 10460.09 3.75 2.45 -47.4 -0.370 18.48 20.46 02a57427o0688c
57427.634461 -22.301  9.500    -4   41 c  0   1.38 207.63792  35.13065   757.65   211.48 3.71 2.74 -69.4 -0.428 18.38 20.43 02a57427o0694c
57427.651860 -20.196  0.755   -30   23 c  0   1.25 207.63792  35.13065  7373.94  9894.30 3.95 3.66  35.6 -0.434 19.36 21.54 02a57427o0720c
57427.654285 -20.130  0.544   -32   18 c  0   1.51 207.63792  35.13065  8519.48  9331.90 3.98 3.68  51.3 -0.417 19.33 21.52 02a57427o0724c
57427.667365 -21.638  3.050    -8   24 c  0   0.97 207.63792  35.13065  8495.07  9399.94 3.92 3.46   8.9 -0.429 19.17 20.99 02a57427o0742c
57432.608802 -19.902  0.430   -40   17 c  0   1.19 207.63792  35.13065  1173.87   813.95 5.08 3.66 -24.4 -0.469 19.74 21.84 02a57432o0659c
57432.611138  19.476  0.421    59   25 c  0   1.05 207.63792  35.13065  7746.05 10488.22 3.95 3.78  56.1 -0.414 19.75 21.82 02a57432o0662c
57432.634623 -20.055  0.508   -34   18 c  0   1.17 207.63792  35.13065   931.07   238.71 5.51 3.84 -23.3 -0.447 19.67 21.77 02a57432o0695c
57432.635232 -19.765  0.325   -45   15 c  0   1.15 207.63792  35.13065  7498.49  9901.44 4.04 3.80  70.8 -0.414 19.70 21.78 02a57432o0696c
57432.653286 -21.721  2.000    -7   15 c  0   1.19 207.63792  35.13065  8656.39  9371.23 4.11 3.75  80.6 -0.410 19.67 21.73 02a57432o0723c
57432.663213 -24.934 42.000    -0   16 c  0   1.46 207.63792  35.13065  8483.15  9392.57 4.06 3.73  77.0 -0.414 19.39 21.18 02a57432o0738c
57433.588671 -19.015  0.407   -90   37 c  0   0.88 207.63792  35.13065  3014.89   235.10 5.03 3.72   7.3 -0.397 19.25 21.49 02a57433o0629c
57442.561462 -19.313  1.015   -68   69 o  0   1.09 207.63792  35.13065  3115.57    56.00 5.11 3.08  -8.2 -0.494 18.43 19.29 02a57442o0571o
57442.561987 -19.395  0.632   -63   40 o  0   1.08 207.63792  35.13065  9697.88  9738.81 3.88 3.33  82.2 -0.469 18.44 19.30 02a57442o0572o
57442.583470 -19.904  1.365   -40   54 o  0   1.07 207.63792  35.13065   671.13   388.45 5.53 3.36 -24.7 -0.434 18.42 19.30 02a57442o0601o
