###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57362.638420  19.983  0.732    37   27 o  0   3.65 202.75529  34.15355  4025.68  2471.22 4.26 3.55 -17.0 -0.454 18.85 20.26 02a57362o0617o
57362.661061 -19.212  0.714   -75   54 o  0   1.45 202.75529  34.15355  3746.01  1896.54 4.44 3.54 -17.1 -0.486 18.11 18.88 02a57362o0643o
57363.646691 -20.695  1.476   -19   28 o  0   1.99 202.75529  34.15355  4033.92  2475.87 4.35 3.63 -19.2 -0.436 18.95 20.42 02a57363o0596o
57363.667410  17.538  0.445   351  156 o  0   0.91 202.75529  34.15355  3752.77  1899.84 4.47 3.52 -16.5 -0.499 17.36 17.36 02a57363o0622o
57364.599079 -20.064  0.800   -34   27 o  0   1.43 202.75529  34.15355  4580.64  3041.96 5.30 3.85  -4.8 -0.375 18.72 20.45 02a57364o0648o
57364.605819  20.273  0.929    28   26 o  0   2.76 202.75529  34.15355  4858.17  1296.36 4.52 3.58  -8.4 -0.483 18.95 20.48 02a57364o0659o
57384.618510 -22.377  8.750    -4   36 o  0   1.18 202.75529  34.15355  4026.75  2474.89 5.00 3.79  -5.3 -0.374 18.50 19.80 02a57384o0630o
57395.594390 -21.309  1.300   -11   14 c  0   1.41 202.75529  34.15355  4172.63  2447.47 3.98 3.63 -17.8 -0.400 19.68 21.68 02a57395o0606c
57395.603744 -20.721  0.714   -19   13 c  0   1.42 202.75529  34.15355  3871.91  1860.70 4.14 3.61 -16.7 -0.422 19.70 21.68 02a57395o0621c
57395.627600 -20.366  0.519   -26   14 c  0   1.48 202.75529  34.15355  4703.91  3034.31 3.79 3.61 -21.5 -0.397 19.69 21.64 02a57395o0658c
57395.643875  21.751  2.158     7   16 c  0   1.33 202.75529  34.15355  4952.97  1279.53 4.12 3.56  -8.3 -0.445 19.69 21.62 02a57395o0683c
57402.606294 -21.600  1.591    -8   13 c  0   1.74 202.75529  34.15355  4034.21  2485.93 4.08 3.58 -15.1 -0.409 19.75 21.82 02a57402o0618c
57402.631875   0.000 21.053    -0   14 c  0   1.68 202.75529  34.15355  3747.38  1911.48 4.23 3.58 -15.7 -0.418 19.82 21.93 02a57402o0655c
57402.646230 -20.787  0.788   -18   14 c  0   1.16 202.75529  34.15355  4617.55  3084.00 3.79 3.56 -15.6 -0.396 19.84 21.95 02a57402o0672c
57402.652464  20.748  0.812    18   15 c  0   1.22 202.75529  34.15355  4891.45  1337.27 4.13 3.51  -7.4 -0.449 19.84 21.94 02a57402o0682c
57403.611497  20.891  0.929    16   15 c  0   1.34 202.75529  34.15355  4037.96  2491.13 4.15 3.61 -15.7 -0.411 19.73 21.77 02a57403o0628c
57403.629280 -20.592  0.706   -21   15 c  0   1.38 202.75529  34.15355  3748.47  1904.63 4.42 3.65 -15.1 -0.417 19.77 21.86 02a57403o0654c
57403.648671 -21.434  1.222   -10   12 c  0   2.09 202.75529  34.15355  4618.69  3085.11 3.91 3.60 -14.5 -0.427 19.79 21.87 02a57403o0677c
57403.657353 -20.107  0.439   -33   14 c  0   1.83 202.75529  34.15355  4892.39  1340.19 4.25 3.55  -7.5 -0.459 19.79 21.87 02a57403o0690c
57415.656337  23.190 15.400     2   30 o  0   1.85 202.75529  34.15355  5876.02  8890.51 3.71 3.58  73.6 -0.444 18.76 20.01 02a57415o0721o
57415.661383  23.082 14.667     2   31 o  0   2.04 202.75529  34.15355  5584.65  8305.79 3.57 3.38  80.0 -0.453 18.78 19.97 02a57415o0727o
57420.632276 -19.510  0.269   -57   15 c  0   1.12 202.75529  34.15355  6315.51  8673.55 3.71 3.54  76.9 -0.421 19.52 21.35 02a57420o0620c
57420.651800 -20.664  0.797   -20   16 c  0   1.12 202.75529  34.15355  6020.59  8088.18 3.74 3.53  83.7 -0.413 19.50 21.32 02a57420o0649c
57420.662673  21.037  1.047    14   15 c  0   1.43 202.75529  34.15355  7156.26  7519.62 3.71 3.43  86.7 -0.416 19.44 21.21 02a57420o0665c
57420.669358 -19.744  0.410   -46   19 c  0   1.21 202.75529  34.15355  6993.10  7655.27 3.69 3.41  89.8 -0.426 19.12 20.56 02a57420o0674c
57427.633859  22.368  4.500     4   18 c  0   1.43 202.75529  34.15355  5742.85  8009.39 3.83 3.45  46.7 -0.401 19.34 21.51 02a57427o0693c
57427.649411 -21.106  1.364   -13   18 c  0   1.39 202.75529  34.15355  6919.16  7444.70 3.79 3.55  18.8 -0.399 19.59 21.76 02a57427o0716c
57427.663232 -21.576  2.167    -8   18 c  0   0.92 202.75529  34.15355  6896.24  7511.02 3.67 3.61 -56.9 -0.406 19.50 21.50 02a57427o0736c
57432.610019  20.579  0.738    21   16 c  0   1.10 202.75529  34.15355  6126.18  8598.18 3.82 3.58  88.7 -0.422 19.73 21.81 02a57432o0661c
57432.614021 -21.696  1.609    -8   12 c  0   1.43 202.75529  34.15355  5861.91  8015.02 3.72 3.49  84.3 -0.428 19.75 21.81 02a57432o0666c
57432.641717  21.011  0.902    14   13 c  0   1.34 202.75529  34.15355  7044.79  7455.22 3.89 3.53  84.4 -0.418 19.67 21.75 02a57432o0706c
57432.658384 -21.628  1.864    -8   15 c  0   1.11 202.75529  34.15355  6884.81  7502.45 3.94 3.66 -89.3 -0.412 19.56 21.57 02a57432o0731c
57433.587911 -19.472  0.280   -59   16 c  0   1.10 202.75529  34.15355  5853.34  8333.89 4.95 4.11  -3.7 -0.383 19.53 21.85 02a57433o0628c
57442.559361 -21.012  3.030   -14   43 o  0   1.57 202.75529  34.15355  4745.42  1952.67 4.16 3.24  -7.1 -0.518 18.40 19.23 02a57442o0568o
57442.583985  20.470  1.938    24   46 o  0   2.17 202.75529  34.15355  5640.27  8169.88 3.57 3.26 -89.6 -0.484 18.38 19.21 02a57442o0602o
57442.589814  20.034  1.111    35   39 o  0   1.17 202.75529  34.15355  6776.31  7591.66 3.65 3.14  85.6 -0.488 18.38 19.23 02a57442o0610o
57442.620895  19.808  0.928    43   40 o  0   1.42 202.75529  34.15355  6943.65  7640.18 3.62 3.03  87.9 -0.505 18.41 19.27 02a57442o0656o
57443.551355  23.586 28.667     1   38 o  0   2.73 202.75529  34.15355  4698.61  1712.22 4.32 3.28  -7.1 -0.518 18.59 19.57 02a57443o0609o
57443.579150  19.077  0.419    85   36 o  0   2.71 202.75529  34.15355  4990.91  2304.26 4.10 3.34  -8.7 -0.498 18.59 19.57 02a57443o0649o
57443.583127  19.284  0.549    70   39 o  0   1.45 202.75529  34.15355  6829.27  7828.35 3.68 3.18  89.6 -0.489 18.50 19.49 02a57443o0655o
57443.612452  19.663  0.613    50   30 o  0   1.56 202.75529  34.15355  6950.06  7639.08 3.74 3.15  87.2 -0.484 18.51 19.52 02a57443o0699o
57450.535639 -21.829  2.556    -7   17 c  0   1.08 202.75529  34.15355  4438.77  1962.94 4.16 3.53  -9.7 -0.439 19.59 21.43 02a57450o0620c
57450.559896  20.328  0.570    27   15 c  0   1.45 202.75529  34.15355  4711.64  2551.05 3.91 3.50 -10.7 -0.428 19.54 21.32 02a57450o0657c
57451.534582 -20.218  0.465   -30   14 c  0   1.55 202.75529  34.15355  4646.07  1846.45 4.53 3.54  -7.0 -0.452 19.72 21.81 02a57451o0618c
57451.559490 -21.256  1.147   -11   13 c  0   1.64 202.75529  34.15355  5728.74  8261.29 3.76 3.54 -86.9 -0.425 19.65 21.63 02a57451o0657c
57451.579475  20.495  0.592    23   14 c  0   1.51 202.75529  34.15355  6861.93  7690.42 3.77 3.36  84.8 -0.431 19.63 21.54 02a57451o0691c
57451.589051  21.007  1.067    14   15 c  0   0.93 202.75529  34.15355  6938.35  7634.77 3.75 3.33  87.1 -0.436 19.61 21.50 02a57451o0707c
57455.536461  22.726  7.000     3   21 c  0   1.34 202.75529  34.15355  4648.57  2006.95 4.25 3.53  -8.9 -0.443 19.23 21.20 02a57455o0597c
57455.539521  21.166  1.739    12   22 c  0   1.15 202.75529  34.15355  4937.27  2596.73 4.03 3.51  -9.3 -0.429 19.24 21.20 02a57455o0601c
57455.565495 -20.027  0.978   -35   35 c  0   1.05 202.75529  34.15355  6876.77  7536.63 3.82 3.45  84.5 -0.418 18.64 20.53 02a57455o0640c
57455.592299  23.550 12.667     1   18 c  0   1.59 202.75529  34.15355  6937.72  7637.77 3.84 3.47  86.7 -0.421 19.31 21.32 02a57455o0680c
57463.507415  24.994 50.000     0   18 o  0   3.93 202.75529  34.15355  6328.75  8999.64 3.60 3.34  83.9 -0.456 19.36 21.15 02a57463o0454o
57463.530161  19.763  0.440    45   20 o  0   3.30 202.75529  34.15355  6029.89  8417.90 3.63 3.30  88.3 -0.465 19.35 21.14 02a57463o0493o
57463.534119  17.107  0.032   521   17 o  0  30.59 202.75529  34.15355  7182.76  7841.99 3.67 3.15  86.2 -0.469 19.39 21.19 02a57463o0499o
57463.559140 -20.541  0.758   -22   17 o  0   3.06 202.75529  34.15355  6932.86  7634.27 3.69 3.23  88.3 -0.466 19.35 21.15 02a57463o0543o
57467.480040  20.638  1.818    20   37 o  0   1.99 202.75529  34.15355  4470.28  1723.59 4.41 3.29  -7.9 -0.512 18.64 19.76 02a57467o0509o
57467.501150 -19.550  0.592   -55   33 o  0   2.94 202.75529  34.15355  4761.16  2309.23 4.18 3.32  -5.8 -0.518 18.63 19.74 02a57467o0548o
57467.521917  20.939  1.881    15   29 o  0   2.63 202.75529  34.15355  7029.94  7801.82 3.77 3.20  88.2 -0.494 18.64 19.84 02a57467o0587o
57467.542396  21.140  2.306    13   29 o  0   1.98 202.75529  34.15355  6926.84  7625.30 3.74 3.12  86.1 -0.492 18.66 19.85 02a57467o0623o
57471.467485 -19.433  0.831   -61   51 o  0   1.67 202.75529  34.15355  4818.83  2041.94 4.21 3.35  -7.5 -0.538 18.15 19.00 02a57471o0301o
