###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57300.473976 -19.360  0.767   -66   50 o  0   1.47  32.14335  29.23571  6255.23 10327.44 4.00 3.47 -73.3 -0.495 18.16 19.59 02a57300o0799o
57302.441561 -19.083  0.284   -84   24 o  0   1.74  32.14335  29.23571  6269.24 10318.14 4.30 3.75 -55.6 -0.453 19.15 20.89 02a57302o0393o
57302.470584 -20.030  0.711   -35   25 o  0   1.80  32.14335  29.23571  6273.47 10323.65 4.29 3.67 -61.1 -0.473 19.18 20.93 02a57302o0437o
57314.429269 -19.440  0.349   -61   21 c  0   1.19  32.14335  29.23571  7463.40  2044.19 4.79 3.98   8.8 -0.439 19.50 21.53 02a57314o0338c
57314.458612 -20.143  0.526   -32   17 c  0   1.79  32.14335  29.23571  3199.89  8595.05 4.27 3.70 -63.9 -0.445 19.44 21.43 02a57314o0378c
57314.476582 -17.564  0.116  -342   40 c  0   1.89  32.14335  29.23571  4318.09   304.71 5.44 3.83  -8.5 -0.489 18.75 20.67 02a57314o0404c
57314.477855 -18.737  0.195  -116   23 c  0   1.19  32.14335  29.23571  1729.49 10094.39 4.77 3.91 -54.6 -0.398 19.35 21.34 02a57314o0406c
57314.492508 -19.875  0.550   -41   22 c  0   1.44  32.14335  29.23571  1722.75 10092.03 4.65 3.86 -55.0 -0.399 19.33 21.29 02a57314o0428c
57314.506473 -17.272  0.053  -448   24 c  0   2.56  32.14335  29.23571  4317.19   307.93 5.45 3.73  -7.9 -0.471 19.37 21.33 02a57314o0449c
57316.439671 -19.281  0.265   -70   19 c  0   1.70  32.14335  29.23571  6349.12 10341.62 4.46 4.04 -67.4 -0.411 19.45 21.46 02a57316o0352c
57316.461566 -21.235  1.900   -12   22 c  0   1.51  32.14335  29.23571  4306.53   307.43 5.73 3.96  -8.1 -0.466 19.43 21.47 02a57316o0385c
57319.326917 -18.713  0.482  -119   57 o  0   0.84  32.14335  29.23571  7406.38  2025.87 5.22 4.08   3.9 -0.521 18.32 19.45 02a57319o0224o
57319.353053 -18.698  0.429  -120   52 o  0   0.91  32.14335  29.23571  7408.02  2031.06 5.17 4.00   4.4 -0.515 18.39 19.55 02a57319o0262o
57319.376127  15.065  0.020  3421   67 o  0  10.69  32.14335  29.23571  8869.25   549.49 6.43 4.05  18.6 -0.401 18.47 19.64 02a57319o0294o
57319.381008 -18.155  0.192  -199   38 o  0   1.50  32.14335  29.23571  6282.32 10337.45 4.46 3.63 -67.7 -0.502 18.49 19.69 02a57319o0301o
57319.401509  15.038  0.016  3505   56 o  0  14.06  32.14335  29.23571  8868.33   557.21 6.31 4.23  20.5 -0.427 18.49 19.70 02a57319o0329o
57319.414226 -17.915  0.149  -248   37 o  0   1.25  32.14335  29.23571  6282.03 10343.95 4.52 3.79 -70.3 -0.489 18.53 19.75 02a57319o0347o
57324.372142 -18.572  0.411  -135   56 o  0   1.11  32.14335  29.23571  7434.94  2049.82 4.90 4.02   1.8 -0.496 18.17 19.07 02a57324o0308o
57324.402791 -18.546  0.411  -139   57 o  0   1.04  32.14335  29.23571  7437.73  2057.41 5.06 4.02   5.9 -0.498 18.16 19.03 02a57324o0354o
57324.423523 -18.621  0.361  -129   47 o  0   1.39  32.14335  29.23571  6316.22 10356.34 4.29 3.71 -66.8 -0.491 18.20 19.05 02a57324o0385o
57324.424786  13.882  0.008 10163   86 o  0  90.65  32.14335  29.23571  8904.81   569.93 6.27 4.12  14.6 -0.415 18.19 19.04 02a57324o0386o
57324.433909 -18.744  0.446  -115   51 o  0   1.38  32.14335  29.23571  1829.16 10102.85 5.44 4.01 -64.7 -0.433 18.14 19.11 02a57324o0400o
57324.450554 -17.126  0.166  -513   85 o  0   1.32  32.14335  29.23571  4416.45   321.62 6.13 3.85  -8.4 -0.502 18.18 19.11 02a57324o0425o
57327.434703 -21.127  3.143   -13   40 o  0   1.06  32.14335  29.23571  3313.64  8623.40 4.56 3.10 -73.0 -0.454 18.72 20.15 02a57327o0373o
57327.454411 -19.714  0.843   -47   40 o  0   1.19  32.14335  29.23571  3307.37  8626.97 4.58 3.13 -70.2 -0.445 18.71 20.11 02a57327o0402o
57327.481426 -18.097  0.195  -210   41 o  0   0.99  32.14335  29.23571  1841.98 10119.17 5.32 3.67 -62.7 -0.460 18.67 20.09 02a57327o0441o
57327.495564  15.907  0.038  1574   59 o  0   5.92  32.14335  29.23571  4429.19   330.25 6.60 4.14  -7.3 -0.436 18.65 20.06 02a57327o0462o
57327.521525 -16.573  0.065  -852   56 o  0   2.17  32.14335  29.23571  4427.75   334.22 6.72 4.29  -7.0 -0.470 18.55 19.91 02a57327o0497o
57327.522782 -18.845  0.425  -105   45 o  0   0.92  32.14335  29.23571  1838.26 10120.19 5.41 3.61 -63.2 -0.451 18.55 19.89 02a57327o0499o
57362.328833 -19.004  0.220   -91   20 o  0   1.83  32.14335  29.23571  3736.72  8122.65 4.02 3.64 -72.7 -0.439 19.20 20.98 02a57362o0208o
57362.352630 -20.499  0.926   -23   21 o  0   1.52  32.14335  29.23571  4014.58  8708.07 4.06 3.65 -73.4 -0.433 19.21 21.03 02a57362o0242o
57362.363068 -19.926  0.533   -39   21 o  0   1.69  32.14335  29.23571  3171.85  7550.93 4.16 3.64 -67.1 -0.431 19.20 21.02 02a57362o0256o
57362.393008 -19.246  0.329   -73   24 o  0   1.24  32.14335  29.23571  2866.88  9317.95 4.06 3.66 -71.6 -0.430 19.18 20.91 02a57362o0297o
57363.333705  21.399  2.214    10   22 o  0   1.29  32.14335  29.23571  3738.61  8122.20 3.67 3.38 -81.4 -0.448 19.19 20.79 02a57363o0183o
57363.358931 -20.221  0.707   -30   21 o  0   1.49  32.14335  29.23571  4016.19  8710.79 3.66 3.44 -83.1 -0.428 19.22 20.86 02a57363o0220o
57363.366451  20.662  1.148    20   23 o  0   1.40  32.14335  29.23571  3175.18  7552.77 3.75 3.39 -73.4 -0.438 19.22 20.87 02a57363o0231o
57363.381832 -20.409  0.788   -25   20 o  0   1.60  32.14335  29.23571  2868.30  9315.14 3.72 3.52 -78.0 -0.427 19.28 20.96 02a57363o0253o
57384.285914 -21.312  2.357   -11   26 o  0   1.68  32.14335  29.23571  3580.60  8338.37 3.79 3.69 -74.4 -0.411 18.90 20.32 02a57384o0133o
57384.302275  21.010  1.895    14   27 o  0   2.09  32.14335  29.23571  3860.78  8923.48 3.69 3.60  80.8 -0.403 18.84 20.17 02a57384o0158o
57384.318478  19.836  0.643    42   27 o  0   1.43  32.14335  29.23571  3017.22  7764.29 3.78 3.53 -80.7 -0.426 18.81 20.11 02a57384o0183o
57384.334787  20.455  1.333    24   32 o  0   1.63  32.14335  29.23571  2713.56  9523.48 3.80 3.69 -86.8 -0.416 18.75 20.04 02a57384o0208o
57385.284593 -19.576  0.508   -54   27 o  0   1.08  32.14335  29.23571  3582.30  8342.26 4.12 3.60 -76.0 -0.425 19.09 20.73 02a57385o0174o
