###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57302.457176 -20.213  1.000   -30   30 o  0   0.90  66.70407  29.95229  3236.59 10219.67 4.37 3.62 -47.6 -0.451 19.03 20.67 02a57302o0417o
57302.482766 -19.956  0.625   -38   24 o  0   1.09  66.70407  29.95229  3231.75 10220.30 4.40 3.64 -51.8 -0.441 19.06 20.71 02a57302o0456o
57302.495532 -21.875  3.250    -6   21 o  0   1.23  66.70407  29.95229  4742.84  8768.77 3.95 3.37 -63.6 -0.484 19.06 20.66 02a57302o0476o
57302.516467  20.856  1.429    16   24 o  0   0.83  66.70407  29.95229  4744.97  8771.69 3.92 3.32 -64.3 -0.482 19.05 20.64 02a57302o0509o
57314.484461 -21.580  4.143    -8   35 c  0   0.98  66.70407  29.95229  8828.83   536.88 5.77 3.94  19.0 -0.405 19.35 21.30 02a57314o0416c
57314.487677 -20.831  1.278   -17   22 c  0   0.89  66.70407  29.95229  3304.16 10244.66 4.51 3.84 -54.3 -0.408 19.36 21.28 02a57314o0421c
57314.512043  19.065  0.366    86   32 c  0   1.16  66.70407  29.95229  8824.94   545.35 5.74 3.95  20.0 -0.408 19.41 21.36 02a57314o0457c
57314.526021  21.346  1.769    10   19 c  0   0.86  66.70407  29.95229  3297.05 10251.63 4.54 3.80 -56.3 -0.409 19.50 21.47 02a57314o0477c
57314.549866 -20.453  0.800   -24   19 c  0   1.06  66.70407  29.95229  5853.62  1841.90 4.65 3.76  -2.6 -0.475 19.43 21.36 02a57314o0510c
57314.575261  20.378  0.704    26   18 c  0   0.90  66.70407  29.95229  5844.94  1844.08 4.70 3.85  -5.3 -0.465 19.44 21.38 02a57314o0548c
57316.460228 -20.931  1.278   -15   20 c  0   0.82  66.70407  29.95229  3312.77 10235.76 4.57 4.00 -50.3 -0.395 19.37 21.32 02a57316o0383c
57316.477779  21.268  1.462    11   16 c  0   1.48  66.70407  29.95229  3310.71 10240.37 4.65 4.02 -54.9 -0.393 19.36 21.30 02a57316o0408c
57316.498718  20.966  1.263    15   19 c  0   0.89  66.70407  29.95229  4827.87  8789.10 4.22 3.71 -66.4 -0.443 19.37 21.28 02a57316o0439c
57316.530695 -21.193  1.437   -12   17 c  0   1.13  66.70407  29.95229  4828.18  8798.38 4.12 3.62 -68.1 -0.450 19.37 21.20 02a57316o0487c
57319.426726 -19.383  0.557   -64   36 o  0   1.19  66.70407  29.95229  3248.26 10235.36 4.69 3.67 -57.1 -0.470 18.48 19.70 02a57319o0365o
57319.428430 -20.473  2.438   -24   57 o  0   0.97  66.70407  29.95229  8771.07   529.70 6.14 4.19  17.7 -0.455 18.48 19.85 02a57319o0367o
57319.453568  19.752  0.841    46   38 o  0   0.97  66.70407  29.95229  3247.94 10242.69 4.68 3.67 -56.3 -0.459 18.55 19.79 02a57319o0402o
57319.454204 -19.875  1.250   -41   51 o  0   1.41  66.70407  29.95229  8771.92   537.12 6.23 4.08  19.4 -0.428 18.54 19.96 02a57319o0403o
57319.507455 -21.623  4.500    -8   37 o  0   1.13  66.70407  29.95229  4756.37  8799.25 4.09 3.23 -72.7 -0.504 18.65 19.92 02a57319o0478o
57324.431322  18.482  0.507   147   74 o  0   0.90  66.70407  29.95229  3278.80 10251.28 4.78 3.58 -60.8 -0.477 17.89 18.52 02a57324o0396o
57324.432608 -16.939  0.397  -609  242 o  0   1.23  66.70407  29.95229  8799.63   544.01 5.97 4.36   8.7 -0.542 17.42 17.92 02a57324o0398o
57324.455689 -18.430  1.920  -154  296 o  0   0.79  66.70407  29.95229  8802.11   552.29 6.32 4.54  14.3 -0.516 17.39 17.94 02a57324o0433o
57324.468883  19.128  0.853    81   69 o  0   1.04  66.70407  29.95229  3277.33 10261.09 4.81 3.48 -62.8 -0.514 17.87 18.54 02a57324o0453o
57324.474181 -20.818  5.200   -17   89 o  0   1.22  66.70407  29.95229  4794.46  8803.85 4.15 2.93 -77.1 -0.482 17.88 18.51 02a57324o0461o
57324.504604 -19.780  2.208   -44   98 o  0   0.96  66.70407  29.95229  4800.69  8815.50 4.30 3.40 -74.1 -0.515 17.82 18.48 02a57324o0506o
57327.504255  20.157  1.308    31   41 o  0   0.89  66.70407  29.95229  1960.53 10119.33 5.32 3.75 -64.7 -0.461 18.57 19.88 02a57327o0474o
57327.519221  19.228  0.653    74   48 o  0   1.07  66.70407  29.95229  7481.61   408.41 6.17 4.00   7.4 -0.457 18.57 19.84 02a57327o0494o
57327.543370  21.783  5.000     7   35 o  0   1.19  66.70407  29.95229  1946.15 10123.14 5.35 3.49 -65.5 -0.459 18.58 19.81 02a57327o0527o
57327.553716  20.849  2.818    17   47 o  0   1.24  66.70407  29.95229  7468.85   413.42 6.02 3.99   7.5 -0.456 18.55 19.78 02a57327o0541o
57327.586052  19.521  0.745    56   42 o  0   1.01  66.70407  29.95229  5953.99  1871.81 5.13 3.59  -3.5 -0.514 18.53 19.71 02a57327o0585o
57327.611474  21.389  4.250    10   43 o  0   1.01  66.70407  29.95229  5935.24  1875.88 5.20 3.75  -3.4 -0.512 18.48 19.65 02a57327o0617o
57362.399772 -21.755  3.571    -7   26 o  0   1.23  66.70407  29.95229  8593.93   892.59 4.60 3.70  13.3 -0.479 19.11 20.78 02a57362o0305o
57362.417749 -19.552  0.547   -55   30 o  0   1.37  66.70407  29.95229  8318.77   300.04 4.81 3.64   9.2 -0.460 19.09 20.74 02a57362o0328o
57362.418941  21.335  2.417    11   26 o  0   0.86  66.70407  29.95229  2764.46  9991.39 4.08 3.79 -70.0 -0.420 19.09 20.75 02a57362o0329o
57362.444749 -20.289  0.750   -28   21 o  0   1.44  66.70407  29.95229  1810.25  9038.09 4.18 3.63 -68.8 -0.447 19.12 20.75 02a57362o0361o
57362.474186  21.694  3.000     8   23 o  0   1.18  66.70407  29.95229  7010.34  1096.06 4.39 3.54   3.1 -0.501 19.12 20.71 02a57362o0400o
57363.404603  20.099  0.744    33   25 o  0   0.90  66.70407  29.95229  8600.76   888.88 4.08 3.42  12.5 -0.485 19.27 20.98 02a57363o0284o
57363.416554  21.273  1.929    11   22 o  0   1.11  66.70407  29.95229  2673.59 10193.12 3.79 3.70 -74.1 -0.411 19.25 20.91 02a57363o0301o
57363.421992  21.524  2.417     9   22 o  0   0.91  66.70407  29.95229  2767.32  9990.38 3.67 3.54 -62.9 -0.425 19.29 20.98 02a57363o0307o
57363.447179  21.304  2.143    11   23 o  0   0.92  66.70407  29.95229  1810.63  9041.97 3.88 3.52 -69.3 -0.437 19.27 20.91 02a57363o0339o
57363.475641 -22.114  3.833    -5   20 o  0   1.09  66.70407  29.95229  7011.20  1098.92 4.16 3.46   3.3 -0.497 19.29 20.93 02a57363o0376o
57364.393182 -21.402  2.143   -10   21 o  0   1.03  66.70407  29.95229  2752.14  9992.28 3.53 3.48 -27.5 -0.428 19.22 20.79 02a57364o0342o
57364.434978 -21.585  2.364    -8   20 o  0   1.13  66.70407  29.95229  7016.09  1090.07 3.76 3.36   6.8 -0.516 19.25 20.81 02a57364o0398o
57365.428186  20.353  1.103    26   29 o  0   0.96  66.70407  29.95229  8222.84   514.23 4.29 3.50  11.5 -0.511 19.21 20.83 02a57365o0404o
57365.452354 -20.597  1.083   -21   23 o  0   1.16  66.70407  29.95229  7007.31  1091.82 4.13 3.47   1.2 -0.517 19.19 20.77 02a57365o0437o
57384.346425  19.833  0.769    42   33 o  0   1.15  66.70407  29.95229  2238.45  9826.63 3.81 3.76  66.9 -0.419 18.73 19.93 02a57384o0225o
57384.351958 -20.133  1.083   -32   35 o  0   1.15  66.70407  29.95229  7779.86   129.02 4.25 3.54   4.1 -0.501 18.70 19.89 02a57384o0233o
57384.367200  19.901  0.824    40   33 o  0   1.07  66.70407  29.95229  2512.74 10409.98 3.87 3.66  12.1 -0.397 18.69 19.89 02a57384o0256o
57384.370559 -21.787  5.333    -7   37 o  0   1.03  66.70407  29.95229  8070.65   721.30 3.77 3.48   9.8 -0.513 18.72 19.85 02a57384o0261o
57384.373671 -19.599  0.606   -52   32 o  0   1.13  66.70407  29.95229  1659.91  9253.09 3.83 3.67 -65.4 -0.428 18.72 19.88 02a57384o0266o
57384.403558 -19.637  0.600   -51   30 o  0   1.12  66.70407  29.95229  6859.31  1304.44 3.89 3.63  -0.7 -0.487 18.64 19.78 02a57384o0309o
57385.354513  20.043  1.026    35   36 o  0   0.99  66.70407  29.95229  8527.18   900.50 4.31 3.47  11.6 -0.532 18.85 20.11 02a57385o0277o
57385.363243  23.991 42.000     1   39 o  0   0.82  66.70407  29.95229  8071.57   726.53 4.30 3.50   9.8 -0.537 18.82 20.05 02a57385o0291o
57385.367470 -19.838  0.731   -42   31 o  0   0.98  66.70407  29.95229  2511.43 10415.95 3.85 3.69 -60.3 -0.418 18.80 20.06 02a57385o0296o
57385.392514 -20.606  1.577   -21   33 o  0   0.97  66.70407  29.95229  1653.24  9256.78 3.92 3.47 -64.8 -0.452 18.87 20.10 02a57385o0310o
57385.421093  20.758  1.762    18   32 o  0   0.92  66.70407  29.95229  6849.40  1301.33 3.94 3.42   2.7 -0.539 18.86 20.11 02a57385o0351o
57395.346442  22.546  4.667     4   16 c  0   0.97  66.70407  29.95229  2106.39  9686.87 4.00 3.85 -74.6 -0.406 19.60 21.53 02a57395o0248c
57395.360381  20.198  0.542    30   16 c  0   1.07  66.70407  29.95229  2413.84 10278.93 3.90 3.80  29.9 -0.386 19.60 21.51 02a57395o0269c
57395.369463 -20.089  0.831   -33   28 c  0   1.30  66.70407  29.95229  7958.02   575.19 4.01 3.63   9.7 -0.471 19.60 21.51 02a57395o0283c
