###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57446.646280 -20.145  4.296   -32  136 o  0   0.96 234.96735 -44.59579  4209.32  1630.22 4.44 3.13 -74.1 -0.447 17.53 18.42 02a57446o0391o
57446.665865 -18.862  1.663  -104  172 o  0   1.25 234.96735 -44.59579  3936.42  1038.09 5.13 3.88  -8.1 -0.431 17.16 17.86 02a57446o0426o
57447.639029 -19.234  2.328   -74  171 o  0   0.85 234.96735 -44.59579  4369.48  1766.34 4.45 3.16 -83.2 -0.412 17.40 18.31 02a57447o0825o
57447.660360 -18.089  0.629  -211  133 o  0   0.92 234.96735 -44.59579  4100.66  1176.58 5.05 4.12 -14.7 -0.413 17.56 18.39 02a57447o0860o
57453.624082 -19.268  0.343   -71   24 c  0   1.05 234.96735 -44.59579  4228.53  1565.41 4.63 3.71  -9.6 -0.486 19.29 21.08 02a57453o0778c
57453.644199 -19.392  0.520   -64   33 c  0   1.11 234.96735 -44.59579  3941.85   981.23 4.10 3.89 -37.4 -0.477 18.94 20.73 02a57453o0813c
57453.652969  23.424 18.000     2   28 c  0   1.14 234.96735 -44.59579   789.19  9987.91 4.30 3.91 -51.9 -0.439 18.86 20.32 02a57453o0828c
57453.665264  17.690  0.859   305  262 c  0   1.15 234.96735 -44.59579  5081.83   401.34 4.84 3.67  -5.9 -0.521 17.36 17.30 02a57453o0848c
57457.612633 -19.484  0.613   -58   36 c  0   1.08 234.96735 -44.59579  4282.24  1510.74 4.17 4.04 -84.4 -0.469 18.76 20.69 02a57457o0773c
57457.634845 -19.323  0.527   -68   36 c  0   1.18 234.96735 -44.59579  4010.06   922.34 4.35 4.08 -35.2 -0.462 18.86 20.71 02a57457o0810c
57457.644721 -19.946  1.098   -38   42 c  0   1.22 234.96735 -44.59579   856.02  9935.16 4.42 3.45 -58.3 -0.488 18.60 20.38 02a57457o0827c
57457.655890 -18.762  0.603  -114   68 c  0   1.43 234.96735 -44.59579  5135.79   346.45 4.63 4.23 -14.1 -0.450 18.27 19.89 02a57457o0847c
57461.600026 -17.670  0.736  -310  228 c  0   1.40 234.96735 -44.59579  6362.83  9081.72 4.31 3.88  86.2 -0.408 17.09 18.76 02a57461o0748c
57461.623582   0.000  0.000     0    0 c  0  -0.00 234.96735 -44.59579   781.52 10025.45 4.00 3.77 -59.9 -0.424 14.97 16.88 02a57461o0789c
57461.626871  18.179 11.000   194 2137 c  0   1.06 234.96735 -44.59579  3958.57  1016.35 5.02 3.88  -9.1 -0.500 15.20 17.05 02a57461o0794c
