###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57316.634982 -18.403  0.198  -158   31 c  0   1.09 166.06668  50.03063  6558.67   497.73 5.82 4.24   4.4 -0.460 19.00 20.74 02a57316o0637c
57364.520433 -21.369  2.545   -10   26 o  0   0.93 166.06668  50.03063  6282.68   842.22 4.35 3.38  -0.4 -0.502 19.14 20.71 02a57364o0530o
57364.543736  20.845  1.765    17   29 o  0   0.83 166.06668  50.03063  6010.56   267.88 4.52 3.36  -2.0 -0.496 19.17 20.74 02a57364o0568o
57364.560908 -20.201  0.714   -30   22 o  0   1.35 166.06668  50.03063  6850.96  1439.28 4.13 3.46   0.8 -0.487 19.15 20.70 02a57364o0596o
57365.600959 -22.396  7.500    -4   30 o  0   0.86 166.06668  50.03063  6334.88   871.05 4.52 3.66  -2.4 -0.485 19.06 20.61 02a57365o0635o
57365.629052  20.357  0.844    26   22 o  0   1.09 166.06668  50.03063  2788.07  9983.71 3.84 3.70 -64.7 -0.408 19.10 20.69 02a57365o0672o
57365.631511 -20.989  2.143   -15   31 o  0   1.77 166.06668  50.03063  6058.30   291.90 4.67 3.55  -1.7 -0.503 19.15 20.72 02a57365o0675o
57365.649533  21.132  2.000    13   26 o  0   0.98 166.06668  50.03063  6915.65  1454.91 4.32 3.67   2.2 -0.461 19.11 20.72 02a57365o0702o
57365.664523  18.906  0.508    99   50 o  0   1.65 166.06668  50.03063  4061.98  9423.08 3.69 3.55 -84.6 -0.546 18.24 19.01 02a57365o0725o
57386.508265  20.958  2.176    15   33 o  0   1.33 166.06668  50.03063  6290.24   840.38 4.26 3.19   0.7 -0.516 18.75 19.86 02a57386o0512o
57386.530029  21.102  2.923    13   38 o  0   1.17 166.06668  50.03063  6005.70   263.40 4.60 3.40  -2.5 -0.509 18.75 19.92 02a57386o0544o
57386.531891  22.095  5.857     5   31 o  0   1.07 166.06668  50.03063  2741.61  9957.31 3.70 3.48 -63.6 -0.431 18.78 19.96 02a57386o0547o
57386.542984  20.456  1.321    24   32 o  0   1.46 166.06668  50.03063  6837.47  1432.34 4.15 3.39   2.2 -0.517 18.78 19.94 02a57386o0565o
57386.552881  19.346  0.421    66   28 o  0   1.19 166.06668  50.03063  3979.67  9400.01 3.56 3.34 -72.9 -0.450 18.83 20.04 02a57386o0581o
57387.511675  21.986  4.278     6   25 o  0 157.44 166.06668  50.03063  6293.63   842.53 4.01 3.34  -3.6 -0.521 19.00 20.07 02a57387o0517o
57387.523989 -20.978  1.750   -15   26 o  0   1.11 166.06668  50.03063  2744.03  9954.44 3.51 3.47 -54.9 -0.426 19.02 20.08 02a57387o0537o
57387.527680  19.833  0.713    42   30 o  0   0.93 166.06668  50.03063  6008.41   261.91 4.19 3.31  -5.0 -0.521 19.02 20.09 02a57387o0543o
57387.537553 -20.059  0.791   -34   27 o  0   0.77 166.06668  50.03063  6839.26  1429.73 3.86 3.38   2.7 -0.501 19.03 20.09 02a57387o0559o
57387.549872   0.000 20.328     0   27 o  0   0.80 166.06668  50.03063  3983.78  9398.13 3.37 3.33 -85.1 -0.439 19.05 20.14 02a57387o0579o
57396.536834 -18.374  0.078  -162   13 c  0   1.28 166.06668  50.03063  2782.82  9974.19 3.86 3.81 -75.4 -0.392 19.71 21.82 02a57396o0524c
57396.549373 -18.420  0.108  -156   17 c  0   0.96 166.06668  50.03063  6844.11  1431.96 4.32 3.73   2.0 -0.444 19.67 21.78 02a57396o0544c
57396.557948 -18.340  0.091  -167   15 c  0   1.01 166.06668  50.03063  3982.76  9405.68 3.77 3.69  81.4 -0.418 19.67 21.72 02a57396o0558c
57409.528625  18.943  0.557    96   54 o  0   0.88 166.06668  50.03063  6854.55   277.62 4.61 3.62   1.2 -0.540 18.48 19.65 02a57409o0544o
