uuid,distance_mpc
1034042950062524800,75.98 
1125137181123424300,100.25 
1130341200113555500,86.97 
1130636101275225300,90.69 
1061626520212232700,39.78 
1015110660032924800,73.44 
1040503561251541300,104.25 
1151759741133134800,108.82 
1011123301130936400,82.72 
1015720431403608800,43.16 
1090639571192017300,47.43 
1033419641393532000,78.64 
1092855141491415400,39.17 
1115255681365908700,13.32 
1142711440021610700,103.75 
1115458701061947200,101.82 
1125348260394149600,43.11 
1122558591042828200,80.22 
1140901350303327800,102.18 
1142857561111130600,110.91 
1052232370112913700,34.96 
1061803221782201000,12.79 
1192719511653354400,73.76 
1140339260335842400,59.57 
1163220671195025400,34.14 
1121705650263745300,58.18 
1075417511141624100,66.37 
1101242851392222600,99.56 
1132942401471117300,6.62 
1105111621055029700,14.38 
1133148000023631100,88.11 
1120142931202413600,99.89 
1103738371372730300,100.26 
1042649331295705900,75.78 
1150844811185549900,91.38 
1105142531182852400,88.80 
1121931271494851400,59.28 
1150125090134728300,107.56 
1030110251412346300,53.48 
1162426101824741700,100.25 
1143016680433341800,64.41 
1081316891223855200,97.35 
1001302501220607900,94.08 
1102918481060723400,51.37 
1191621530400744900,86.36 
1035120810181849400,119.94 
1114047421174731100,50.38 
1095420020062918400,79.92 
1130014611275725700,100.36 
1061730041622928300,64.98 
1061050061353849500,83.09 
1040746270295134300,59.64 
1114425571194247400,90.76 
1100022540030112300,82.37 
1130857511281652500,84.81 
1070435631173410600,16.88 
1115716331362458800,91.84 
1062221901291921800,95.99 
1095939861352342100,74.46 
1202328750471029300,75.43 
1184311120412441600,85.19 
1182848281502224400,73.30 
1153952130443544000,49.48 
1141117660250208600,94.94 
1104826390454132300,87.82 
1124357870453545400,87.12 
1065118421495300600,82.34 
1144732030194557900,37.33 
1022321681532343100,105.02 
1180609171652047000,86.97 
1044105511734023000,64.83 
1121339821160724500,105.50 
1073637671742650000,59.07 
1111807941750848200,98.61 
1132849731102257000,99.97 
1144547401502348500,58.13 
1193222130292308200,103.94 
1163053841463515700,80.83 
1200040200344742900,78.54 
1122622701713352600,102.02 
1111748131134338700,108.64 
1094532611045603000,53.97 
1135032911350749900,92.50 
1125338200261731400,71.01 
1064639441453852000,78.16 
1225449941363239200,70.59 
1210523771194434600,70.21 
1134651711161654900,85.55 
1223437701001031000,67.56 
1123107021002754100,93.27 
1105441850210400900,53.88 
1121151581240811700,37.33 
1061622130212137100,39.43 
1122256151154934200,22.53 
1135329141401631100,33.41 
1184242981402207200,82.54 
1080708760280311900,14.61 
1093447741101710100,34.96 
1090935631295813600,102.61 
1235723141305926400,67.71 
1133101241340911400,98.91 
1213832150044211500,43.16 
1183029331740714500,108.04 
1133613021382118000,86.97 
1080707990280322600,14.61 
1101923311442431200,102.18 
1122644031560432700,66.73 
1110352670032013000,104.68 
1102121011121040900,41.17 
1231516181190231900,68.49 
1130718541020011800,84.46 
1145632900020625400,100.82 
1203655221024824600,25.82 
1090023901253651500,25.75 
1125002810144600000,56.49 
1215558111275355300,84.82 
1034219321300933100,104.12 
1005551761432923600,56.23 
1005140850131905300,91.39 
1194809410242634500,86.97 
1143745221524334600,48.76 
1152444451684341700,97.16 
1164635430313529800,96.53 
1112858451220521100,93.11 
1235630380030607600,86.97 
1024655140244823600,96.26 
1143350550345239900,62.17 
1185534430414430600,81.66 
1174943981482735900,48.82 
1005024900120542500,91.39 
1112103991311457900,103.87 
1012634821514317000,64.98 
1183949490380914700,67.50 
1014845951201605000,130.35 
1234954351024231600,76.86 
1013110701433721500,78.16 
1234310250025658900,99.66 
1173656201210617000,104.21 
1092033831640423200,24.86 
1125533011321222200,100.01 
1140601601124650600,77.88 
1011424270072830100,78.71 
1113522890214255300,52.56 
1141757911262517700,64.66 
1024620201445716400,81.20 
1025639531473133000,63.99 
1221846100364804100,71.15 
1235103621200845100,60.17 
1172341171520033700,105.01 
1215540971245420800,84.68 
1010630210021156300,50.29 
1121410720005045300,108.39 
1011020470093427400,104.11 
1102717371263158200,91.58 
1161555501682122400,110.90 
1010642131491404600,109.13 
1103550220341621900,55.47 
1031752690071811400,74.03 
1043739470045242900,55.65 
1220737671220340100,104.68 
1124021161011626800,68.70 
1190516511270022500,69.37 
1034103011343907700,43.16 
1015850810093505800,78.03 
1193659150115713300,100.25 
1161838691215820600,69.71 
1120236121043257800,81.89 
1171105631055106800,97.59 
1153838011365730700,80.98 
1015844330254809600,66.30 
1022618500095009500,30.29 
1033853721661742600,87.84 
1201957181152238700,63.14 
1104058951653054800,47.02 
1102921981293038400,19.43 
1102004200375951500,65.07 
1173405130144832600,109.13 
1001515190081121800,91.60 
1010737140415111100,104.45 
1035021551410943000,78.16 
1230719081135121500,62.15 
1225557000432619100,21.29 
1013336940383559200,91.39 
1070150091045510200,51.11 
1043854331185010200,46.89 
1041018721132414500,86.97 
1072850251353248600,56.49 
1021005680325619700,48.27 
1175112791512256300,86.97 
1070759061313957700,71.57 
1071429181611722800,86.97 
1150344240031746700,92.27 
1215037991362722300,86.97 
1051137311672945100,88.73 
1180440151213803600,31.94 
1171434851280726700,98.71 
1025946981151748500,94.51 
1031823670015549800,95.90 
1011237861330204200,67.18 
1093511061484305700,106.63 
1154130341154703400,59.07 
1191236670192501700,86.97 
1031518571424145300,76.04 
1153744691222535200,76.41 
1182913811410232500,104.68 
1083525361233139000,74.33 
1044637830101334700,85.91 
1102242071461444600,73.21 
1005457830373839400,2.06 
1030000401305917900,87.86 
1031213381672435200,45.56 
1230255181082410500,93.60 
1021249240064206500,73.61 
1202129251594426400,110.97 
1053516251133304400,72.07 
1021759601143200200,56.46 
1082332971212024600,78.21 
1102235391435056000,76.78 
1093708441092756800,98.10 
1081950870144254800,86.92 
1065025481430311100,81.91 
1004157540383532200,106.25 
1091907550064200100,87.53 
1084428620314126700,70.09 
1110216461442006800,107.36 
1111313451444644500,86.97 
1124236470404446700,63.09 
1213124931022938700,47.15 
1030832220100226800,86.97 
1100254210061224300,51.57 
1095321231004149800,55.63 
1233056141152931200,57.86 
1193029970002815300,101.20 
1045509910160900500,86.51 
1014251800060850800,88.26 
1174628971304224700,71.13 
1153031521822656600,94.11 
1221811011454309600,83.03 
1111515290273911700,56.52 
1105715770050710500,103.35 
1214353390101103700,86.97 
1080249931154805000,70.24 
1162153941385550100,74.06 
1114609221202652800,104.04 
1110832820102853900,91.07 
1215800291241557000,45.00 
1022305251465257300,52.31 
1221943961362433900,86.97 
1112251480073525600,96.56 
1114045671050820100,93.23 
1114827101124338900,59.32 
1115301880060350800,95.08 
1015311031041146900,24.87 
1004051331025026200,77.68 
1102848380312955000,44.80 
1093514651130804000,109.13 
1221605220264042700,102.24 
1120236571410342200,88.98 
1083845560144048900,61.58 
1142908131272700900,62.30 
1125441631285628900,35.71 
1002615471214836300,79.06 
1005422411314012700,95.97 
1131620691304046800,82.05 
1133514671444558400,37.93 
1131423111302909700,87.61 
1110400250184633700,55.67 
1110901240143810400,86.97 
1121942550121330600,60.21 
1133218461075624900,102.96 
1030421470160123800,56.58 
1020930360065800200,70.06 
1120547780275639200,26.26 
1125926191275950400,97.12 
1065835321451231100,84.86 
1195828051620815500,82.56 
1232035270005253200,63.09 
1120242691015904000,28.37 
1141653331104749800,100.30 
1082341311212602500,74.44 
1135255181030145400,100.25 
1101056431010416100,94.23 
1021137121340227000,89.61 
1103504551463338600,48.52 
1120307041204823700,103.17 
1002422751381151800,85.68 
1111831980120827900,78.40 
1133519871072808800,104.24 
1110005780160625000,80.46 
1024359611323139800,86.97 
1092751511682443100,55.18 
1215525351343037500,78.15 
1024333640383731800,69.21 
1035822751064254200,79.80 
1142419220162219100,95.81 
1003934991005203000,63.79 
1122721871644800200,38.30 
1124508140002732500,21.93 
1141632191574830600,44.97 
1154157481004240800,27.49 
1002929420132841800,76.40 
1103444561110307600,96.64 
1091805810154846300,69.65 
1135756800291707300,38.46 
1174822551540904500,96.62 
1044835330044917400,66.93 
1153855491043441100,99.43 
1125541141271500100,103.50 
1034243210431817700,15.16 
1125704721290520200,109.12 
1092839621383347400,53.85 
1140338850335836600,59.57 
1004137650031512800,78.58 
1114329810164752200,52.98 
1150154731255802100,96.06 
1110259320161732600,56.26 
1192107841431943400,79.42 
1103715460413730200,39.92 
1132629631360031800,80.84 
1125444070395110500,50.64 
1124558920334958600,8.43 
1050115740140124900,106.76 
1105511700260824600,57.00 
1135537831402836200,36.79 
1120744740320048100,96.09 
1004109761162740400,78.92 
1173929101684732000,100.25 
1173648651131736800,82.56 
1175611741624525400,64.98 
1123501310052918800,99.89 
1043325630041555900,65.01 
1042407990270449300,82.56 
1121437021241814800,90.39 
1172629261710538600,16.68 
1031219791411658000,86.97 
1105658951430439000,64.98 
1122808701201040500,98.50 
1045003541823857400,78.73 
1013306670094648700,77.00 
1125035101405839900,4.40 
1133729351040615500,100.79 
1133957071004939300,98.20 
1132339540163843400,102.36 
1024518970174219900,109.97 
1072811881723443900,44.06 
1194444500282313000,69.72 
1012157471500247800,90.90 
1183751131372815500,94.20 
1095434970195312800,55.75 
1153748511380848200,60.61 
1155843331264910400,61.63 
1153029710123606400,92.09 
1045907981045820800,67.71 
1132715131320200000,106.56 
1101618950333349800,31.65 
1164444951223050100,61.71 
1122208681060556700,102.36 
1090347761290934300,98.68 
1142832081272429300,62.34 
1020834201291409500,95.53 
1223324021113044000,86.97 
1094802951033215900,86.97 
1122254931154928600,21.50 
1040107191314846800,86.97 
1011922201622004400,58.46 
1124247001023933100,13.43 
1121136921001922400,88.37 
1114854360044054500,37.44 
